麗…28歳。マスタートレーナー。凛々しいポニーテール。,P殿
聖…26歳。ベテラントレーナー。デレステのコミュで,トレーナー
慶…19歳。ルーキートレーナー。ジム通いが趣味の童顔現役学生。あろうことか,秋風に手を振って
P,ふぁぁぁ…眠っ…何かやることないかなぁ…
幸子,…。あの…プロデューサーさん？暇だからといってボクの頬っぺたを雑にツンツンするのはやめてもらえませんか？
P,ああ、ごめんよ
幸子,人差し指で頬っぺたをグリグリもしないでくださいっ！ごめんと言いつつ反省の色が一切ないじゃないですか！
P,この程よいプニモチ感がクセになるんだよなぁ。ブームの時に無限プチプチを押し続けていたのを思い出…ってアイタタタタッ！噛むな！人差し指を噛むなァァァァァ！
幸子,ｸﾞﾙﾙﾙﾙ
P,目の色がナルガクルガの赤いエフェクトに変わってる！すなわちキレてる！許してェェェェ！
幸子,ｷｼｬ-!
麗,長女・マスタートレーナー
P,アイタタタタおはようございます。麗さん。いいですよ。捕まってはいけない24時間耐久鬼ごっこレッスンでも導入しますか？
幸子,よくもまあ本人の目の前でふざけたことを言えますね
麗,却下だ
幸子,当然です
麗,笑ってはいけない24時間耐久ダンスレッスンなら検討しよう
P,では、それで！
幸子,マストゥレェッ！
麗,まあ…今のは冗談だ
P,またまた～。去年の正月に真面目に導入しようとしてたじゃないですか
麗,そうだったか？
P,すっとぼけますねー。ははは
麗,ふふふ。キミはよく覚えているな
幸子,仲良いですね
麗,まあそれはさておき。輿水のレッスンはもう少し体力の強化に努めた方がいいと思っているんだ。身体を張る仕事が急増しているからな。そこでスケジュールとの兼ね合いを考えながら、輿水に負担をかけないことを第一に話し合いたい
P,わかりました。じゃあ、ちょっと隣の部屋で話し合いましょうか。幸子悪いな。仕事してくるよ
幸子,ふん。また後で構ってくださいよ
P,この寂しんぼめ
幸子,うるさいです。早くボクのために仕事してきてください。…はぁ
ちひろ,あら、幸子ちゃん。ぼっちですか？
幸子,ちひろさんはボクの心をナイフでえぐり取りたいんですか？言葉をオブラートに包めとまでは言いませんが、せめて普通の言い方をしてください
ちひろ,幸子ちゃんはロンリーガールですね
幸子,そこは1人ですかでいいんですよ。孤高を気取ってるわけでもありませんから。っていうか、もォォォォォ開始早々ツッコミの役割をボクにぶん投げないでくださいよ！
ちひろ,荒ぶってますね
幸子,誰のせいだと思っているんですか。まったくもう…プロデューサーさんはマストレさんとキャッキャしててなんかイラッとしますし…ていうか、あの仲の良さは一体何なんですか？
ちひろ,決してふしだらな関係ではありませんよ
幸子,その余計なひと言が疑いを招くって自覚してますか？
ちひろ,あの2人は同じ大学出身の同期なんです。プロデューサーとトレーナーという関係もあってお互いに良き相談相手になっているみたいですよ
幸子,なるほど…ま、まあ、でも所詮は相談相手です。ボクは気になんかなりませんけどね
ちひろ,幸子ちゃん。こういう話があります
幸子,…なんです？
ちひろ,友達に恋愛相談を重ねるうちに相談相手が好きになっていた、と
幸子,何が言いたいんですかっ！
P,戻りました
幸子,おかえりなさい！さあ！ボクを構ってください！
P,後でな
幸子,雑っ！
ちひろ,お疲れ様です。プロデューサーさん。お話は終わったんですか？
P,ええ。幸子の休日を増やして、代わりに短い時間で厳しいレッスンをしていく方針に決めましたよ。学業との両立、体力的な面を考えたらそれがベストだと思うので。ええと…明ちゃんとも相談があるから来てくれって連絡入れたはずだったけど…
明,三女・トレーナー
