モバＰ,以降Ｐ…ああっ、開運ブレスレットが
芳乃,もう知りませんー、知りませんーっ
Ｐ,…え
芳乃,激おこなのでしてー！
Ｐ,…。……え？
ちひろ,ただいま戻りました。ってどうかしたんですか？珍しく芳乃ちゃんご機嫌斜めでしたけど
Ｐ,お前なんかもう知るかボケと言われました
ちひろ,絶対そこまで言われてないでしょ。何やらかしたんですか
Ｐ,いや…心当たりは
ちひろ,どうせまた乙女心を八つ裂きにしたんじゃないですか？
Ｐ,ハッハッ、人聞き悪すぎる
ちひろ,無神経に太った？
Ｐ,芳乃はそれぐらいじゃ怒りませんよ。てかもうちょい太ってほしいくらいだし。まぁ、すぐに機嫌直してくれますよきっと。さ、お仕事お仕事
ちひろ,随分落ち着いてますね。そう言えば芳乃ちゃんとこんな風にケンカとかするんですか？
Ｐ,うーん、思い返してみてもケンカらしいケンカはしたことないですねぇ
ちひろ,親子か兄妹かってくらい異様に仲良しですもんねえ、お２人
Ｐ,ハッハッ、異様は余計だ。ところでちひろさん
ちひろ,はい？
Ｐ,遺書ってどういう字でしたっけ
ちひろ,あ、コイツ滅茶苦茶動揺してやがる。何か怒らせるような失言をかましたとか
Ｐ,大体その場で噛まれて終わりですからあそこまでプンスカされません
ちひろ,セクハラしたとか
Ｐ,事務所きっての紳士がそんな事する訳ないでしょ
ちひろ,プッ。あっすいません。じゃあ芳乃ちゃんのオヤツ食べちゃったとか
Ｐ,食べきれないぐらい買い溜めしてますから多少食べても文句言われませんよ。と言うか今、俺を笑ったな…？
ちひろ,浮気したとか
Ｐ,彼女すらいねぇのに
ちひろ,本当に心当たり無いんですか？
Ｐ,そもそも芳乃は滅多な事じゃ怒りませんからねぇ。どかの銭ゲバ黄緑みたいに沸点低くないし
ちひろ,キャオラッ！
Ｐ,そういうとこだぞ！
ちひろ,そんな芳乃ちゃんがあれだけプンプンしてたんですからよっぽどの事をやらかしちゃったんじゃないですか
Ｐ,身に覚えがねーでごぜーますよ
ちひろ,とりあえず今日はケーキでも買って帰ってあげたらどうです？
Ｐ,そうします。あ、領収書って
ちひろ,切れる訳ねーだろ
Ｐ,ちっ
ちひろ,業務に差し支えの無い程度にケンカなりイチャコラなりしててください
Ｐ,誰がいつどこでイチャコラしてたよ人聞きの悪い
ちひろ,自覚症状が無いんですか。ご愁傷さまです
Ｐ,ところでさ、何で君らは人の背中によじ登ってんの？
輝子,お、お構いなく…？
乃々,もりくぼ如きでは役不足だと思いますけど…ぬくもりくぼどうぞ…
Ｐ,その気持ちだけで結構です身動き取れない！。芳乃ーただいまー
芳乃,つーん
Ｐ,洗濯するから洗い物出しなさい芳乃ー
芳乃,つーん
Ｐ,お風呂沸いたから入りなさい芳乃ー
芳乃,つーん
Ｐ,ほれ、目ぇつむってないとシャンプー入るぞー
芳乃,つーん！
