？？？,？。うん！。なんかすごいおいしそう！。うん、いつかぴざがたべれたらいいなーとおもう。たぶんゆめのようなあじがある……たまごあじとか……。おまえぴざつくれる！？。おぉ！やったなジュラルミン！。あっ……。とーちゃんにしらないひとについていくなっていわれてる……。よつば！こいわいよつば！
店員,いらっしゃいませーピザハットへようこそ！二名様ですか？
C.C.,あぁ
店員,それではこちらへどうぞー
よつば,おぉ！いいにおいがするぞ！
店員,御注文がお決まりになりましたらお呼びください、それでは失礼します！
C.C.,よつばこれがメニューだ､好きなピザを選ぶといい
よつば,すげーいっぱいピザがあるな！。みどりのねえちゃんはピザすきなのか？
C.C.,フフッ……もちろん！なにせ毎日ピザを食べてるからな、ちなみにお昼ご飯もピザだったぞ！。しかもポイントカードを集めてもらえるチーズくんぬいぐるみも持っている！
よつば,チーズくんぬいぐるみってあそこのおみせのまえにあるでっかいやつか？
C.C.,そうだ、だがあんなに大きくはないぞ、そうだな……ジュラルミンより少し大きいくらいか
よつば,チーズくんでけぇなぁ！ジュラルミンちいさいなぁ！だめだなぁジュラルミンは！
C.C.,さぁ何にしようか、毎回このメニューを決めている時間が楽しみだ
よつば,かるぼなあらしぇふのまぐれぴっつあ
C.C.,一枚に二種類のせるから二つ選べよつば
よつば,ふたつだけでいいのか！？もっとたくさんがよくないか！？じゅっこくらい……
C.C.,さすがの私でも十個は無理だ、二つ選ぶんだ
よつば,どれにしよう……。これはーおにくがのってる、おいしそう、これはあかいからからい？
C.C.,それは大丈夫だな辛くない
よつば,これはーみどりだから……バッタ？
C.C.,……バッタは食べ物じゃないぞ
よつば,これとこれにする！
店員,以上でご注文のほうは宜しいでしょうか？
C.C.,あぁ
店員,それでは少々お待ちください！
よつば,おおいそぎでおねがいします！
店員,ふふっわかりました
よつば,なぁしーつーのねえちゃん、このあかいのなんだ？
C.C.,あぁ、それはタバスコだな食べてみるか？
よつば,たべれるのか！？
C.C.,ほら、口開けてみろ
よつば,あーん…………！？かれー！かれー！！
C.C.,フフッ……ほら水飲め
よつば,。あぁー！しぬかとおもった！
C.C.,よつばにはまだ早かったみたいだな
店員,ご注文は以上でお揃いですか？
C.C.,あぁ
店員,ごゆっくりどうぞー
よつば,これがぴざか！！。めだまやきくらいと思ってたのに、せんめんきくらいだった！。すごい！ぴざすごい！わーーー！
C.C.,どうだ美味しそうだろ？これが夢の食べ物ピザだ！
よつば,しーつーのねえちゃんありがとう！…………しーつーのねえちゃん二つ食べるのか？！
C.C.,二つ食べないとチーズくんの限定ぬいぐるみが貰えないからな
よつば,あのぬいぐるみがもらえるの？！
C.C.,あぁもらえるぞ、そのためにピザを食べるんだからな！
よつば,そうだったのか！
C.C.,さあ、早くピザを食べるといい、夢だったんだろ？
よつば,うん！いーたーだーきーます！。はしは！？
C.C.,ピザに箸はいらない！ピザはこうやって……手で食べるんだ
よつば,このきりとりせんでとる？
C.C.,そうだ
よつば,。こんなあじかーーー！！あはははは
C.C.,どうだよつばピザはうまいだろう？
よつば,うますぎる！あはははは
C.C.,よつば、お前はなかなか話のわかるやつだな、ルルーシュとは大違いだ
よつば,ふふーふ？
C.C.,私の……恋人だな
よつば,ｺﾞｸﾝ……おぉー！しーつーのねえちゃんこいびといるのか？！おとなだなぁ！
C.C.,フフッ……そうとも私は大人の女性だからな！よつばも私を見習ってピザをたくさん食べるといい！
よつば,ピザたくさん食べたらしーつーのねえちゃんみたいになれるのか？！
C.C.,あぁなれるさ、さぁどんどん食べるといい！
よつば,よーし！つぎこれ！……あちっ。んーーー♪
C.C.,おいおい粉とかいっぱいこぼれてるじゃないか、ちょっとじってしてろ
よつば,あはははは！ありがとう！。……はーおなかいっぱい
C.C.,残ると思ったが……よく食べたなそんなに美味しかったか？
よつば,うん！
C.C.,そうかそれは良かった、じゃあそろそろお店を出るか
店員,お会計は
C.C.,カードで頼む、あとポイントカードも
店員,ありがとうございます、今回ピザ三人前頼まれましたのでこちらのチーズくん限定ぬいぐるみを差し上げます！
C.C.,フフッ……これでまた私のチーズくんコレクションが増えたな
店員,あと今回ポイントカードが貯まりましたが何と交換なさいますか？
C.C.,そうだな……ぬいぐるみはもうあるからな……ピザ無料券をもらおうか
店員,かしこまりました、……どうぞピザ無料券です！ありがとうございました！
C.C.,それにしても大きいなこのチーズくんぬいぐるみは……
よつば,あっ……とーちゃんだ
とーちゃん,よつば！お前こんなとこで何してるんだ！探したぞ！
よつば,しーつーのねえちゃんとピザたべた！
とーちゃん,よつば……とーちゃん知らない人についていったらダメって言っただろ……
よつば,しーつーのねえちゃんはしらないひとじゃないよ！ともだちだよ！
C.C.,(よつば……お前……)。いえ……気にしないでください。よつば……よつばちゃんとは友達ですので
とーちゃん,そうですか、どうもありがとうございます。よつばお前もお礼言いなさい
よつば,しーつーのねえちゃんぴざありがとう！。かえるのかー、しーつーのねえちゃんじゃあな！ばいばい！
C.C.,あぁじゃあな。…………。おい、よつば！
よつば,？
C.C.,チーズくん限定ぬいぐるみとピザ無料券をあげよう、今度はお父さんと一緒にピザを食べに来るといい
よつば,いいのか！？しーつーのねえちゃん！？
C.C.,あぁ私は他のチーズくんのぬいぐるみ持ってるからな、ジュラルミンの遊び相手にするといい
よつば,ありがとうしーつーのねえちゃん！良かったなジュラルミン！
C.C.,じゃあなよつば……またいつか会えるといいな
よつば,うん！ばいばいしーつーのねえちゃん！ありがとう！
C.C.,フフッ……友達か……ん？
ルルーシュ,やっと見つけたぞ……まったく勝手うろうろするなといつも言ってるだろうが。ん？お前の名前読んでいるが誰だ？
C.C.,フフッ……私の友達だよ
