電子の音色がピンポンピンポンと視覚を遮断したＰ氏に,出ろっ！
が、海美は理解していようがしていまいが,分かった？
相手の呼吸の有無には関係なく,人工呼吸が必要だ！
また今回の海美のように彼女たちと二人きりの空間に存在してもなお目こぼしされるその理由,わけ
なんと誘拐された水瀬伊織自身が,彼は無罪
そんな状態であるからして、現７６５プロ会長,当時はまだ社長であったが
社運を賭けた新番組として企画されていた７６５プロダクションの,生っすか!?
人は言った。,彼は男が惜しいのだ
あの瞬間,とき
原因不明の腰痛,及び股間痛
その後、彼は,腰、痛くて辛いよね？……遠慮しないで、私が優しく揉んであげるっ！
そんなＰ氏にとっては,もう六時
なにせ海美は日々,練習してる！
現に海美は,分かった！
冗談めかして言う奈緒だが、ここで,まさか！
そのことを奈緒に訊いてみると、彼女は,むむむ
痛みを堪えて紡いだ,気持ちいい
ベッドに戻れば通信機,スマホ
こうなってしまってはもう物を考えるのも億劫で、腰の痛まぬように背,せな
その為に策を巡らすは常勝の為の一手であり、これに対して,卑怯だ！
なぜなら真剣勝負の恋愛では、,好きな人を独り占めしたい！
有り体に言えば,女子力が足りない
今までは,子供だから
ご覧の通り、およそ,女子力とは？
彼女たちがどうにか海美の興味を引きつつ,羞恥心
また、初めこそ,女子力なんて別にいいよ。面倒！
すぐさま,えっ？
餅オムレツをもぐもぐさせながら,そうだろうそうだろう
そのうち,もっともっと！
どうにかＰ氏の口より,好き
これで二人が裸なら、間違いなく,イタしていた
そう言って意地悪そうに伊織が笑うと、横に控えていた美奈子と奈緒が,ひぇっ
すると伊織は叱られているということでしおらしくなってる海美に視線をやり、,そうなの？
奈緒は合点がいったと手を打った。伊織は,呆れて物が言えないわ
スプーンをはみはみ感想を言い、奈緒はしょげかえってる海美の額を,元気だしや
その為,ごめん、二人とも……。本当にごめんなさいっ！
だが伊織は,そうそう
そうして,にひひ♪
だがすぐさま,なんで!?
彼女が,まぁ……そうね。もうそれでいいわ
海美の方も,じゃ、私も掃除手伝いたい！
そうでなくても,一人では無理だ！
考えていた伊織だったのだが、突然声をかけられた彼女は少々びっくりしながらも,な、何よ？
そんな四人の視線から逃れるように,し、仕方ないわね
