※タイトルは釣り。,がっこうぐらし！
長門,見つかったか？
大和,お車も停まったままでしたし、そんなに遠くへは行っていないと思うのですが
赤城,偵察機も飛ばしていますが、いくつかは未帰還で……
長門,未帰還？熟練度最大値の二式艦偵がか？
叢雲,なんなのよ……これ……
吹雪,わ、わかんないよ……
長門,ゲーム……だと……？いったい、どういうことだ……？
旗艦,部隊長
由良,了解です。わかりました
漣,陸路を艤装と荷物背負って遠征とか、微妙にテンション下がるわ……
由良,頑張って、漣ちゃん
漣,おーっ、トマトはっけーん！いっただきー
吹雪,だ、だめだよ漣ちゃん！ヒトの物を勝手に食べちゃ！
叢雲,ヒトの物ってあんた、この畑の所有者が生きてると思うの？
吹雪,そ、それは……
由良,ここは、まるで廃村ね……
叢雲,しばらく食料に困らなさそうなのは助かるわ
電,か、勝手に食べちゃっていいのでしょうか……
叢雲,いいのよ。仮に所有者が帰ってきたら緊急事態だったって説明して、損害賠償は全部赤レンガ持ちってことで
五月雨,そういうことなら……ちょっと休んでもいいよね？
由良,はぁ、水偵が飛ばせれば楽なんだけど、赤城さんみたいに未帰還になったら困るしなぁ
五月雨,見上げると圧倒されますね……
由良,取りあえず、一発撃ってみた方がいいよね？
吹雪,そうですね。わざわざ艤装をつけてきましたし
由良,それじゃ、火力全開で……てーぇ！
叢雲,な、なんで……！？
由良,そんな、砲撃が、消えた？。何がどうなってるの……。……えっ、なに？痛っ……い、痛いったら！きゃぁ！？
電,ど、どうしたのです？
漣,由良さん、右手が！！
由良,な、なにこれ……！？いや、いやぁぁぁぁあああ！！！
吹雪,漣ちゃん！包帯を！
漣,わ、わかった！
五月雨,こちら先遣隊！長門さん、大変です！
由良,痛いっ！！腕が、焼ける……！！
吹雪,このままじゃ、由良さんが消えちゃう……！？
由良,ひぃぃっ！！だ、誰か！！誰か助けてぇ！！
叢雲,……っ！！
吹雪,む、叢雲ちゃん！？何を……
叢雲,腕を、切り落とすしかないでしょ！？
吹雪,えっ！？
由良,お願いっ！！いやっ、やめてっ！！助けてっ！！
叢雲,由良さん……私のことを恨んでもいい。でも、他に方法があると思えないッ！！
由良,あ……あ……
叢雲,漣ッ！！止血！！
漣,う、うん！！
