―黒木家,深夜
もこっち,ゴクリっ。この時間帯の飯テロはやばいな……
―学校,昼食
真子,それでね
ゆり,へー
もこっち,……。〇ーメン大好き小泉さんなんてタイトルだからどんな変態アニメだよと思って見てみたら。普通にラーメンだったじゃねぇか……つかラーメンとザー〇ンって響き似てるな。しっかし、あれ見たせいで無性にラーメン食べたくなったな。今日の夜は親が家にいないから夕ご飯は適当に済ませてくれって言われてるんだよな。よし、放課後にラーメン屋行くか！。でもな、ひとりでああいう店に行くのはちょっとな……。ラーメン屋とか臭そうだし、客も臭いおっさんばっかだろうし、そもそも〇ーメン臭いし。女性客とかたぶん少ないよな。ぼっちなら尚更悪目立ちしてしまう。これが２次元美少女だったらむしろ掃き溜めに鶴で華があるんだが。くそ、どうする？。やっぱりラーメンは諦めて家で適当に済ますか？いや、でもなあ折角だし。そうだ！。誰か連れが一緒にいればいいじゃないか。それなら変に目立たないし。だが問題は、誰と一緒に行くかなんだが……。学校のやつらは……うん、まあそれなりに仲良くはなってるけど。こっちから積極的に誘うとか何かアレだな……。誘うとして何て言えばいいんだ？一緒に〇ーメンをごっくんしに行こうってか？
ゆり,黒木さん、どうしたの？ぼーっとして
真子,ごはん進んでないね。おなかすいてないの？
もこっち,いや、ちょっとザ〇メンのこと考えてて
ゆり,！？
真子,！？
―学校,放課後
もこっち,結局誰も誘えないまま放課後になってしまった
ネモ,クロ
もこっち,わっ、ネモ
ネモ,どうしたの、何だか浮かないカオして？
もこっち,いや、別に何でもないというか……
清田,帰りどうする？
岡田,サイゼ寄ってかない？
加藤,あ、いいね。それ
岡田,陽菜はー？
ネモ,あ、うん。いくいくー
もこっち,……
ネモ,クロ、耳貸して
もこっち,へ？
ネモ,今度はふたりでカラオケ行こうね。じゃ。バイバイ、クロー
岡田,……
清田,……
加藤,またね、黒木さん
もこっち,あ・・うん・・ほな・・・・。はあ……はあ……。いきなり耳元でささやくなよ……ドキドキしちゃうだろうが。でもまあ、なるほど。こういうふうに誘ったら効果があるのかもな。誰か、まだ教室に残っていて誘えそうなやつは
吉田,あ？何だ、何こっち見てんだよ
もこっち,ヤンキーしかいねぇよ。さっさと母校に帰れよ。いや母校だからここにいんのか。こいつに耳打ちとかしようとした時点で殴られる。さっさと帰ろう……
吉田,おいシカトするなよ！。ったく……
もこっち,結局、誰も誘えずに帰宅の途についてしまった。あっ、そうだ。ゆうちゃん誘ってみるか。ゆうちゃん忙しいだろうから来れるかは分からないけど。どうせこっちはこれからずっとフリータイムだしな。ちょっとくらい待ってもいいし。最近邪魔なこみなんとかと３人で会うことが多いしな。たまにはゆうちゃん独り占めしたいし。ちょうどいい口実になるだろ。メールメールっと
うっちー,え、何あいつ……校門の前でスマホ弄ってる！きもい！
友達,でさー
ゆう,あ、ごめん。ちょっとメール来てるから
友達,お、例のカレシから？
ゆう,ううん、中学の頃からの友達から。もこっち、こんな時間に何だろう？。ざー、めん？
友達,え
もこっち,しまった！ラーメンと打ったつもりが間違ってザー〇ンと打ってしまった！
うっちー,何あいつ。ひとりで叫んでる。〇ーメンがどうとか言ってる！超きもい！
もこっち,いやでも、ゆうちゃんにはセクハラとかよくやってるし。これくらいヘーキヘーキ。まだ返信ないけど、とりあえず集合場所向かうか。近くに本屋あるし、暇つぶそ
うっちー,あ、校門から出ていく！どこ行くんだろ。〇ーメンをどうする気なの？気になる！
雌猫,うっちー、放課後どうする？
うっちー,ごめん私ちょっと用事あるから。またあした！
雌猫,え、あーうん。またね
もこっち,もう２時間たつけど、ゆうちゃん、来ないな……。メールの返信もないし……やっぱ怒ってるのかな。あとで一応謝っとくか……
うっちー,何あいつ、本屋で１８禁コーナーうろうろした後、ずっとあそこに突っ立ってる。誰かを待ってる？。１８禁、ザー〇ン、誰かと待ち合わせ、ＪＫ……。もしかして……円光！？
もこっち,どうすっかなー、やっぱ家帰るか……でも、わざわざここまで来たんだしなあ
イケメン,お嬢さん、うちの店、寄って行きませんか？
もこっち,！？
うっちー,何か男来た！！。店がどうとか言ってる！男に促されて、あいつ……ついて行ってる！。あそこ！あの店に入ってく！。止めなきゃ！
店主,しゃっせー！
うっちー,え、ここって……ラーメン屋！？
イケメン店員,いらっしゃいませ。おひとりさまですか？
うっちー,あ、えっと、はい
もこっち,……。いきなりイケメンに声かけられて、言われるがままに店まで連行され……。手近なカウンター席に案内されてしまった……。でもここ、ラーメン屋だな。正直、ひとりで入るのはきついと思っていたが……ひとたび入ってしまえばそれほど緊張もしない。ゆうちゃんも来ないことだし、もうここでラーメン食べるか。さすがに腹減ったしな。まあ、ひとりなのはちょっとあれだが、そんなに客多くないし、他にもひとりのやつはいるし
うっちー,……
もこっち,！？。絵文字！？何でこいつこんなとこにいるの？しかも他にも空いてるのに隣の席に座ってくるの？。もしかして、ストーカー？
うっちー,あ、えっと……奇遇だね
もこっち,あ、あー……うん
うっちー,……
もこっち,……
うっちー,何こいつ。何か話してよ。ラーメンでもザーメンでもいいから何か話題あるでしょ。ニヤニヤしながらキョロキョロしててキモイ！
もこっち,何だこいつ。普通店で顔見知りに遭遇したら、店を出るか、見つからないように離れた席に座るかするだろ。空気読め！
店主,お客さん、ご注文は？
もこっち,あ……
うっちー,……先に入ってたんだし
もこっち,あ、えっと……じゃあ……この回鍋肉ラーメンで
うっちー,回鍋肉！？ラーメンの上に回鍋肉がのってるの？何それ盛り過ぎ！。あ、……私も同じので
店主,はいよ、ホイコーラーふたつね！
もこっち,え、なにこいつ。上司が先に注文したら同じもの頼むタイプ？さすが自主性のないキョロ充だな
うっちー,こいつ回鍋肉好きなんだ……何それきもい！今度家で作ってみよう！
後輩,え～、先輩ごはんも頼むんですかぁ？ラーメンとごはんじゃ炭水化物ばっかりですよ？
先輩,ラーメンにごはんは必須アイテムなんだよ。明太子トッピングがあればなお良し。ごはんに汁物は付き物だろうが
後輩,でもラーメンってそれだけで主食ですよね？
先輩,ああ、確かにラーメンは主食だ。つまりこの場合、主食に対する主菜はむしろごはんの役割なんだよ
後輩,はぁ？
先輩,ごはんはおかずだって平沢さんも言ってただろうが。つまり……そういうことだ
後輩,いや先輩イミフなんですけど。ていうか平沢さんって誰ですか？
もこっち,やっぱりラーメンにこだわりのある人間っているんだな。つかカップルで放課後デートかよ。デートでラーメン屋とかないわー。せめてサイゼだろ。ま、デート経験ないけど……
うっちー,何あれ、ラーメン屋なんかでデート？男の方がラーメン屋のうんちく語っててちょいうざいかも。こいつもひとりでラーメン屋入るくらいだから、ラーメンに詳しいのかな。いろいろ聞きたい
もこっち,そういや、絵文字と隣り合ったこの構図。別々に入ったとはいえ制服同じだし、店の人には友達同士に見えるのかも。ひょっとして、こいつもぼっちでラーメンは食べづらくて隣に……？
うっちー,私とこいつって並んでてどう見えてるんだろ。もしかしてカップ……きもいきもいきもい！
もこっち,そうか、そういうことか。こいつ、私の気持ちを察して……絵文字の癖にいいやつじゃないか
店主,へい！ホイコーラー２丁お待ち！
もこっち,おお……その名の通り回鍋肉がのってるな。普通にうまそうだ
うっちー,成り行きでラーメン食べることになったけど……まあ、こいつと一緒のだし
もこっち,いただきます
うっちー,いただきます
もこっち,！！。うまっ！回鍋肉の甘辛さと味噌のスープがいい感じに溶け込んで……
