モバP(以下P),麗奈！お前についにSSRのお仕事がきたぞ！
麗奈,はん！ついにこのレイナサマの時代が来たということね！全く待たせるんじゃないわよ！
光,そんなこと言ってー……嬉しいんだろ麗奈？手がぷるぷるしてるし
紗南,目がキラッキラしてるしねー
麗奈,べ、別に！当然の結果よ！この時のためにとっておきの設計図を用意しておいたんだから！
光,設計図？まーた暴発するやつ？
紗南,あれ、亜季さんに直してもらってたけど……大丈夫なの？
麗奈,それはそれ！これはこれよ！ふふふ……見てなさい！ステージでドカーンと……
P,まてまて、それは後回しだ。その前に決めなきゃいけないことがあってだな？。SSRになるにあたって肩書を決めないといけない、わかるだろ？
麗奈,あぁそうよね。って……いつもはアンタが考えてるじゃない？今回はアタシが決めるの？
P,せっかくだしな。お前の意見を尊重したい。レイナサマの晴れ舞台だしな！
紗南,そういやあたしもそうだったね、プレイ・ザ・ゲーム！ってわかりやすくしたけど！
光,いいなぁ……次こそはあたしも！その時はヒーローっぽいのを……
P,光もそろそろだと思うから、考えておかないとな！で、麗奈？浮かびそうか？別にもうちょっと後でも……
麗奈,そうね……ハッ！浮かんだわP！あのとっておきに合わせた完っ璧なやつよ！
P,おぉ、ホントか！さすがはレイナサマだな！じゃあ聞かせてくれよ。どんなのだ？
麗奈,フフ……。バーンアンドドーン!!よ！
3人｢｢,…………
麗奈,……バーンアンドドーン！！
3人｢｢,…………
麗奈,えっ
P,凄いな麗奈、もう考えてたんだな……
紗南,凄くわかりやすくていいと思う！バーンでドーン！
光,あぁ、紗南の韻の踏み方を聞いた上で、そこまで考えていたなんて……すごいな！
飛鳥,さすがは麗奈だね……ボクも驚いたよ
麗奈,飛鳥！？いきなり現れてどうしたのよ！？
飛鳥,何、二つ名を決めると聞こえたからね、ボクも少しの心得はあると力になろうと思ったんだけど……杞憂だったみたいだ
光,うん、あたしも麗奈の力になれればと思ってたんだけど……
紗南,あたしも、ゲームのネーミングとかオススメしようかなって思ったんだけどなぁ。すごいや麗奈ちゃん
P,あぁ、自分のことは自分が一番わかってるってやつだな！
飛鳥,バーンアンドドーン。端的に見ればただの擬音でしかない。しかし、それを肩書にするからには意味が生まれる
紗南,そうだね。何の意味もなく擬音なんて麗奈ちゃんはつけないだろうって思ってたんだ
飛鳥,そう、つまり……BurnandDawn。英単語にすることで意味が変わってくる。さすがだね
P,あぁ。Burnは燃える、熱くなるということ。Dawnは夜明け、そして真相が見えるということだから……
光,そうか！麗奈の手でみんなを熱くして！
紗南,うん！麗奈ちゃんがみんなを明るくするってことだよ！
P,それだけじゃないだろ麗奈？麗奈は野心あるアイドルだし。たぶん……飛鳥、理解るだろ？
飛鳥,あぁ、恐らくは……燃える野心、そして伝説の夜明け……ふふっ、麗奈らしいじゃないか
光,カッコいい!カッコいいよ麗奈！あたし感動しちゃった！
紗南,それだけじゃないよ！BurnandDawn。頭文字を取っていけば……
P,B.A.Dか！悪アイドルを目指す麗奈にはぴったりじゃないか！すごいぞ麗奈！
飛鳥,世界を熱狂させ、新たなる真実へと到達する……まさに世界一を目指すレイナサマ、というやつだね
P,ここまで考えて、しかも自分の使ったバズーカの擬音とのダブルミーニングなんて……
4人｢｢｢,さすがレイナサマ(だね)(だな！)
麗奈,………ハッ！当たり前でしょう！？
P,よーっし、麗奈の意気込みに応えられるようにスタッフさんにも全力出すように言わないとな！
麗奈,あ、当たり前でしょ！？このアタシのステージ、手を抜くなんて許さないんだから！
紗南,しっかし……すごいよね……あたしのやつが普通に見えてきちゃうよ
飛鳥,紗南のやつだって実に紗南らしくていいと思うけどね、ボクは
光,あたしも負けてられないな！ヒーローっぽくて二人に合わせたやつを！
飛鳥,それなら……やはり○○・○○・○○、といった感じかな？
P,それなら……PowertoTearerとかやるか？
光,スタート・ユア・エンジンとか！
紗南,うんうん！麗奈ちゃんのおかげでみんなのボルテージもあがりそうだね！
麗奈,ふふふ、そうと決まれば新アイテムの開発を急がないと……！
P,お、それならその設計図見せてもらえないか？色彩とかをステージに合わせて……
飛鳥,まぁここまで構想を練っていた麗奈のことだ。ステージ衣装も……考えているんだろう？
麗奈,えﾞっ……も、もちろんよ！？でも、Pに合わせてやらないといけないし？それはほら……
P,そうか！それなら今からでも話を進めようか！あの部屋に設計図もあるんだろ！？
麗奈,はぁ！？あんたアタシの秘密基地に入ってくる気！？あそこには……
光,あ、あたしも手伝うよ！自分の時の予行演習に付き合いたいし！
紗南,確かに、光ちゃんはヒーローヴァーサスで共演するかもだしね！あたしも行こうかな？
飛鳥,ならボクも行くとしよう、新世界の夜明け、ボクもその始まりに付き合いたいしね
麗奈,あ、あんたら…………。そ、そこまで言うならこのレイナサマの世界制服の礎になってもらうわよ！いいわね！？
紗南,おー！衣裳出来たんだ！今日は試着？
麗奈,そうよ！見なさいこのレイナサマの魅力を存っ分に散りばめた衣裳を！
P,ここまでゴチャゴチャしてるのも珍しいよなぁ、他のみんなはドレスとかなのに
紗南,まさにオンリーワン！だよね！麗奈ちゃんらしいや！
光,紗南のもオンリーワンな感じだったろ？サングラスもいい感じで……ってあれ？麗奈？ここ……
麗奈,ん？どうしたのよ光？
光,か、漢字……間違ってる。世界征服じゃなくて制服になってる。君臨の臨の字も田んぼの田になってるぞ？……直してもらう？
麗奈,…………
飛鳥,待つんだ光
紗南,そうだよ光ちゃん！
麗奈,えっ
飛鳥,ここまで入念に話し合ったんだ、ただのミスなわけがない、そうだろ麗奈？
P,確かにな。俺もあえて指摘しなかったけどそのまま進めていたみたいだし
紗南,この前話したみたいに麗奈ちゃんはこの衣裳に全力を出してたでしょ？これに気付かないなんて……
光,……そっか、ありえないよな。麗奈
麗奈,……はっ！そ、その通りよ！
飛鳥,この衣裳は世界の常識を燃やし、真実の夜明けに至る衣裳なんだ、つまり……
紗南,この誤字は………わざと！そうなんだね麗奈ちゃん！？
P,なるほど……間違っているのはお前たち、レイナサマに従いなさい！ということだな！
麗奈,そ、そうよ！あ、アタシが間違えるわけないじゃない！。このアタシが征服した世界では、アタシがルールなんだから！
光,そっか……ごめん、麗奈。あたしがわかってなかったよ
