モバP(以下P),隠れみりシタンはここかぁ！
未央,朝から飛ばしてるねプロデューサー
凛,また変なことはじめて
美嘉,そもそもみりシタンってなんなの
凛,いや、そんな人いないでしょ
美嘉,そそそーよ、そそそんな人いるわけなないじゃん
未央,美嘉ねぇ、なんか汗が凄いよ！
P,そこでみんなにはこれから異教徒発見のため踏みりあをして貰う
凛,踏みりあ？まさか踏み絵みたいにみりあちゃんの写真を踏むとか？それはちょっとやだな
P,え？なにそのちひろ的な発想は。逆だよ逆。みんながこれからみりあに踏んで貰うんだよ。ちひろ様が言うには、みりシタンはみりあに踏まれるとカリスマのカケラも感じない声でふひひ★と声を上げるそうだ。じゃあ、さっそく踏んで貰おうか。みりあカモーーーン！
みりあ,はーい
美嘉,み、みりあちゃん！
P,よーし、じゃあ三人ともうつ伏せで横になれ。順々に踏んでいくからな。まずは未央
みりあ,大丈夫？重くない？
未央,うわ、みりあちゃん軽いね。ちゃんとご飯食べてるの？
P,ふむ、平気か。よし、次は凛
凛,あ、ホントだすっごい軽い
P,ふむ、凛も大丈夫か。じゃあ次は美嘉だな
みりあ,じゃあ美嘉ちゃん背中に乗るね
美嘉,う、うん。少しゆっくりお願、ふひっ！ふひひひひひひぃぃぃぃぃぃんっ！
凛,え？
P,美嘉、まさか
未央,美嘉ねぇ、そんな・・・
美嘉,い、いや、ちが、これは、そのくすぐったくて、そう！くすぐったくて声が出ただけだから！。ふ、ふひっ、こ、この程度なんともふひひひっ、ないわよふひひひひひひ
凛,うわぁ・・・
P,なんと言うかこれは
美嘉,はあ、はぁ、ふひっ、こ、これで分かったでしょ
P,ああ完全にみりシタンだと
凛,ところで、もしこれで判断が付かなかったらどうする予定だったの？
P,その場合は次の試練を試す予定だったんだけど
未央,どんな試練？
P,うむ。ちひろ様が言うにはみりシタンはみりあに膝枕されてピンク色の頭を撫でられると、思わずアヘ顔ダブルピースをしてしまうそうだ
美嘉,！？まって、プロデューサー！
P,どうしたんだ？もう美嘉に試練は必要ないぞ
美嘉,プロデューサーはまだ私がみりシタンかどうか疑ってるんでしょ
P,いや、もう疑ってないぞ完全にみりシタンだし
美嘉,駄目よ。私はちゃんと疑いを晴らしたいの！だからみりあちゃんの膝まく・・試練を受けさせて
P,えぇ・・・
凛,それにしても昨日はひどかったね
未央,まさかみりあちゃんの母乳を飲みたいとか言い出すとは思わなかったね
凛,もし、あの場に早苗さんと清良さんが来てくれなかったらどうなっていたか
未央,美嘉ねぇ、帰ってこれるかな
凛,どうだろ。昨日の様子じゃかなり酷かったし
P,異教徒はここかぁ！
未央,プロデューサー。もうここにみりシタンはいないよ
凛,昨日早苗さんと清良さんに連れて行かれたでしょ
P,ん？今日はみりシタン狩りじゃないぞ
未央,え？そうなの
P,うむ。我らが廃課金教の最高司祭オーバーデビル。なんでも、ののシタンは乃々に踏まれると思わずクールな声でふーん、これが乃々の足裏の感触？・・・まあ、最高かな・・・。じゃあ、早速はじめようか
凛,・・・
未央,し、しぶりん、なんか汗が凄いことなってるよ
P,隠れあいシタンはここかぁ！。あいシタンは藍子に踏まれると思わずミツボシになるらしい
未央,・・・
P,隠れらんシタンはここかぁ！。らんシタンは蘭子に踏まれると思わずどスケベな声を出したり、ロシア語を喋りだすらしい
美波,・・・
アーニャ,・・・
P,隠れみくシタンはここかぁ！。みくシタンはみくを踏むと思わずロック！
みく,なんでみくだけ踏まれる方なのにゃあ！
李衣菜,ロックだね！
P,今日も今日とて異教徒狩りだ！今日はこの部屋か。異教徒狩りだ！動く・・・な・・
まゆ,・・・
智絵里,・・・
ゆかり,・・・
響子,・・・
留美,・・・
瞳子,・・・
美優,・・・
P,あ、あれ？部屋間違えたかな？
まゆ,Pさん、ちひろさんからの指令をちゃんと読まないと駄目ですよぉ
P,あ、ああそうだな。なになにこの部屋に数名の隠れPシタンが潜んでいます。Pシタンはプロデューサーが部屋にあるアイスティ意味深。まって、Pシタンってなに？それにこのアイスティ意味深
響子,ちょうどさっきアイスティ淹れたんですよ。さあ飲んでください
P,今なんか変な粉入れたよね！なんでみんな近寄ってくるの！
美優,いい気分になるアロマを焚きますね
P,いい気分ってヤバイやつじゃないよね！なんで顔背けるの！
留美,ちひろさんに結構な額を払、いえ、お布施して来てもらったんですから逃がしません
P,やめて服を引っ張らないで・・・あっーーーー！
プロデューサーはうわごとの様に,宗教怖い、宗教怖い
