モバP(以下P),ちひろさん、お疲れ様です
千川ちひろ,お疲れ様です。……ってあれ？Pさん、いつお戻りになられたんですか？今日は確か今度の聖來ちゃんのステージの件で会場の方と打ち合わせで、帰りが遅くなるって言ってませんでした？
P,ええ、その予定だったんですが、思ったより早く終わりまして。ここのところみんなのレッスン見てあげられてなかったので、ちょっと顔を出しておこうかなと
ちひろ,そうでしたか！みんな喜びますよ！
水木聖來,もう一回、お願いします！
ちひろ,……すごい気迫ですね
P,ええ。聖來さん、今度のライブはアイドル生活の一つの到達点として考えてるみたいで。絶対に成功させてやるって、意気込んでましたから
ちひろ,アメリカでのステージもブロードウェイも経験した、現アイドル界屈指のダンスアイドルの到達点、ですか
P,はい。グループ名義じゃない水木聖來
聖來,っ……もう一回！
P,はい、いったんストップ
聖來,あ……Pさん、お帰りなさい！いつ帰ってきてたの？
P,今さっきです。それより聖來さん、周りを見てください
聖來,周り？……あ
P,気持ちが滾ってるのは分かりますけど、もう少しみんなに気を配ってあげてください
聖來,あ、あはは……ちょっと、張り切りすぎちゃったかな
ちひろ,それにしても、すごいですね。ただの練習なのに、見ていて圧倒されちゃいました。明日本番でも大丈夫なんじゃないですか？
聖來,いやぁ、そんなこ
モバP,……返事をする余裕すらないみたいですね……
ちひろ,……聖來さんはよくても、周りがまだついていけてないんですね
聖來,ご、ごめんね、つい熱くなりすぎちゃって。……ふふっ
P,……？。休み……ですか？
聖來,うん、１日だけで良いんだけど、ダメかな？
P,いえ、それは問題ありませんよ。練習はスケジュール通り順調に進んでますし、１日と言わずしっかり休んでもらっても良いぐらいなんですけど……
聖來,けど？
P,珍しいですね。いつもの聖來さんなら、もっとクオリティ上げるんだ！って言ってスケジュール詰めて、僕が止める側に回るのに
聖來,あはは、流石に今日はやりすぎちゃったからね。ちょっと頭を冷やす日が必要かなって
P,そういうことでしたら、喜んで。日程はいつにしますか？
聖來,ホント？じゃあ。Pさんの、次の休みの日！
P,つ、疲れた……
わんこ,
聖來,もう、この程度でバテるなんて、Pさん運動不足なんじゃないの？
P,……って言っても僕今日朝から走りっぱなしなんですけど！？フリスビーしてたはずなのに気付いたらわんこに追いかけ回されてたんですけど！？
聖來,それはPさんがフリスビー持って走り回るからじゃない。そんなことしたら、わんこも遊んでもらえると思って大はしゃぎで追いかけるよ
P,……そうでした
聖來,そうだよ、もう
P,それで？
聖來,うん？
P,何か話しておきたいことがあって、僕を連れ出したんじゃないんですか？
聖來,え？違うよ！単純に、わんこと、Pさんと、3人で過ごす時間が欲しいなって思ったの！
P,そうなんですか？
聖來,そうだよ
P,……じゃ、そういうことにしておきましょう
聖來,しておくも何も、それだけなのになぁ
P,最近、調子良いみたいですね。トレーナーさんも褒めてましたよ
聖來,うん、絶好調！なんだか怖くなっちゃうぐらい調子良いよ！なんでだろうね
P,それはもちろん、これまで頑張ってきたからですよ。うちのユニットのリーダーもそうですし、モバプロ初の海外ツアーでの大役に、ブロードウェイでのショーも成功させた。傍目に見ても高いハードルをクリアしてきたからこそ、今の実力があるわけです
聖來,ふふっ、ありがとPさん！
P,事実ですから
聖來,けど、なんだかそれだけじゃない気がするんだ
P,と、言いますと？
聖來,これまではね、ステージが決まってから本番まで、絶対に成功させてやろうって考えてたの。思いっきり踊って、思いっきり楽しんで、皆を思いっきり盛り上げようって。もちろん、それは今でも思ってるよ。最高のステージにしようって
P,……
聖來,最近、それだけじゃない自分を感じるんだ。観客を盛り上げようとか、楽しませようとか、そういうだけじゃなくて……なんて言えば良いんだろう。あはは、ちょっとうまく言葉にできないや。Pさん、分かる？
P,…………
聖來,って、アタシに分からないのに、Pさんに分かるわけないよね。変なこと聞いてごめんね
P,……はぁ。そんなの、わかりきってることじゃないですか
聖來,え？
P,貴女はーー水木聖來は、"期待に応える"アイドルだからですよ。だから、ただダンスが好きだとか盛り上げたいとかだけじゃなくて、観客みんなの期待に応えたいっていう聖來さんの想いが強くなったんだと、そう思いますよ
聖來,……うーん、なんかちょっと違う気がするなー
P,あれー！？せっかくドヤ顔で良い感じのこと言ったのに！超恥ずかしかったのに！
聖來,あはは、ごめんごめん。けど今の解釈ちょっとかっこ良かったかも！モヤモヤの正体は分かんないけど、とりあえずそう思っておくことにするよ！
P,はいはい、まあ心の片隅にでも置いておいてくださいな
聖來,もうっ、拗ねないでよPさん！ほら、わんこ洗って、一緒にご飯食べよ！奢るからさ！
P,いや別に拗ねてないですけど、奢って貰えるなら奢ってもらいます。いや、別に拗ねてはいないんですけどね！
聖來,わんこー、行くよー
わんこ,
P,聖來さん、そろそろですけど、準備できてますか？
聖來,…………
P,……聖來さん？客席に何かありました？知り合いでも？
聖來,……凄い人数だね
P,……ええ、満席ですから
聖來,……この人たち皆、アタシの舞台を見に来たんだよね
P,……はい。今日は合同ライブでも、グループ名義でもありません。客席にいる人は皆、聖來さんを見に来たんです
聖來,――――ッ！
P,皆、聖來さんに会いに来たんですよ
聖來,……そうだよね。なら――
P,なら？アイドルの水木聖來は、どうするんですか？
聖來,当然－－。アイドルの水木聖來は、最高のダンスで、皆の期待に応えなくっちゃね！。Pさん、行ってくるね！
P,ーー行ってこい、聖來！最高のステージを魅せてくれ！
