モバP(以下P),お花見したいなぁ……
楓,……
早苗,……
美優,え、えっと……
P,何年もしてないし、今年はしたいよな。うん
楓,……プロデューサー、午後のお仕事はデスクワークだけでしたよね？
P,ええ、そうですが……
早苗,それじゃあ、話は早いんじゃない？
P,え？お花見してくれるんですか！？
楓,美優さん
美優,わ、私ですか……！？こほん、えっと、私もお花見したいなって……
P,上目使いとか反則だろ、可愛すぎか、行きます！(ですが、仕事もありますし、皆さんのご都合が)
楓,満場一致みたいですね
早苗,それじゃあ行っちゃいましょうか
美優,い、行っちゃいましょう……ね？
P,……ちひろさん、一時間ですべて終わらせるので良いですか？
ちひろ,え？ええ……私もお仕事が終わったら合流させてくださいね♪
P,もちろんです！。うおおおおお！
楓,今のうちに買い出しに行っておきますか？
早苗,そうね、美優ちゃんも一緒に行きましょ
美優,そうですね……プロデューサーさんのお酒も選びましょうか
楓,……先生！お酒は何円分良いですか？
早苗,私も気になるっ！
美優,また私ですか？……皆さんにお任せします
楓,お任せ、つまりどれを買っても良いってことですね……早苗さん行きますよ
早苗,オッケー！ほら美優ちゃんも
美優,きゃあっ、引っ張らないでください……
ちひろ,あらあら、皆さん楽しそうで良いですねぇ
P,うおおおおお！
ちひろ,プロデューサーさんも頑張っていますし、私も頑張りますか
P,あ、ちひろさん
ちひろ,何ですか？
P,いつもわがまま言っちゃってすみません、今更ですけど
ちひろ,いえいえ、これも仕事のうちですから
P,そういってもらえると助かります
ちひろ,どういたしまして♪
早苗,プロデューサー君、仕事終わったー？
楓,お花見の準備終わりましたよ
P,たった今終わったところです。美優さんはどうしたんですか？
美優,こ、ここです……
P,あらまぁ、随分と疲れていらっしゃる
美優,お二人の行動力に私はついていけないです……
早苗,なーに言ってるの美優ちゃん！お楽しみはこれからよ？
P,そうらしいですよ？
美優,お……お手柔らかにお願いします
楓,それでは、向かいましょうか
P,んー！お花見は八分咲きが良いって聞きますけど、まさにそんな感じじゃないですか
早苗,もう、プロデューサー君はしゃぎすぎよ？桜とお酒は逃げないから
楓,風情があって良いですね、これはお酒が進んじゃいます。ね？美優さん
美優,そうですね……桜がとても綺麗
楓,む……
早苗,ふぅん……
P,えっ、何で俺は睨まれてるんです？……とりあえず場所取り行ってきますね！
早苗,あ、場所ならすでに確保してあるわよ
P,本当ですか？いやあ、頼りになるなぁ。でも、誰が……？
美優,あ、それはですね……
比奈,おー、やっと来たっスか
P,お疲れさん。比奈が場所取りしてくれてたのか
比奈,そうっスよ、せっかくお呼ばれしたので、これくれいはと思いまして
楓,お疲れ様でした、比奈ちゃん。お酒もおつまみもたーくさんありますからね♪
比奈,アタシはちょっとだけでいいっスから
早苗,比奈ちゃん、最年少は飲んで頑張らないと。こういう席は飲んでなんぼよ？
P,あきらめろ、もう逃げられない
比奈,良い笑顔で肩をぽんぽんしないで欲しいっス……
P,皆さん飲み物はいきわたりましたね？それじゃ乾杯！
四人,かんぱーい♪
早苗,……ぷはぁー！こういうとこで飲むビールは格別ね
楓,ええ、より一層美味しく感じますね
美優,そうですね……いつもより飲んじゃいそうです
比奈,お、随分おつまみあるんスね。食べてもいいでスか？
早苗,いいわよー、どんどん飲んで食べちゃって！
比奈,いただきまース
P,あーお花見最高！久しぶりでテンションあがるわ
楓,良い飲みっぷりですね、ささ、どうぞもう一杯
P,すみません……ぷはー、美味い！
楓,ふふふ、まるで子供みたいですね
P,いやー、こっちに来てからお花見してなかったので、ついはしゃいじゃいました
楓,喜んでもらえて何よりです
P,あ、楓さんもどうぞ
楓,ありがとうございます……ふぅ、美味しい
美優,……
早苗,どうしたの美優ちゃん？ははーん……なるほどね
美優,えっ、いえ私は別に……
早苗,いいからいいから、ほらこれでも飲んで
美優,日本酒ですか？私あまり得意ではないんですけど……
早苗,まぁまぁ、だまされたと思って、ね？
美優,わかりました……わ、美味しいですね
早苗,そうでしょ？ほら、まだいっぱいあるから
比奈,からあげ美味しいっス
P,おお、桜吹雪だ
美優,プロデューサーさん……
P,美優さん……あれ？なんか目が座ってませんか？
美優,えっ、私はまだ座ってませんよ……
P,いえ、そういう意味では……(これはもう出来上がってるな)
美優,それじゃあ失礼しますね
P,わっほい！なんで俺の膝の上に座るんですか！？
美優,そんな嫌そうな顔をされると……私、傷つきます……
P,むしろ嬉しいんですけど！じゃなくて、周りの目とかね？
美優,大丈夫です……私たち以外にだーれもいませんから
P,えっ……やったラッキー！ってそういう問題じゃありません！！
美優,そんなこと言わずにお酒飲みましょう……ね？
P,美優さん、顔が近いです。飲みますから落ち着いてください
美優,わぁ、さすがプロデューサーさんですね……。それじゃあ……はい、どうぞ
P,え、コップが一つだけ？
美優,私が飲ませてあげます……あーん
P,ちょ、ちょっと待っ……ぷはっ！比奈、見てないで助けてくれ
比奈,アタシ、たこ焼き食べるのに忙しいんスよ
早苗,良いの？止めなくて
楓,プロデューサーも美優さんも楽しそうですから
早苗,それもそうね。さ、比奈ちゃんも飲みましょうか
比奈,アタシ、焼きそば……ああっ
早苗,せっかくのお花見なのよ？お酒も楽しみましょ
比奈,あー……はい、頂きまス
楓,嬉しいわ、比奈ちゃんとこうやってお酒が飲めるなんて
P,……
美優,……
比奈,……
早苗,三人も寝ちゃったわね
楓,そうみたいですね、ふふっ……可愛い寝顔ですね
ちひろ,お待たせしました……って、あらあら
早苗,お疲れ様、ちひろちゃん！さぁ、私たちと飲みましょっか
ちひろ,ええ、追加のおつまみとお酒も買ってきましたから
楓,流石ですね……それでは
三人,乾杯♪
