神谷奈緒,お疲れ様でーす
モバＰ,以下Ｐ
奈緒,ああ。ばっちりだ。ミスというミスはしなかったぞ
Ｐ,さすが、俺が見込んだアイドルだな
奈緒,ばか、よせ。照れさせんなよ。まったく
Ｐ,わかったわかった。わかったよ。おっ、電話だな
奈緒,凛からか。何だ？
Ｐ,ある場所へ来てほしいんだと。行ってやってくれないか
奈緒,特に用事がないしな。行ってくる
Ｐ,行ったか。さてさて、俺も準備するか
奈緒,凛からお願いされるか。そう珍しいことでもないけどな
戦場ヶ原,あら、阿良々木くん。遅かったじゃない
八九寺,阿良々木さん。遅すぎですよ
羽川,急にごめんね。阿良々木くん
奈緒,は？？ゑ？？ナニコレ
戦場ヶ原,阿良々木くん。今の自分がおかしいということを受け入れられないのね
八九寺,まったく、阿良々木さんは自分を認めようとはしないんですね
奈緒,え、どうなっているの？
羽川,阿良々木くん。現実を受け入れて。ありえないとしても現実を受け入れるの
奈緒,あっ、ああ
戦場ヶ原,阿良々木くん。話をしましょう。３？対１で。羽川さんが言うには私の隣には誰かがいるみたいなの
奈緒,そうか。じゃなくて。おい、凛。何やっているんだ
戦場ヶ原,渋谷凛
奈緒,つまり、私が好きなアニメの主人公になれると
戦場ヶ原,滅多にないことよ。みくが自分から魚市場へ行こう！と言うぐらいに
奈緒,無いに等しいぐらいじゃないか！
戦場ヶ原,そういうことよ
奈緒,で、八九寺は仁奈だな。何でこんなことに？
八九寺,市原仁奈
奈緒,人を火炎属性の全体魔法でいうんじゃない。阿良々木だ
八九寺,そうでしたね。ごめんなさい。アラハバキさん
奈緒,人を土偶みたいなペルソナで呼ぶんじゃない。
八九寺,失礼。噛みました
奈緒,噛んだな。わざとだな
八九寺,失礼しました。噛みまみた
奈緒,わざとじゃない。はぁ
八九寺,疲れていますね。阿良々木さん。私が魔法を唱えましょう
奈緒,おい、私にダメージを与えるつもりか
八九寺,メシアライザーです
奈緒,全回復とバットステータス解除か。さすがだな
八九寺,阿良々木さんは敵なので。効果があるのは私と戦場ヶ原さんと羽川さんだけですね
奈緒,お前らだけ全回復か。この状況、3対1でとか冗談じゃないぞ
八九寺,でしたら、阿良々木さんには私の中のネビロスとベリアルが合わさったのから魔法を唱えますよ
奈緒,やめろ。即死はやめろ
八九寺,さすがです。阿良々木さん。ノッてくれるんですね
奈緒,おお、任せとけ。そして、羽川は。うーん。誰だっけ？
羽川,阿良々木くん。ひょっとして、覚えてないの？
奈緒,待って。えーっと
戦場ヶ原,あなた、ひどい人ね。数少ない友人である羽川さんのことを忘れるなんて
八九寺,そうですよ。取り柄が片手指で数えるぐらいしかないのに
奈緒,そんなこと言うんじゃない。えーっと
戦場ヶ原,そんな阿良々木くんには後で罰を与えましょう。ぽちっ
奈緒,何だよ。誰に電話したんだ
戦場ヶ原,妹さんよ。阿良々木くんの
奈緒,妹？連絡取れるかよ
戦場ヶ原,出来ないことはないわ
奈緒,はぁ。
戦場ヶ原,さて、阿良々木くん。羽川さんについてだけど
奈緒,ああ
戦場ヶ原,私が言うと疑われるから、羽川さんに言ってもらうわ
奈緒,お、おお
羽川,浅野風香です。阿良々木さんとはあまり会わないもので
奈緒,風香か。びっくりした。違和感がなかった。
戦場ヶ原,私もよ。画像を見たとき、そっくりだったもの
羽川,私もです。ある人から頼まれて行ったのに、ほぼ演技だけでやれるなんて
奈緒,これですべてが終わったな。こんなことを考えるのはプロデューサーだな。プロデューサーを呼ぼう
羽川,阿良々木くん。プロデューサーさんのこと、とっても気になるんだね
奈緒,ああ。まったくだ。…って何言わせるんだ！
戦場ヶ原,羽川さんは阿良々木くんのことについて何でも知っているのね
羽川,何でもは知らないわよ。知ってることだけ
奈緒,凛！そのやり取りしたかったのに。早いな。プロデューサー。見てく…！？
忍野メメ,Ｐアロハシャツ首から十字架
忍野忍,メアリー・コクランストレートカールヘアーヘルメット
キスショット,松本紗理奈
奈緒,
メメ,どうしたんだい。阿良々木くん。驚き、絶句しているような様子で
奈緒,あんたもそっち側か！
メメ,ある人からのご依頼でね。キミを楽しませるようにとのことでね
忍,そうじゃゾ。わが主サマ
キスショット,現状を甘んじて受け入れなさいな
奈緒,わかったよ。まったく
忍,奈緒はショージキだワ。プロデューサー
キスショット,メアリー。奈緒じゃないわ。今はわが主サマか主って呼ぶのよ
奈緒,楽しんでいるなー
メメ,そうだ、阿良々木くん。電話していいかい
奈緒,好きにしろ
メメ,もしもし。私だ。そう。アレを持ってきてほしい。お金か？全額払うから
奈緒,誰にしたんだ？
メメ,誰だっていいだろ。阿良々木くん。
法子,みんなー。ドーナツたっくさん持って来たよ！！
忍,わーい。ドーナツ！！
奈緒,この絵、アニメでよくみたな
メメ,ドーナツはたくさんあるようだね。みんなで食べようじゃないか
戦場ヶ原,たくさんあるね。フレンチクルーラー食べるね
八九寺,イチゴがかかったやつがいいです
羽川,オールドファッションってほっとしますね
奈緒,ドーナツっていいよな。メアリーは両手で持っているし
忍,あむっ。あむっ。ニホンのドーナツ、やっぱりすばらしいワ
メメ,頼んだ甲斐があったよ。このような光景が見れるなんてな
キスショット,みんな可愛いんだから
