ガヴリール,んん…、ぷは…っ、だ、だめ、ラフィ…人が来ちゃう…
ラフィエル,ふふ…もうみんな下校しましたし、誰も来ませんよガヴちゃん…それより、ほら、もう一回こっち向いて
ガヴ,だ、駄目ですラフィ…わ、私達…と、友達同士なのに…こ、こんな…
ラフィエル,友達同士、だからでしょガヴちゃん…仲のいい友達同士なんだから、キスくらいあたりまえのことです
ガヴ,な、あ、当たり前だなんてそんなこと…あ、ちょ、ら、ラフィ…あっ
ラフィエル,もう…聞き分けのないガヴちゃんには…友達より上の…親友同士のもっとハゲしいキス、しちゃいますね
ガヴ,あ、ちょ…ラフィ…だ、だめです…んっ…、。はあ…はあ…んフィ…こ、これ以上は…はあ…
ラフィ,ん…仕方ないですね…もう暗くなっちゃってますし…ここまでにしときますか。………
ガヴ,ラフィ、わ、わかってくれましたかっ
ラフィ,ええ、今後は図書室でこういう行為をするのは控えましょう
ガヴ,ら、ラフィだ、だめ…あっ…んんっ…
ラフィ,大丈夫です、ここなら昼休みでも誰も来ないですから…
ガヴ,そ、そういう問題じゃ…。んな…ら、ラフィ…ベロチューだなんて、はしたない言葉をあ、あ、や…んん…。ラフィ…ラフィは最低です…不埒です
ラフィ,なんですか、ガヴちゃん、やぶからぼうに
ガヴ,だって…だって…、駄目だって言ってるのに…私にいつもいつも…あ、ああ、あんなはしたない行為をしてきて…助平です、スケコマシです
ラフィ,んもう…ガヴちゃん…ガヴちゃんのほうこそそんなはしたない言葉、どこで覚えたんですか、わたし、別にスケベじゃないですよ。んもう、何言ってんですかガヴちゃん…。わたしがあんなことするのは、一人だけ。一人だけですよ。大好きなガヴちゃんだけですよ
ガヴ,…っ！か、からかわないでください、ラフィ、も、もう帰ります！
ラフィ,ふふ…可愛いですねえ…もう一回シてもいいですか！
ガヴ,だ、だめに決まってますっ！ラフィのばかっ
ラフィ,あ、待ってくださいよガヴちゃーん
ガヴ,……なんてことが昔あったっけかな…な、ラフィエル
ラフィ,あ、ああ～、そ、そうですね…あ、あったようななかったような…
ガヴ,ふうん、覚えてないんだ、ま、別にどーでもいいけど。なんだよ？
ラフィ,なんでわたし今、拘束されてるんですかね？。え、えええ、な、な、なんですかガヴちゃん、な、なんのことですか…突然、お導きって、わたし、全然心あたりがないんですけど…。！！？。あ、ふぁ！？い、いや、な、なに…いやべ、別…な、なななんの話ですかガヴちゃん！？。い、いや、ガヴちゃん…あの…
ガヴ,けど、なんていうかさ…昔、なんか、あんなことするのは1人だけですっ。やっぱ、誰かがキツイお導きをしなきゃなっておもったんだよねえ
ラフィ,ひっ！？
ガヴ,やっぱ襲ってんじゃねーか！ウソつき！色ボケ天使が…！こうなったお前にはキツい導きくらわしてやんだからな
ラフィ,み、導きって、ガヴちゃん、い、一体何をする気…ひっ
ガヴ,毒をもって毒を制すだよ…お前みたいなエロ天使には、エロで仕返ししてやるよ
ラフィ,！？。え、ふぁ、が、ガヴちゃん…ガヴちゃんが何いって…あっ
ガヴ,それにいまは、駄天使だから…不埒なことにも全然、抵抗ないしさあ…お前を襲うくらい全然わけないし。はんっ。…あれから何年たってると思ってんだ…いつまでもお前にたぶらかされるだけの私だと思うなよ…バカラフィ…ん
ラフィ,ん…が、ガヴちゃん…んん…
