作中に登場する,ドメモ
瑞希,今日も一日、お疲れ様でした
桃子,瑞希さんもお疲れ様
瑞希,今日は周防さんの番ですね。何を持って来たんですか？
桃子,今日はこれ
瑞希,ドメモ、ですか
桃子,結構面白いんだよね。隠れた数字を当てるだけなんだけど
店員,ご注文は如何なさいますか？
瑞希,アイスティーとアイスココア、それとホットケーキを
桃子(注文を取りに来た店員に瑞希さんが流れるように伝え、店員は,かしこまりました
桃子,あれ、オレンジジュースじゃなくて？
瑞希,今日はココアの気分でしょう？
桃子,……よく分かったね
瑞希,周防さんのことはよく知っていますから
桃子,なんか恥ずかしいね、こういうの。瑞希さんはドメモ初めてだっけ？
瑞希,そうですね。数字を扱うゲームは何故か得意ですが
桃子,簡単に説明するね。ドメモは自分の手元にある数字を当てるゲーム。タイルはそれぞれ数字の数だけあって、その数や場で見える数字から推理していく。自分の手札は相手にだけ見えるように立てて置いてね。これで相手の手札と場にある数字が出揃ったから、後は交互に自分の手札を推測していく。当てることが出来ればそれを公開し、自分は再度手番が来る
瑞希,なるべく連続で当てていく方が有利に進む、と
桃子,まぁそうもいかないけど。数字タイルは1なら一つ、2なら二つと言った感じで数字と同じ数しか存在しない。さっき端に寄せたタイルと自分の手札は見えないから、全体の数と見えている14個のタイルから推測することになるかな。じゃあ始めよっか。手番はどうする？
瑞希,ジャンケンでもいいですが……トランプなんてどうでしょう？
桃子,数字の大きさで決めるのね。それで行こっか
瑞希,周防さんはハートの7ですか。私は……スペードのJなので、先手ですね
桃子,うげ。先手取れなかったの結構拙いかも……
瑞希,では始めましょうか。そうですね……7
桃子,ん、正解。正解したら表にするね
瑞希,これで7が四枚。まだ半数しか出ていないですね
桃子,大分踏み込んで来るね。でも見えない七枚にある可能性も高い
瑞希,ではもう一度、7
桃子,ん、正解
店員,お待たせしました。アイスティーとアイスココアです
瑞希,あ、飲み物来ましたよ
桃子,ありがと。……あ、このココア甘くて美味しい
瑞希,周防さんが好きな味だなと思って。この店に誘ったんですよ
桃子,探してくれてたの？……嬉しいな
瑞希,喜んでもらえたようで何よりです。……やったぞ
桃子,ホットケーキの方も期待していいのかな
瑞希,えぇ、きっと満足して貰えると思いますよ
桃子,凄い自信だね。楽しみにしとく
瑞希,楽しみにしておいてください。……5
桃子,ハズレ
瑞希,あれっ
桃子,それじゃあ、5かな
瑞希,正解です。……タイルを倒せばいいんですよね
桃子,そ。見えるように倒しておいてね。3
瑞希,正解です
桃子,6
瑞希,それも正解……当てて来ますね
桃子,桃子は経験者なんだから。このくらい出来て当然だよ。それじゃあ、5
瑞希,ハズレです。次は私ですね
桃子,あちゃ
店員,こちらホットケーキです
桃子,あ、ホットケーキ来た。食べよ？
瑞希,えぇ、早速頂きましょう。……周防さん？
桃子,え、どうしたの？
瑞希,いえ、先程から挙動不審なので
桃子,あぁいや、大した問題じゃないけど。シロップが甘いなぁって
瑞希,ここのホットケーキはシロップではなく、蜂蜜を掛けるんですよ。バターと合わせると良く引き立つんです
桃子,へぇ……そう考えると蜂蜜もありかも
瑞希,悪くないでしょう？
桃子,確かに、美味しい。店選びを瑞希さんに任せて正解だったね
瑞希,……そう言われると、少し照れますね
桃子,ゲームに戻ろうか。今のところ枚数では桃子が有利だけど？
瑞希,駆け引きは終わるまで決着が見えないのが面白いんですよ
桃子,へぇ、言うじゃん。その割に悩んでいるみたいだけどね
瑞希,悩めば悩むほど勝率が上がりますから。思考こそが勝利への道です。では、4
桃子,ん、正解。大分冴えてるね
瑞希,ならば、1で
桃子,ハズレ……ふぅ。じゃあ、3で
瑞希,正解です
桃子,続けて6
瑞希,それも正解。……ピンチだぞ、瑞希
桃子,7
瑞希,ハズレです。惜しかったですね
桃子,うーん、行けると思ったのになぁ
瑞希,……うーむ
桃子,随分悩んでるね
瑞希,では7で
桃子,ん、正解
瑞希,2
桃子,正解
瑞希,6
桃子,ッ、正解
瑞希,4
桃子,……正解。やるね、瑞希さん
瑞希,いえいえ、そちらこそ。何度も頭を悩ませましたよ
桃子,殆ど回避されてたけどね……負けたよ。うわ、桃子の札1と4だったか……って、1あったの！？
瑞希,はい。あの時1と言ったのは、実は無いと思い込ませるための策略だったのです。……えっへん
桃子,いや全然気付かなかったよ……これさっき当たらなかったとしても負けてた気がする
瑞希,そうでしょうか？周防さんなら二回か三回で気付くと思いますが
桃子,いや二回もミスしたらそりゃ気付くし負けるでしょ……ホント、敵わないな
瑞希,さて、周防さん。今回は私の勝ちですから
桃子,はいはい、夕飯奢りでしょ
桃子(……そのまま負けた方の奢りで夕飯を食べに行く。安直だと思うけど、瑞希さんが,同年代の方がよくしているのを見るので
桃子,……千円で夕飯奢るって難しくない……？
瑞希,そうでしょうか？
桃子,いや殆どファミレスになっちゃうじゃん。瑞希さんが良いって言うならいいけど
瑞希,構いません。友達とファミレス、というのも貴重ですし。……わくわく
桃子,え、そうなの……桃子もそんなに行くわけじゃないけど。瑞希さんはそういう機会無かったの？
瑞希,ありませんでしたね。周防さんと行くのが初めてだったりします
桃子,そうなんだ……なんか気合い入っちゃうね
瑞希,それじゃ、先にどこかで体を動かしておきましょうか
桃子,そうだね。せっかくならお腹空かせておきたいし
瑞希,どこに行きましょうか
桃子,適当にゲームセンターでいいんじゃない？結構体動かせるし
瑞希,ならそうしましょう。近くにありましたっけ
桃子,多分あったはずだけど……お会計だけ済ませてくるから、調べておいてくれる？
瑞希,分かりました。ありました。ここから五分ほどで着きそうです
桃子,結構近いね。それじゃ、行こっか
瑞希,えぇ。……ちなみに、何故ゲームセンターを？
桃子,決まってるじゃん。奢るにしても、負けっぱなしはイヤなの
瑞希,なるほど。でもそれなら私だって負けません。……めらめら
桃子,桃子も負けないんだから！……ふふっ♪
