モバマスより塩見周子と小早川紗枝,きつね
紗枝,なんですのん、藪から棒に
周子,なんか気になって。紗枝ちゃんっていつも飄々としてるし、怖いものなんてありませーんて感じやん
紗枝,当たり前どす。いかなる時も自若たるべし、とお父はんは言うたはりました
周子,そうは言ってもさー、お年頃の女の子なわけじゃん。なんか無いの？幽霊とか妖怪とか
紗枝,今更そないなもんに怯えとってどないしますの。そこいらの草や石を恐れる道理はあらしまへん。せや、かくいう周子はんは？あんたはんもお年頃のおなごやない
周子,あたし？あたしはねー、えっとまんじゅ
紗枝,まんじゅう怖いは通用しまへんえ？
周子,うっ先手を打たれた……。……う～ん？そうだなぁ、強いて言うならまあ、襲ってくるようなんは大体怖いけども
紗枝,妖し、幽かそ
周子,それこそ。あたし慣れてるし、今更びびってらんないでしょ
紗枝,ほぉ～。慣れたいうんは……
周子,？なんでそっぽ向いて――
紗枝,こぉんな顔のことどすかぁ？
周子,のわぁっ！？
紗枝,うふふっ、引っかかった引っかかった～♪
周子,ぐぬぬ……このあたしがしてやられるとは……！。ということで。これより紗枝ちゃんは何が怖いか会議を開きたいと思います
小梅,急……だね……
輝子,け、ケンカでも、したのか……？
周子,まあそういうわけでもないんだけど
智絵里,紗枝ちゃんを、怖がらせたいんですか？
由愛,でも……どうして、そんなこと……？
周子,ふふふ……ちょっと仕返しがしたくてね。やられっぱなしのシューコちゃんじゃないってのふふふふ……
輝子,な、何かのスイッチが入ってる……な
小梅,でも、面白そう……♪
周子,かくして、いくつかのそれっぽい案が出た。あたしらはその全てを実際に試してみることにした。そう……全ては。紗枝ちゃんを怖がらせるために……！！
小梅,こ、これ、ここから先が面白いの……♪
紗枝,はぁ～、海の向こうにはこないなこともあるんどすなぁ～
輝子,きょ、興味津々……だな……紗枝ちゃん
紗枝,骸が動きはるいうんは、あちこちでよう聞く怪異やさかいなぁ
小梅,ほらっ、ここのゴアシーン……っ♡
紗枝,ほあぁ～、真っ赤っかどすなぁ～
周子,普通に楽しんどる……
智絵里,
由愛,
智絵里,……お爺さんは、その汁物を全部食べました……。そして言ったんです。おいしかった、これは何のお肉なんだい？って……。…………すると狸は言いました…………。お前が食べたのは、お婆さんの肉だって……！！
周子,……カチカチ山って冷静に考えたら結構ひどい話だよね
紗枝,昔の狸は加減を知らへんのもおったて言いますからな～
由愛,お婆さん、かわいそう……
輝子,リーベンジ！リーベンジ！
小梅,ぺいばっくたいむだ～……
智絵里,あ、あれ？怖い話になってない……
周子,ちなみに智絵里ちゃん的には美穂ちゃんってどうなん？
智絵里,えっ？大切なお友達だけど……美穂ちゃんはそんなに酷いことしないし。あ、でも、兎仲間に会わせるのはちょっと危ないかも。……まだ恨みを持ってる子もいるんだ
周子,一番怖いのは兎ってオチやないのこれ
輝子,ヒーーーハーーーーーーッ！！！冥王星までブッ飛ばせェェェエエエエエエエッ！！！
小梅,わ～～～～……♪
周子,いえーい！！いけいけーーーっ！！
紗枝,あ～～～～～れ～～～～～～～♪
智絵里,あっあっあっ、あ…………おはなばたけ…………
由愛,み、みんな、大丈夫かな……。私が乗ったら、泣いちゃいそうだから……あ、ソフトクリームおいしい……♪
輝子,フゥ……フゥ……限界の先が見えたぜ……！
小梅,た、楽しかったぁ……♪
紗枝,たまにはこういうのもええもんどすなぁ♪
周子,むぅ、普通に楽しんでもうた
智絵里,
周子,……てか智絵里ちゃん大丈夫？
小梅,あ……魂抜けてる……
由愛,えぇ……！？も、戻さなきゃ……！
小梅,えいっ
智絵里,ふんむぎゅ！
由愛,それで、これはベクシンスキーの絵で……
紗枝,ほうほう～
由愛,こっちは有名な、ゴヤの我が子を食らうサトゥルヌス……
紗枝,あらぁ……
由愛,これはシッカートっていう画家の、切り裂きジャックの寝室っていうんだけど……
紗枝,ほほぉ～……
由愛,こっちはマグリットの恋人たちって絵で、作者の背景を考えると……
紗枝,ふむふむ～……
由愛,紗枝ちゃん、平気なんですね。私、見るだけで泣いちゃいそうになっちゃって……
紗枝,ん～、おっとろしいんはそうなんやけど……。人の絵いうんは、筆を取りはった人間はんが何を思うてはったかとか……。その時の思想やら時世やらが、うーっすら見えてくるもんやないかなぁと思てましてなぁ。せやから、あんまし偏見は持たへんように気ぃ付けとるだけどす～。日本の地獄絵かて、その頃の人らがどないなあの世を信じてはったか、ようわかるもんやしなぁ
智絵里,地獄絵図は怖いよぅ……
輝子,フヒ……少しならわかるぞ……カーカスのジャケットみたいなのだろ……
小梅,あ、それギーガーがデザインしたやつ……私も好き……♪
周子,なんか、思いのほかアカデミックな時間になっちゃったわ……。う～～～～～～ん全部ハズレ。どうしたもんかなぁー
紗枝,まだ気張ってはりますの？人間、諦めが肝心どすえ～？
周子,くっ、人間じゃない子に言われると悔しい
芳乃,ただいま戻りましてー
蘭子,魔王の帰還よ！
美穂,ただいまー。これお土産、みんなで食べよっ！
周子,おー三人とも、泊まりのロケお疲れさーん。箱根だったっけ？
芳乃,いかにもー。とても趣のある道行きだったのでしてー
美穂,でも大変だったよぉ。楓さんと茄子さんが我々は日本酒を要求するーって。お酒が来るまでお風呂を出ないって、裸の籠城作戦を始めて……
周子,相変わらず自由が過ぎるわ年長組……
蘭子,ふっふっふ……そしてこれは、我が同胞への冥府よりの贈り物よ！
周子,お、おぉ……修学旅行で誰か一人は買ってるやつ……
蘭子,そなたらに闇の龍神の加護を与えん！
周子,まあ一周回ってお洒落かもしんないね。スマホにでもつけとくわー。あ、こっち紗枝ちゃんのぶ……
紗枝,こん
周子,遠ッ！遠いななんか！いつの間にそこまで行ったん！？
紗枝,なんでもあらしまへん
周子,いやなんでもないってことないでしょ。こっち来なよ
紗枝,せやったらな。その、それをな。むこうへやっておくれやす
周子,それ、って……。紗枝ちゃん
紗枝,……
周子,ひょっとしてこれ？これが怖いの？
紗枝,…………
周子,どっち？剣？龍？剣じゃないよねー多分
紗枝,………………
周子,そういえば蘭子ちゃんのノート、一部分だけ見ようとしないことが結構あったけどー……
紗枝,……………………
周子,それはひょっとして、そこに怖いものがあったからとか？。ひょっとしてひょっとすると、それってこの超かっちょよくて細長い伝説上の生き物の～……？
紗枝,こ
周子,こ？
紗枝,こーーーーーーーーんっ！！！
周子,あいたーっ尻尾ビンタ！！
紗枝,あ、あ、あかん～……っ！遭うてしもうたらうち、百年目やぁ～～～っ！！
美穂,ええ！？さ、紗枝ちゃんどこ行くのー！？
蘭子,迅速はや
芳乃,紗枝さーん、お待ちになってくだされませー。まってーーーーー
周子,まさか龍が怖かったなんてねー
紗枝,うぅ……。なんやご先祖様がえらいおっとろしい目に遭わされたいうて、御家で語り伝えられとるんどす。うちもよう寝物語に聞かされました。龍はんはほんまにおっかないもんや、出くわしてもうたら百年目や……。見つかったら最後、頭からばりぼり喰われてしもうておしまいやて……はうぅ
周子,……って言ってもなぁ、いるのかねそんなん。あたし見たことも聞いたこともないわ。あ、そだ。聞いてみよ
茄子,流石にいませんよ～
周子,ほらやっぱり。メルヘンやファンタジーじゃないんだから
紗枝,せやったらええんやけど……
茄子,間違いありませんよ。マンモスさんやサーベルタイガーちゃんだってもういないんですから、ね？
周子,えっ何そのカテゴリーなん？昔はいたってこと？
茄子,ちょっと前はニホンオオカミ君だったし、そろそろウナギちゃんも危ないかもですね～
紗枝,うち、ウナギもヘビも嫌やわぁ……似てはるし……
周子,まあまあいいじゃん、実物はいないってことなんだしさ。ところで寮帰ったら一緒にド〇ゴン〇ール見ない？
紗枝,こん！
周子,あいたーっ！
Ｐ,ふーん、そんなことがなぁ
周子,そうそう。以降気を付けてちょうだいねー
紗枝,こん……
周子,そいえばプロデューサーさんは何か怖いものある？
Ｐ,そうだなぁ……まん
周子,まんじゅう怖いはナシね、被ってるし
Ｐ,ぐぬぬ。………………じゃ白封筒かなぁ
周子,ガチな奴やん……
Ｐ,まあ深くは考えないようにしよう……。あ、昼飯食うか？奢るけど
周子,おっマジ？行く行くー、どっかおいしいとこあんの？
Ｐ,ちょっと歩いたとこに美味いラーメン屋を見つけてな。紗枝も行くか？
紗枝,らあめん、どすか？いつもはよう食わへんけど、たまには乙なもんかもしれまへんな～
Ｐ,おし、決まりだ。駅の向こう側にあるラーメンDRAGONって店でな――
紗枝,こん
Ｐ,遠ッ！どうした！？
紗枝,うちな。やっぱりおそばがええ。らあめん、あかん
Ｐ,なんでいきなり語彙力壊滅してんのこの子
周子,ああお店の名前ね……
Ｐ,それも地雷なのか……じゃあそば屋にするか。関西風のとこでいいな？
周子,紗枝ちゃーん帰っといでー。一緒にきつねそば食べようやー
紗枝,……♪
Ｐ,寄ってきた
周子,かわいい
Ｐ,えっと最寄りのそば屋は、っと。……辰
周子,イコール龍……
紗枝,こん
Ｐ,ああっ！紗枝！？
周子,ちょ、どこ行くん！待ちなってば～！
