？,あっ、猫
志保,おいで。人懐っこい子ね、可愛い。首輪はついてないし……野良、よね
茜,おやおや～、しほりん。どうしたのかな？
志保,茜さん、どうも
茜,おやおや～。ずいぶんかわいい子を相手にしてるじゃん
志保,野良猫だと思うんですが、人懐っこくて、つい
茜,なでなでしちゃってたわけか～。おやおや～。よく見るとこの子、美也ちゃんに似てない？
志保,美也さんに、ですか？
茜,ほら、この毛の色とか。何より目の上の毛の色がちょっと違うのが、眉毛っぽくない？
志保,そうですか？まぁ、わからなくはないですが
茜,ふっふっふ、みんなに送ってあげよう。今日の話題はこの子が独り占めだね
志保,茜さん、そろそろ行かないとレッスンに遅れますよ
茜,おぉっと、そんな時間か。名残惜しいけど、じゃあね
志保,ばいばい
茜,あらら。あの子ついてきちゃってるよ
志保,……どうしましょう
茜,……劇場はもうこぶんちゃんが居るから、これ以上は飼えないよねぇ
志保,わかってます。でも
麗花,わぁ、ほんとに美也ちゃんそっくり
星梨花,とってもかわいいです！
静香,わ、私もなでなでさせてください！
美咲,確か大きめのダンボールが倉庫に……
茜,つれてきちゃったねー、しほりん
志保,……責任持って、飼ってくれる人を探します
茜,安心したまえ。茜ちゃんも手伝って進ぜよう
志保,結構です
茜,遠慮しなくていいんだよー。茜ちゃんも同罪だからね
Ｐ,お疲れーって、なんで猫が
志保,……すみません、私が。ずっと、着いてくるので
茜,待ちたまえプロちゃん。茜ちゃんも一緒に連れてきちゃったのだよ！
Ｐ,お前らなぁ、さすがにシアターではこれ以上飼えないぞ
志保,わかってます。私が、飼い主を探します
茜,茜ちゃんも頑張るよ！
Ｐ,で、見つかるまではどうするんだ？
志保,それは、うちで……
茜,う、うちでも大丈夫だと思うよ！
Ｐ,親御さんに許可は取ったのか？
志保,まだ、です
茜,……うん
Ｐ,志保、茜。気持ちはわかるが……
星梨花,わっ
Ｐ,……はぁ。しょうがないなぁ
志保,えっ？
茜,おやっ？
Ｐ,俺の実家で飼ってもらうよ。最近、親父もお袋も仕事辞めて暇だって言ってるし、動物好きだしな。とりあえず今夜はウチに連れてって、明日の午前中休みとって実家に連れてくよ
志保,プロデューサー……
茜,プロちゃん……
Ｐ,今回だけだぞ？
志保,あっ、ありがとうございます
茜,プロちゃん、ありがとう！
Ｐ,ほらっ、そろそろレッスンの時間だぞ。トレーナーさん待ってるから早く行ってこい。名前、考えないとなぁ
貴音,ただ今戻りました
Ｐ,おう、貴音。お疲れさん。音無さんも付き添いありがとうございました
小鳥,いえいえ。プロデューサーさんこそお疲れ様でした。領収書だけ先に頂けますか？
Ｐ,了解です
小鳥,あらっ、猫？
Ｐ,志保と茜が拾ってきちゃったみたんですよ。妙に人懐っこい猫でしてね
小鳥,あらら。最近このあたりじゃ見なくなったと思ったんですが
Ｐ,今日はうちに連れて帰って、明日の午前中に実家に連れて行くことにします
小鳥,そうですか。よかったね、新しいおうちができるよ
Ｐ,あっ、これ領収書です。あと、明日は午前半休いただきますので、有給申請書と……
小鳥,はいはい、確認しますね
貴音,もしや……。美也、ですか？。やはり、そうですか。何らかの原因で宮尾美也の精神が猫に移っているようです。狐憑きの人妖が逆転したような状態……とでも申しましょうか。私の知り合いにこういった類の専門家がいます。頼んでみましょう。ただ、今すぐとは参りません。今夜はプロデューサーの家で待っていてください。プロデューサー、申し訳ございません。本日はこれで失礼させていただきます
Ｐ,ん？ロコが帰ってくるのを待ってお茶に誘うんじゃなかったのか？
貴音,そのつもりでしたが……少々、用事ができてしまいましたので
Ｐ,そうか、お疲れさま。明後日の収録は俺も一緒に立ち会うから
貴音,かしこまりました。それでは、失礼いたします
美咲,はーい、猫ちゃん。お仕事が終わるまで、ここで待っててね。それにしてもかわいい猫ちゃんですねー。みんなが美也ちゃん似てるって言ってましたけど
小鳥,確かに。この目の上の毛が絶妙に美也ちゃん！って感じよね
Ｐ,うーん、言われてみれば
小鳥,はい、７６５プロシアターです。はい、いつもお世話になっております。少々お待ちください……プロデューサーさん
Ｐ,はい？
小鳥,演出の○○さんからです。今度の定期公演のことで
Ｐ,あー、そろそろ連絡入れようと思って忘れてたなぁ……
美咲,先輩、次のイベントの予算書です
小鳥,はい。えーっと……あら、警備会社への支払金額、これであってる？
美咲,え？この前のイベントと同じ人数にしたんですが……
小鳥,美咲ちゃん。今回は会場のキャパが大きいから前回の人数じゃ足りないわよ
美咲,えっ？あ、そっか！
小鳥,えぇっと、去年同じ会場でやったイベントの見積もりがこれね
美咲,……すみません、全然違いますね
小鳥,もう一度金額だけ確認してみてね
美咲,はい、わかりました
Ｐ,はい、はい。いや、理解はしております。ですがちょっとその時間は……。うーん……。わかりました、明日の１５時に伺います。はい、はい、すみません。よろしくお願いいたします
志保,すみません、本当にありがとうございました
茜,たまに劇場に連れてきてね！
Ｐ,わかってるって。ほら、お前らも早く帰れ
志保,はい、それでは失礼します
茜,プロちゃん、バイバイ
