ミリP(以下P),ただいまー
杏奈,あ…おかえりなさい……
P,ただいま杏奈
杏奈,お仕事お疲れ様……ご飯、もうちょっとでできるから……待ってて？。それと、スーツ貸して？あなた……いっつも、脱ぎっぱなしにしちゃうから……シワになっちゃうもん…
P,お、おう……悪いな
杏奈,んと……それから、お洗濯したシャツとか……アイロンかけて……しまっておいたよ
P,あ、ありがとう。わざわざすまん
杏奈,ううん……えっと、ご飯の前に……お風呂入る？
P,い、いや、先にご飯食べるよ
杏奈,ん……わかった……それじゃあ、ちゃんと手洗って待ってて…？
P,はーい
杏奈,ふふ……もうっ、子供みたい……
P,……ぐはっ
杏奈,ん……どうしたの？
P,い、いや、なんでもないよ。手洗ってくる。あっ、音無さん！
小鳥,プロデューサーさん、来てくれたんですね
P,はい！えっと、それで、杏奈の容態は！？何かが上から降ってきてそれが頭に直撃したって聞きましたけど
小鳥,ええ、通常より重いゴーレム茜ちゃん人形が、歩いていた杏奈ちゃんの頭上に直撃して気絶。そのままこちらの病院へ搬送されたんです。幸い命に別状はなく、意識も先程回復したんですけど……
P,けど？
小鳥,まぁ、これは実際に見てもらった方が早いですね
P,わ、わかりました。病室はここですね？。杏奈？俺だ、入るぞ？
杏奈,……
P,おお、杏奈。起きてたか、どうだ気分は？痛む所とかないか？
杏奈,ん……あなた…来てくれたの…？
P,……あ、あなた？
杏奈,何か……変、だった…？
P,えっ、いや、いつもはプロデューサーさんって呼ぶじゃん？それなのに、あなたって……
杏奈,ふ、ふふふっ……変なあなた、プロデューサーさんなんて……杏奈がアイドルの時の呼び方じゃない……？
P,いや、杏奈は今現在もバリバリのアイドルだろ？
杏奈,もう……しっかりして？杏奈は、アイドルはもう……引退したでしょ…？
P,へ？
杏奈,引退して……今は……あなたの奥さん……。ねっ……旦那さま……？
P,ふぁっ！？
杏奈,どうしたの……？すごい顔してたけど……
P,い、いやっ！そりゃそんな事言われたら
杏奈,それより……お仕事忙しいのに……わざわざ来てくれなくても……
P,あ……い、いやっ、何言ってるんだ！杏奈が病院に運ばれたっていうのに、仕事なんてしてられるわけないだろ？
杏奈,あなた……も、もう……いつまでたっても……心配性なんだから……///。ね……ちょっと……こっち、きて…？
P,え？お、おう
杏奈,んぅ……あなた……来てくれてありがと♪
P,わっ、ちょっ！？杏奈！？急にだ、抱きつくとか……
杏奈,ふふっ、いいでしょ……？それに、こうしてあなたに甘えるのが……何よりのお薬なんだから……ねっ？
小鳥,プロデューサーさんちょっと
P,あっ！？えっ、えっと、何か飲み物買ってくるよ。杏奈はゆっくりしてな？
杏奈,ん……わかった……ありがと…
P,お、おとっ、おとっと、おっとととっ、音無さん！
小鳥,はぁ、落ち着いてくださいプロデューサーさん
P,はぁ、はぁ……あれってどういう事なんです？俺、杏奈にからかわれたんでしょうか？
小鳥,いえ、杏奈ちゃん自体はマジです。本当にプロデューサーさんのお嫁さんだと思ってます
P,えっ？いったい、どういう事ですか？
小鳥,お医者さんが言ってたんですけど、今杏奈ちゃんは記憶が非常にカオスな状態になっているそうなんです
P,き、記憶がカオス？
小鳥,さっき杏奈ちゃんに自分の年齢を聞いたら、23歳と答えたんですよ
P,23歳！？いや、杏奈は14歳のはずですが
小鳥,それが記憶がカオスになってるという事です……あっ、ちょうどお医者様がいらっしゃいましたね！
偉い医者,ふぅ、私が偉い医者です。私から説明しましょう
P,自分から偉いをつけていくのか……。つ、つまり、杏奈は自分の事を23歳だと思っていて、更に俺と結婚していると思いこんでいるわけですね？
偉い医者,はい。見た目は幼いですが、中身は23歳の女性という事ですな。ちなみに今までの記憶を訪ねたところ、あまりはっきりとしないようで
P,記憶が抜けていると？
偉い医者,はい。杏奈さんの中ではっきりしている事は、今の自分は23歳でアイドルを引退して、そのままプロデューサーと結婚。今はアツアツの新婚生活真っ最中という事で
P,なんてこった、学校や仕事に支障は……やっぱありますよね
偉い医者,ええ、今の状態でお仕事や学校へ行かせても、記憶が混乱して余計に杏奈さんを追い詰めてしまうだけでしょう
P,じゃあ、どうすれば良いんですか先生！
偉い医者,それは……ああ、少し待ってください。ミリシタのスタミナが溢れそうなので、ちょっと消費してからお話します
P,おいこら
偉い医者,なに、簡単な話ですよ。杏奈さんが混乱しないように、杏奈さんの思う生活をさせてあげればいいのです
P,というと？
偉い医者,貴方と結婚していると思いこんでいるのですから、実際に結婚生活を送るしかないでしょう？
P,は、はぁ！？
杏奈,お料理……出来たよ……？
P,ああ、ありがとう杏奈。おおっ！？こ、これは……
杏奈,どうしたの……？もしかして、嫌いな物とか入ってた…？
P,いや、めちゃくちゃ美味しそうだなと思って、これ杏奈が全部作ったんだよな？
杏奈,そうだけど……でも…別に、いつもこんな感じだよ……？なんでそんなに、驚くの……？
P,あー、いや、てっきり杏奈の事だから、レンジでチンのお手軽な料理が出てくるかと思って
杏奈,も、もうっ……いつの話してるの？……それ、付き合う前の話……だもん
P,そ、そうだっけ？あ、あっはっは……
杏奈,むぅ……そんなイジワルする人には………お料理食べさせてあげない……
P,あっ、いやっ、ごめん杏奈！つい、ふざけちゃっただけなんだよ
杏奈,つーん……
P,杏奈の料理があまりにも美味しそうで、テンション上がっちゃった結果というか
杏奈,つーん、つーん……
P,杏奈様！どうか、どうかご機嫌をお直しくださいませ！この通り！
杏奈,……ふ、ふふっ、もう……杏奈様だなんて……また変な事言って……。ほら……早く食べよ？……あなたが変な事言ってる間に冷めちゃう……
P,あ、ああ…そうだな。それじゃ、いただきます
杏奈,どうぞ……♪
P,にしても本当に美味しそうだ…あむっ、もぐもぐ………んもっ！？。あむっ、んっ、はふっ、はふっ
杏奈,そ、そんなに…慌てて食べなくても……いいのに
P,すまん、杏奈。おかわり貰っていいかな？
杏奈,うん…。沢山あるから……いっぱい食べてね……？
P,いただきます！。まさか、杏奈が…杏奈がこんな美味しい料理を……ｸﾞｽｯ…成長したなぁ……
杏奈,も、もう……なんで泣いてるの…？恥ずかしいよ…
P,ごちそう様でした。ふぅ……
杏奈,いっぱい食べたね……？そんなにお腹……空いてたの？
P,ま、まぁな！
杏奈,杏奈……お皿洗うから、あなたはお風呂入ってきて……？
P,いや、手伝うよ。こんな美味い料理をご馳走になったんだし、何もしないのは良くないからな
杏奈,べ、別に……いつも通りに作っただけなのに……大げさなんだから……もう…///。じゃあ……うん…。せっかくだし……手伝って貰っちゃおう……かな？
P,ああ、任せろ
杏奈,二人で洗うと……あっという間だね……ありがと……♪
P,いやいや、これくらいは手伝うよ。なんなら明日も手伝うぞ？
杏奈,嬉しいけど……それはダメっ…
P,えっ、なんでさ？二人でやった方が杏奈も疲れないで済むだろ？
杏奈,そんなに、手間じゃないし…それに……なんだか…。二人分のお皿洗うの……嬉しいの……♪
P,そ、そそっ、そっか、杏奈がそこまで言うならやめておくよ。ふ、風呂入ってくるよ
杏奈,あ……うん……バスタオルと着替え…置いてあるからね……
P,お、おう、ありがとう。はぁ、いい湯だった……ん？
杏奈,んしょ……
P,杏奈、俺のスーツがどうかしたか？
杏奈,スーツ……ボタンが、取れそうになってたから……縫ってるだけ……
P,なっ！？。そ、そんな針とか使って大丈夫か？刺さって怪我しないか？
杏奈,大丈夫……心配しすぎだよ…。ん……出来た♪
P,どれどれ？
杏奈,お風呂……杏奈も入ってくるね……
P,あ、ああ……行ってらっしゃい
杏奈,ふぅ……
P,おっ、上がったか杏奈
杏奈,うん……気持ちよかった……♪
P,そ、そうだな、やっぱり風呂は気持ちいいよな！うんうん
杏奈,あ……ゲーム……してたの？
P,あ、ああ、急にやりたくなってな！どうだ？杏奈も一緒に
杏奈,でも……寝なくても平気……？明日のお仕事に……響いたりしない？
P,はっはっは。大丈夫だよ、軽く遊ぶだけだから
杏奈,それなら……うん……杏奈もやるっ……♪
P,お手柔らかにな？
杏奈,ふふ……どうしよっかな……？
P,おいおい、せめて一回くらいは接待プレイしてくれよ？
杏奈,久しぶり……何使おうかな……♪
P,ふっ、どうだ？金沢のバイブル白石のイキリテニスは
杏奈,まだまだ……だね……
P,ああっ！金沢のバイブル白石が場外に吹き飛ばされた！？
杏奈,試合続行不能……また、杏奈の勝ち…だね……♪
P,ぐぬぬ、ちくしょー、やっぱり杏奈は強いなぁ。俺じゃ手も足もでなかったぜ
杏奈,ふふっ、杏奈に勝つには……もう少し練習……必要だね？
P,仰る通りです。身の程を知りましたよ、とほほ…
杏奈,それじゃ……そろそろ…寝よ？
P,そうだな
杏奈,どうしたの……早く寝よ……？
P,お、おう……。杏奈、狭くないか？
杏奈,大丈夫……だよ……？
P,そ、そうか。それならいいんだど……
杏奈,あなた、あなた……
P,お、おう、どうした？
杏奈,えっと……ね？
P,うん？
杏奈,ん……んっ
P,
杏奈,んと……明日もお仕事頑張れる……おまじない……えへへ…///
P,
杏奈,杏奈も……寝るね……おやすみ……
P,頬っぺ……頬っぺた。う、うーん……ふわぁ
杏奈,あ、おはよ……
P,ん……あっ、お、おはよう杏奈
杏奈,朝ごはん……もうちょっとで出来るから……
P,そ、そっか、なんか悪いな～！何から何まで
杏奈,ふふっ……結婚してるんだから……これくらい普通だよ……？
