平成も終わるご時世によくまあ生き残っていたと思うほどのまさに,建つ骨董品
？？？,デル、でございますか？
不動産屋,そうなんだよお客さん。あのね、もちろんおたくの懐事情も十分承知してますよ。けどねぇ、何も知らない外人さんにそんな胡乱なとこ押し付けるのも騙すみたいでアレじゃない
？？？,ほぉー……
不動産屋,ぶっちゃけ、悪いこと言わないからもっとマシなとこにした方がよろしい。安かろう悪かろうにも限度がありますわな
？？？,ですがわたくし、ここよりお高いところのお家賃は、お出しできないでございますです
不動産屋,それだったらほら、都下のベッドタウンとか、ちょっと離れれば相場の低いとこは幾らでもあるわけだし
？？？,もっとお安いおうちはありますですか？
不動産屋,それは…………ちょっと無いと思うけど。…………本当にいいのかい？
ライラ,はいー。ライラさんは、ここに決めましたですよー。――ところで、デルってなんでございますですか？
メイド,お嬢様……
ライラ,おー、セ…………メイドさん、でございますね？
メイド,はい。私のことはここではただ、メイド、とお呼びくださいでございます。申し訳ございませんです。このような場所しかご用意できず……
ライラ,そんなことはー。ええと、このような時は……気にすんな？でございますか？
メイド,ええ、とっても日本語がお上手でございますです！
ライラ,うふふ。メイドさんにたくさん教えてもらいましたですからー
メイド,それではお嬢様、私は追っ手に対処するでございますゆえ
ライラ,おぉー。お気を付けるのでございますよー
メイド,抜かりはありませんです。お嬢様はご安心してお休みなさいませ！
ライラ,いってらっしゃいませー
デルとは日本語で,何やら不思議なことが起こる
ライラ,おー……。お仕事、できないでございますねー。これでは、ごはんが食べられないでございます……。夕焼け、まっかっか……。カレーの匂いがしてきますです……。公園の鳩さんは、ごはんがあるでございますか？。……おなかがすいてしまったですねー
？？？,ねえ
ライラ,はいー……？
女の子,あの、さっきはごめんね。お店に来てくれた子でしょ？
ライラ,？
女の子,ああ……その。あたし、商店街の弁当屋の子なの。信じらんないよね。お父さんてば、なんにも言わずに追い返したんでしょ？
ライラ,ああー……それはきっと、わたくしが何か無礼を働いたものかとー
女の子,そんなことない。余所者で色々面倒だからってあんなことしたんだよきっと
ライラ,おー
