工藤忍,ねえねえ柚ちゃん
喜多見柚,な～に忍ちゃん？
忍,目玉焼きの黄身っていつ潰す？
柚,へ？
忍,だから、目玉焼きの黄身、どのタイミングで潰す？
柚,え～どうしてまたそんなことを…
忍,え、何となく？
柚,……漫画でも読んだの？
忍,……まあ読んだよ
柚,それで聞いてみたくなったと
忍,……うん
柚,カワイイね
忍,恥ずかしいからそこら辺をつっこむのはもうやめて
柚,カワイイ～
忍,も、もうっ！ヤメテって……ほら、柚ちゃんいつ潰すの！
柚,え～アタシ目玉焼きの黄身、潰さないよ
忍,え、なんで？
柚,目玉焼き食べないから
忍,柚ちゃん目玉焼き嫌いだったの？
柚,いや、なんとなくアレルギーっぽいから
忍,アレルギー？
柚,ウン。生卵がちょっとね。なんか食べると口がかゆくなるんだよね
忍,へー……知らなかった
柚,そう。だから全然目玉焼きとか食べないんだよね～。食べるとしても黄身の部分が固くなるまで調理してもらうから、潰す余地がない
忍,…そっか～
柚,まあ卵かけご飯は食べるけどね
忍,……は？
柚,調子が万全な状態で卵かけご飯を食べる。ウマイ
忍,アレルギーとは
柚,体調が芳しくないときに卵かけご飯を食べるとおなかの中がかゆくなるっていうこの地獄を忍チャンは知らないでしょ
忍,もちろん知らないけど……バカじゃないの？
柚,かゆくてかゆくて仕方がないのに、かけないっていうこの苦しみ。アタシは某農家アイドルT〇KI〇のボーカルの人が上唇の皮膚を切り取って洗いたいっていう発言を見てわかる～って一人ではしゃいでたんだから
忍,なにそれ……
柚,忍チャンはなんかアレルギーとかないの？リンゴとか
忍,ないよ。あと、さりげなくアタシからリンゴ取ろうとするのやめてくんない？
柚,え～
忍,柚ちゃんから柚取っていいの？
柚,ダメ
忍,そういうこと
柚,ゴメン
忍,よろしい
柚,そういえば、忍チャンはいつ潰すの？
忍,アタシは…。一番最後かな
柚,シ・ノ・ブ・チャン！
忍,何？
柚,喫茶店に行って頼むものって言ったらもちろんクリームソーダだよねぇ？
忍,そうだね。異論はないよ
柚,じゃあ忍チャンに質問～。たぶんアタシと答えが一致するんじゃないかなぁ？
忍,よし来た。ばっちり当てて見せる！
柚,クリームソーダのアイス、いつ食べる？せ～の
柚忍,一番最初！
忍,ですよね～よかった～一緒だった～
柚,よかった。忍ちゃんがまともな感性を持ってた人で本当に良かった……
忍,クリームソーダのアイスを食べるタイミングだけで人の感性を評価するのは良くないと思うけど……
柚,じゃあ忍チャンは氷で薄まったアイスを食べる人に対して共感できるってわけ！？
忍,それは時と場合によるでしょう……ってかなんでそんなにキレてんの？
柚,え……？なんとなく？
忍,う～ん……。……共感できないなぁ……。柚ちゃん、チョココロネ食べる？
柚,食べる～。でもなんで？
忍,え？なんでって？
柚,いや、なんでチョココロネ二つもあるんだろうなって
忍,え、ああ。これはたまたま行ったパン屋さんのチョココロネが安くて……
柚,ふ～ん。まあいいや。ありがと！
忍,どういたしまして。あ、柚ちゃん
柚,フガ？
忍,あ、柚ちゃんはお尻から派なんだ
柚,ん
忍,アタシは頭から派なんだよね～。いっただっきま～す
柚,フガフガ
忍,……
柚,フガ
忍,……
柚,……うん。ここのチョココロネおいしいね
忍,そうだね
柚,でも、なんで忍ちゃんは頭から派なの？
忍,え……そういう柚ちゃんはなんでお尻から派なの？
柚,アタシは最後に幸せを感じたいからかな
忍,あ～、なるほど～。じゃあたぶんアタシは逆で、最初に幸せを感じたいからかなぁ？
柚,でも、頭から食べると、最後にさみしい思いしない？
忍,そこはちゃんと考えてますよ柚サン
柚,何？
忍,最後の方は一気に口の中に入れちゃうんだよ
柚,ふ～ん、なるほどね
忍,でも、このやり方だと尻尾が大きい時キツいよね
柚,だよね
忍,柚ちゃ～ん
柚,な～に～？忍ちゃ～ん
忍,みかん買ったから食べない？
柚,りんごじゃなくて！？
忍,うん
柚,今日は槍か何かが降るのかな？
忍,いや、アタシがりんご以外の果物食べないと思ったら大間違いだよ！？
柚,あ、そうなんだ～
忍,いや、当然じゃない？
柚,そう？
