何も言えないでいると、茄子さんは,ぶぅ
納得するやらしないやら、茄子さんはこめかみに指を当てて、,あ
担任のターミネーター,似てるから
ターミネーターが,入ってきなさい
かこおかあさんは、ぼくをやさしくゆらしながら、,ななつのこ
芳乃,ふむー。茄子さんー？
茄子,あら芳乃ちゃん、こんばんわ♪
芳乃,とやーっ
茄子,あいたっ
芳乃,かの者をあまりからかってはなりませぬー
茄子,うふふっ、ごめんなさい。つい舞い上がっちゃって……
Ｐ,うーん……ウホウホ……
芳乃,よく眠っておりまするー。今宵はめでたき夜ですが、戯れはほどほどになさいませー？
茄子,もちろん。みんなを困らせてもいけませんしね～。それじゃ、帰りましょうか♪
芳乃,はいなー
朝から仕事がある子、美穂と同じく,何かある気がして
Ｐ,ふぅ、こないだの飲みは平和に終わったな……。楓さんと茄子さんが揃わなければ世紀末酒豪伝説は発動しないんだ、良かった良かった
楓,茄子ちゃん、今夜一杯どうかしら？
茄子,あら、いいですねぇ。お付き合いしますよ～
Ｐ,……さっそくセッティングしてるのは聞かなかったことにして。あ、そうだ茄子さん
茄子,ぷいっ
Ｐ,えっ。まさか、この間の話をまだ……。……茄子さ
茄子,つーん
Ｐ,ぐぬぬ……。……茄子
茄子,はぁい、茄子ですよー♪
Ｐ,午後から収録ですから資料のチェックしといてくださいね茄子さん以上です
茄子,えー、もうおしまいですか～？
楓,！
Ｐ,それと楓さん
楓,…………
Ｐ,……楓さ
楓,つーん
Ｐ,ぐぐぐぐぐ…………。………………楓
楓,はーい、楓でーす♪
ちひろ,お疲れ様です。プロデューサーさん、この資料――
茄子,茄子ですよー♪カコですよー♪
楓,楓でーす♪楓はかゎえぇでー♪
Ｐ,やめて！恥ずかしいから！周りを回らないで！！
楓,もっと呼び捨てしなすってー♪
茄子,茄～子～め～茄～子～め～♪
Ｐ,二度と言わねー！二度と言わねーからな！！
ちひろ,……なんで朝っぱらからかごめかごめやってるんですか成人組
