神谷奈緒,加蓮っ！
北条加蓮,あ、奈緒
奈緒,"あ"じゃないだろ！？心配したんだぞ！？急に病院に担ぎ込まれたって聞いて！
加蓮,ごめんごめん、ちょっとケガしちゃってさ
奈緒,何やってんだよ……
加蓮,室内でロンダート後転とび伸身宙返り3回ひねりなんてやるものじゃないね
奈緒,本当に何やってんだよ。シライ・キムヒフンじゃねえか。もう室内とかの問題じゃないだろ
加蓮,着地の時に肺をやっちゃってね
奈緒,どういうダメージの通り方してるんだよ。直接臓器っておかしいじゃねえか
加蓮,それが先週の話なんだけど
奈緒,この入院と関係ないのかよおい。よく耐えたな加蓮
加蓮,それくらいじゃ入院しないってば
奈緒,基準がわかんねぇ……じゃあ今回の入院は？
加蓮,さっき自動ドアに挟まれたから
奈緒,基準がわかんねぇ……
加蓮,挟まれた時に肺をやっちゃってね
奈緒,なんで受けたダメージ全部もれなく肺に集まるシステムなんだよ
加蓮,でも、わりと軽いみたいだから安心して？
奈緒,ならいいけど……数日で出れるのか？
加蓮,うん、3日くらいがヤマだって
奈緒,それ病院出る時もう息がないやつだな。え、冗談だよな？
加蓮,決まってるでしょ。そんなすぐ死にそうに見える？
奈緒,なんなら今ベッドから転落して死ぬところまで可能性を考えてるよこっちは
加蓮,酷いなぁ
奈緒,妥当な判断だろ
加蓮,いいの？こないだ私の保険金の受取人を奈緒にしたばかりだから、今私が死んだら疑われるのは奈緒だよ？
奈緒,脅し方が斬新すぎる。っていうか死ぬ死ぬ言うのをやめてくれ。縁起でもない
加蓮,人間いつか死ぬのに……
奈緒,こっちはそこまで悟ってねぇんだよ
加蓮,わかった、悟ったら教えてね
奈緒,なんだその"今度ご飯行こうね"みたいなノリは。悟りはそんな近くに転がってないわ
加蓮,そんなことより、問題があってさ
奈緒,どうした？
加蓮,病院食があんまり……ね
奈緒,あー、まあ仕方ないだろ。気持ちはわかるけどさ。今日のメニューは？
加蓮,さつまいも
奈緒,戦後かよ。この病院は馬鹿しかいないのか
加蓮,おかしいよね？せめてじゃがいもだよ
奈緒,おかしいのはお前だよ。そのイモ類への信頼はどこから来るんだ
加蓮,揚げてくれれば言うことナシ♪なんだけどさ
奈緒,まったく……そんなんだから体調崩すんだぞ？
加蓮,たとえイモを食べてなくても体調を崩す自信があるよ
奈緒,なんの自慢にもならないからそのドヤ顔やめろ
加蓮,でもやっぱり、入院って暇だね
奈緒,あたしは入院したことないからわかんないけど、そうなんだろうな
加蓮,へえ、入院したことないんだ。そんなことでこの先やっていけると思ってるの？
奈緒,急に調子に乗り始めたなコイツ
加蓮,入院のことならなんでも聞いてよ。こちとら16年連続23回目の入院だからね
奈緒,その紅白出場歌手みたいな肩書きをやめろ。だとしても大御所だわ
加蓮,紅白、1度でいいから出たいよね
奈緒,例えツッコミから話題を広げるのやめてほしいんだけど
加蓮,私たちトライアドプリムスなら大丈夫だよね
奈緒,びっくりするほど話を聞いてくれないよな
加蓮,でも凛がニュージェネで出ることを選んだら……！？
奈緒,不穏な方向に想像が向かってる
加蓮,ま、その時は一緒に藁人形と五寸釘を買いに行こっか
奈緒,うっわ巻き込まれた
加蓮,あ、買いに行くのイヤ？それならAmazonで注文しとくけど
奈緒,最新の注文履歴が藁人形と五寸釘ってよっぽど入院したほうがいい精神状態だと思うけどな
加蓮,藁人形といえばさ？
奈緒,普通、藁人形から話を広げるか？
加蓮,この前藁人形を買いに行った時の話なんだけど、もう面白くって！
奈緒,え？恒常的に買ってんの？
加蓮,駅前に専門店できたでしょ？
奈緒,どこの駅の話だ。その駅を一生使わずに過ごしてやる
加蓮,入ってみたらさ、みんなもいたんだよ笑
奈緒,笑えない笑えない笑えない。何が笑
加蓮,あれ、あんまり面白くないかな？じゃあ次の話題に移ろうか
奈緒,答えてくれ頼むから。場合によってはあたしの対人関係の大きな転換点になるから
加蓮,そういえば五寸釘専門店でも会ったなーって
奈緒,その専門店シリーズはどうやって採算とってんだよ。チャレンジャーすぎるだろ
加蓮,チャレンジャーといえばさ
