ガールズ&パンツァー,ガルパン
優花里さんだったらきっと,大好きです！
沙織さんと華さんもたぶん同じ、,好き
麻子さんはどうだろう。でもたぶん,好き
みほ,……。はっ……！。あれ？ここ、学校……？。こんな時間なのに、戦車庫の中に灯りがついてる。自動車部のみんながいるのかな。あの数字……！
ひろ子,やあ、見かけない顔だねぇ！
みほ,ひぃっ！
ひろ子,ああ、いやぁごめんごめん、驚かすつもりはなかったんだけど。こんな時間に来るなんて戦車道チームの誰かだと思ったからね
みほ,あっ……ええっと、あの……
ひろ子,私は菊池ひろ子。戦車道やってるんだ。君は？
みほ,あ、はいっ！。私は西住みほ……です……
ひろ子,西住！？
みほ,あっ
ひろ子,西住ってもしかしてあの西住流の！？
みほ,あ、いえ！違います！。……ただの西住です。戦車道とは関係のない
ひろ子,なぁんだ、そうか。ま、西住流の子がいたら戦車道やってるはずだもんな。みほちゃんは一年生？
みほ,いえ、二年生です
ひろ子,なぁんだ！私と一緒じゃないか！
みほ,あわわっ……
ひろ子,みほはどうしてここに来たの？
みほ,ええっと、戦車に……ちょっと興味があって……
ひろ子,おお！そうかそうか！。明日は試合だもんな！気になって来ちゃったか！。ああ、ごめんごめん！大丈夫だった？
みほ,はい……大丈夫です
ひろ子,いやぁ、ついやっちゃうんだよね。みんなにもよく注意されるんだけど。あ、そうだ。そんな格好じゃ寒いでしょ。上着持ってくるよ
みほ,あっ、そんな気を使わなくても……
ひろ子,ん？どうかした？
みほ,ひろ子さんがさっきから出入りしてるその小屋って……
ひろ子,ああこれ？もしかして気づいた？戦車の車体を置いてるんだよ
みほ,もしかして……マウス！？
ひろ子,へぇ！詳しいねぇ！そう、マウスのボディなんだ。はい、これうちのパンツァージャケット。寒いから着なよ
みほ,これが大洗のパンツァージャケット……。ありがとうございます、ひろ子さん
ひろ子,ひろ子でいいよ！タメでしょ
みほ,は、はい
ひろ子,マウスのこと知ってるなんて、相当戦車が好きなんだね
みほ,いえ、それほどでもないです
ひろ子,そうなの？
みほ,友達に戦車が好きな子がいて、それでちょっとだけ知ってるんです
ひろ子,そうなんだ！そりゃいい友達を持ったね！
みほ,それでそのマウスなんですけど、結構すごい戦車なんじゃあ……
ひろ子,そうそう、超重戦車っていってね。超強い戦車なんだ！
みほ,でもこんな小屋代わりにしてるんですか？
ひろ子,うん。本当は大洗でマウスを作る予定だったんだ。でももうそんなこと関係なくなっちゃったからね
みほ,えっ、関係ないってなんで……
ひろ子,みほは知らないの？うちの戦車道、もう今年で終わりなんだ
みほ,あっ。そう……だったんですか
ひろ子,まぁうちの戦車道も今や誰にも注目されなくなっちゃったからねぇ。昔は大洗女子っていったら高校戦車道でも結構すごかったんだよ。でも最近は成績が振るわなくてね。予算削減だとかなんとか生徒会が難しい理由つけて戦車道は廃止になるんだ。だからマウスの製作も中止さ。本当は一軍が使う予定だったんだけど、いらないならってことでうちらが休憩室として使ってるわけ
みほ,一軍？
ひろ子,ああ、うちらは二軍だから。ここは二軍用の戦車庫。みほも多少戦車のこと知ってるならこのラインナップ見て分かるでしょ？。うちの子たちは問題児ばかりの寄せ集めさ
みほ,あはは……
ひろ子,うちらは入ったときからの万年二軍なんだ。いっつも一軍のやつらには馬鹿にされてきた。だからいつかは見返してやるー！って、毎日練習にあけくれてたんだよね。明日の決勝戦はそんなうちらに巡ってきた最初で最後のチャンスってわけ
みほ,え？二軍なのに決勝戦？最初のチャンスってことは、初めての試合なの！？。あっ……
ひろ子,あっはっはっはっは！。いやいや、言いたいことは分かるよ。無謀だってことだろ？
みほ,す、すいません……
ひろ子,いや、その通り、無謀も無謀だ。でも一軍は準決勝の試合でギリギリ勝ちはしたんだけど相当戦車のほうもやられちゃっててねぇ。もう予算が尽きたうちの戦車道クラスには修理する金もないんだ。だから無傷で残ってるうちらの出番ってわけさ
みほ,でも、かなり厳しい戦いになるんじゃ……
