姫川友紀,ラジオネーム6-4さんからのお便りだよ
向井拓海,併殺完成
友紀,テレビつけた時点でひいきのチームが負けてたらどうしますか？私は速攻で別のチャンネルに変えますだって
拓海,アタシは速攻でテレビ消して外出るわ
友紀,あたしは先に速報でスコア調べて、負けてたらテレビつけない
拓海,でもなんだかんだで気になるから、時間置いてまた速報見るんだよな
友紀,3回途中で0-5で負けてる！？もうこんなチーム知らないんだ！でもひょっとしたら点差縮まったかも…？ちらっ
拓海,0-87回裏攻撃中
友紀,悪化してるー！
拓海,あるあるだな
友紀,第8回放送ー！
拓海,タイトル
友紀,え？
拓海,タイトルコールは？
友紀,あ、はい。姫川・向井のヒットエンドラジオー！
拓海,どうした？酒でも入ってんのか？
友紀,流石に収録前には飲まないよ！？
拓海,酒飲んでマウンド上がるピッチャーっていたからなぁ
友紀,あたしが飲むのはマウンド降りた後だよ！。冒頭のおたよりでもあったけどさ、みんな絶対チャンネル変えるよね
拓海,チャンネル変える、外に出かける……あと何かあるか？
友紀,PS4ﾋﾟｯ
拓海,あー、それがあったか
友紀,ああああああ！また火野が後逸してる！ってね
拓海,パワフェスだな？
友紀,マイルマンが全然打てなくてさぁ…強い選手作れないんだよ
拓海,大人しくすけすけゴーグル使っとけよ
友紀,やだ！！！。あー、あのエラーまみれのね
拓海,そんなにエラーすんのか？
友紀,マモノ使ってるの？って聞きたくなるぐらいエラーするからね、敵も味方も
拓海,そこまでかよ！？
友紀,あとね、デッドボール祭になるね
拓海,高野連激怒だろそんなのよォォォ！？
友紀,さて、そろそろ今日のゲストを出したいところだけどさ
拓海,オウ
友紀,今日のゲストを一言で表現するなら？
拓海,んー……セクシー、か？
友紀,そうだね、セクシーだね
拓海,チャンスでキメてくれそうな感じはあるな
友紀,じゃあそんなチャンスでキメてくれそうなセクシーさん、自己紹介どうぞ！
新田美波,せ、セクシー？ど、どうも、新田美波です。よろしくお願いしますねっ！
友紀,はいー！今日のゲストは美波ちゃんだよー！
美波,そんなに私ってセクシー代表なのかな…？
拓海,代表だろ
友紀,代表でしょ！
美波,えぇ…？
友紀,あたしと美波ちゃんはお仕事の絡みがあったけど、拓海ちゃんと美波ちゃんってなんかあった？
美波,この前のお仕事の時に、演技指導してもらったの
友紀,演技指導…？
拓海,美波がスケバンの役やったのがあったろ？わかんねえって泣き付かれてよ
美波,女番長の役って言われても、どうしたらいいのか全然わからなくて…
友紀,生きた教本が同じ事務所でよかったね！
美波,ホント助かったわ、ありがとうね拓海ちゃん
拓海,まあアタシの得意分野だったしな。ンじゃ、CM挟んでお便り読んでくぞ
友紀,はーい！
拓海,美波にも読んで貰うからな
美波,はいっ、頑張ります！
友紀,頑張ります！って言うとさ、卯月ちゃんの顔が脳裏に浮かんじゃうよね
拓海,あー…わからんではねえな
美波,……頑張ります！裏声
