※雪美→光の呼称は,光さん
光,ただいま！
日菜子,日菜子が戻りましたよぉ
P,おかえり、CDデビュー発表はどうだった？
光,なんか……夢みたいだった。いや、夢を現実にできたんだな
雪美,光……日菜子……おめでとう……
P,俺からも改めて言わせてくれ、本当におめでとう！
日菜子,こちらこそ、日菜子を見つけてくれて……ありがとうございます～♪
雪美,CD……私も欲しい……オセロなら……私も……？
日菜子,雪美ちゃんは私と光ちゃんに順位挟まれてましたからねぇ
光,オセロなら雪美ちゃんもパッションになるな！
日菜子,そうですねぇ、雪美ちゃんもこっちなら楽しそうですねぇ
P,おっと属性誘拐はそこまでだ。雪美もクールの方がいいよな？
雪美,パッション……かっこいい……
P,あの雪美さん？雪美さーん？
光,ワンダー・フルでもかっこよくできてるし、雪美ちゃんはパッションに向いてると思うぞ！
P,そうか……じゃあこのクール系美少女ユニットの企画はナシだな
雪美,…………！……それはやる……私……クールのまま……
P,そうか、じゃあ良かった。それじゃこの企画提出してくるから、あとは自由でいいぞ
日菜子,Pさん、もう行っちゃうんですかぁ？
P,まぁ…二時間ぐらいで戻ってくるから待っててくれ
光,行ってらっしゃい！P、頑張って！
P,おう頑張ってくるわ、じゃあな！
日菜子,自由時間、暇ですねぇ。何かしてます？
光,あっ、じゃあ雪美ちゃんにやってほしいことがあるんだ！嫌じゃなければなんだけど……。悪役をやってみてほしいんだ！
雪美,悪役……？私……怖く……ない、よ……？まかふしぎ……ただ……それだけ……
日菜子,…摩訶不思議で、王子様を惑わす魔女、ですかねぇ？むふふ……
光,そう、それなんだ！雪美ちゃんは不思議な力でヒーローたちを苦しめる、そんな役が合うと思うんだっ！。あ、でも雪美ちゃんは人を苦しめたりはしないと思うから……洗脳されてしまった味方かな！
雪美,私……洗脳される……？……そうなったら……怖くなく……ない……？
日菜子,ヒロインが洗脳されて王子様が助けに……むふふ……♪
雪美,私……魔女……やってもいい……。かっこいい……ダークイルミネイト……？
光,ありがとう！じゃあ早速、この紙に良さそうなセリフ纏めてきたからこれを読んでくれないか？
雪美,わかった……。ようこそ……黒猫の迷宮へ……
光,雪美っ！？雪美じゃないか！戻ってきてくれ！
雪美,ふふっ……今の私……雪美じゃない……スーパー雪美……
光,…………スーパー雪美！アタシのことがわかるだろ！？頼むから戻ってきてくれ！スーパー雪美の力が必要なんだ！
雪美,ありがとう……でも……だめ……
光,何でだっ！？
雪美,私……迷宮の番人……迷宮を守る……。邪魔するなら…………倒す……！
光,雪っ……！
雪美,ふふっ……口ほどにもない……
光,日菜……子…………あとは頼……グッ
日菜子,むふ？。えっ、私も参加するんですか～？
雪美,来ないなら……こっちから……！。来ないなら……こっちから……！
日菜子,えっえっ？えーと……光ちゃんから貰った力で……！
雪美,……！？通じない……！？なんで……！？
日菜子,よくわからないけど雪美ちゃんが上の空の今がチャンス……とりゃ～！
雪美,ぐふっ……やられた……。…………私……何を……？
日菜子,良かった……雪美ちゃんが戻ってきました～！
光,ありがとう、雪美ちゃん！即興に付き合ってくれて！
雪美,ううん……大丈夫……楽しかった……
光,日菜子さんも突然巻き込んじゃって、ごめんっ！
日菜子,別にいいですよ～、楽しかったですしね～
P,うんうん、仲良きことは美しきかな、だな
雪美,……？……P……早い……
日菜子,……ほえ？あぁ、Pさん……Pさん！？
P,ほとんど移動だけみたいなもんだったからな。時間は長めに伝えたけど、それでももう80分ぐらい経ってるぞ？
光,えっ？あっ、もうこんな時間だ！雪美ちゃん、日菜子さんも急いで！
日菜子,Pさん、行ってきますね～
雪美,ふふっ……P……あとで……お土産話…………待ってて……？
P,おう、楽しみにしてるぞ。いってらー
