ss速報を眺めていて、亜美ちゃん・真美ちゃんの誕生日を知りました,反省
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,突然だけど次回予告をすることに！？
真美,することに！？
亜美,でもなにを話せば良いのかわからない！
真美,わからない！
亜美,みんなが立派なアイドルになれるかわからない！
真美,わからない！
亜美,プロダクションの先行きもわからない！
真美,わからない！
亜美,１＋１は？
真美,わからない！
亜真美,次回兄ちゃん過労死寸前
亜美,大丈夫なのかな～
真美,わからない！
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,真美さんや、薔薇色の人生ってあるじゃん？
真美,いおりんみたいに超お金持ちの家に生まれるとか
亜美,じゃあ薔薇色って何色？
真美,確か薄紅色だったような
亜美,でもさ、薔薇の品種は細かく分けると数万にもおよぶとか！しかも年々増えていく！
真美,マジか！？
亜美,薔薇色を薄紅っぽい色だと決めつけていいのか！？それはオーボーじゃないのか！？
真美,確かに赤色以外の薔薇が可哀想！？
亜美,だから私は薔薇色とは色々色ではないのかと主張したい！
真美,十人十色だと主張したい！
亜真美,次回いおりん優雅な休日
亜美,私たちはアイドル活動できてるから！
真美,今のところは薔薇色の人生っしょ！
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,突然ですがここで予告編英訳！
真美,予告編英訳？
亜美,私はそれが好きだ、愛してる！英語にすると？
真美,Iloveit！
亜美,じゃあ世界的に有名な某ファストフードチェーンストアのキャッチコピーは！？
真美,i’mlovin’it
亜美,ちょっと待てーい！その英文おかしいＺＥ！
真美,まあ日本人はおかしく感じるよね
亜美,ラブは進行形にしないって習ったＹＯ！
真美,色々な意味が込められているみたいだけどあれ、この文章おかしくね
亜美,なにぃぃ！嵌められた！
亜真美,次回ゆきぴょん穴掘りの極意
亜美,ポテト買ってきちゃったＺＥ
真美,真美にもちょうだいＹＯ！
亜美,亜美だＺＥ！
真美,真美だＹＯ！
亜真美,２人合せて双海シスターズ
亜美,突然ですがここで予告編クイズ！
真美,クイズ！
亜美,では問題番号を指定してください！
真美,そんじゃあ歴史の１０！
