―――インターハイ3日目,宮守一回戦
ダヴァン,準決勝で当たる学校の偵察に来ましタガ……。永水・姫松に加えて個人戦6位を有する真嘉比……このブロックは強豪揃いでスネ。ただ、智葉サンからの情報を加味しても準決勝に上がってくるのは永水と姫松でしょウカ。個人的には龍門渕を倒した清澄も気になりますケド……。まあ大して波乱も無さそうでスシ、売店でラーメンでも買ってきまショウ。やはりこの国のラーメンは偉大でありムゲン……オヤ？。あそこで迷っている子がいまスネ……迷子でしょウカ？
エイスリン,……
ダヴァン,見たところ日本語もそんなに得意ではなさそうデス……フム。智葉サンが言ってました……この世はギリとニンジョーだと！。これは助けなければいけないでスネ！
エイスリン,…………。……ヒカエシツ、ドコ……？。ア、アノ……
学生,あ、あいどんととすぴーくイングリッシュだし！ごめんだし！
エイスリン,ウゥ……
ダヴァン,MayIhelpyou?
エイスリン,！。Yes!ThankGod!Ireallyappreciateyourhelp!
ダヴァン,ちょ、ちょっと、嬉しいのは分かりましたカラ少し落ち着いてくだサイ！
エイスリン,！…………ニホンゴ、ハナセルノ？
ダヴァン,ええ、かれこれ一年ほど日本にはいまスシ、日本語はある人にミッチリと叩きこまれましたカラネ。っと、自己紹介が遅れましタネ。ワタシ、メガン・ダヴァンといいマス
エイスリン,エイスリン・ウィッシュアート、イイマス！
ダヴァン,そこでトムはこう言ったんでスヨ。そりゃあ、家のラーメンは某大企業のインスタントラーメンだからな
エイスリン,ダヴァン、ジョークオモシロイ！
ダヴァン,面白かったなら幸いデス。ジョークはアメリカ人の嗜みですかラネ。それにしても驚きまシタ。アナタもインターハイの選手だったんでスカ
エイスリン,ウン！ミヤモリジョシ、ジホウ！
ダヴァン,宮守女子…岩手のチームでスネ。どんな人たちがいるんでスカ？
エイスリン,……。ミンナ、イイヒトタチ！
ダヴァン,ええっト……大きくて黒ずくめの人、その人のハーフサイズの人。何かグッタリしてる人に……この人がかけているのはモノクル？ですカネ。……全国大会の選手の奇抜さには慣れたと思っていましタガ、上には上がいるものでスネ。ところで、ワタシさっきから日本語で喋ってますけど大丈夫でスカ？
エイスリン,ダイジョウブ！。ソレニワタシ、モットニホンゴ、ワカリタイ！。speakingトhearing、モットレベルアップシタイ！。ソウスレバ、ミンナノキモチ、モットワカル！。ワタシモ、ミンナニキモチ、ツタエラレル！
ダヴァン,オゥ……どうやらいらない心配をしてしまったようでスネ。仲間の為に何かを頑張ろうとすル……それは素晴らしいでスヨ！。きっと皆、エイスリンの言う通り、良い人なんでしょうネ！
エイスリン,イエス！
胡桃,……あ、良かった！みんなー、エイちゃん帰ってきたよ！
塞,エイちゃん、あんまり遅いから丁度探しに行こうとしてたんだよ？
胡桃,もう、心配だったんだからね！
エイスリン,ゴメンナサイ、デシタ…
胡桃,分かれば宜しい！
白望,それに探す手間が省けてダルくなくなったから別に良い……
