白石紬,７６５プロ
紬,私、白石紬は本日からここでアイドルをすることになりました。同期で入ってくる桜守さんはとてもすごい方らしいと聞いています。正直うち……私に務まる仕事なのか不安で仕方がありません。ですが引き受けた以上、全身全霊を持って取り組んでいく所存です。そう覚悟を決めて事務所まで来ました。やったのに……
双海亜美,これから面接をはじめるよ→
双海真美,まずは自己紹介からよろよろ→
紬,なんでうち、桜守さんと一緒に面接をさせられとるん？。なんやいねこれは！！
亜美,うわっ、びっくりした！？
真美,面接官には敬語を使いたまえよ、つむぎん
紬,なぜいまさら面接をしなければいけないのですか！まさかつむぎんとは私のことですか？
亜美,そりゃ→つむぎんはつむぎんしかいないっしょっ。それともつむつむのほうがよかった？
真美,つむぎんたちも真美たちのこと、まみまみって呼んでくれていいかんね☆
紬,つむぎんでもつむつむでもなく紬です！桜守さんもなにか言ってください
桜守歌織,よろしくお願いしますね。まみまみ、あみあみ
紬,桜守さん！？
天海春香,あはは……。２人とも、めんどくさくなったら付き合うのやめていいからね
亜美,むむ、はるるん隊員。口を慎みたまえよ。はい、レッドカード
真美,もう１枚出たら退場だかんね
春香,それを言うならイエローカードでしょ！レッドは１発退場だよ！
亜美,じゃあつむぎんに質問。普段ゲームやってる？どんなの？
紬,ゲームですか。……いえ、あまりしたことがないですが
亜美,……もしご縁がありましたら２週間以内にマイページにて連絡を差し上げます
真美,就活がんばってください
春香,絶対落ちてるやつだそれ！？
紬,落ちた……うち落ちてしもうた
春香,ツイートがバズッたスマホみたいに震えてる
真美,ん～と、じゃあ次は歌織おねえちゃん。ゲームとかする？
歌織,あんまり得意じゃないけど、子供たちに付き合ってやったことはあるわ
亜美・真美,採用！！
春香,これなんの面接なの……
紬,ニンテ〇ドーDS買ってきます！
春香,行かなくていいから！しかもチョイスが古いよ！！
亜美,はるるん、つむぎんに手本を見せてあげて
春香,えっ！？わ、私？
真美,この前のミリ〇タのイベント何位だった？
亜美,はるるんなら５０位くらい余裕っしょ
春香,私ならってどういうことなの……。え、ええと、この前はレッスン忙しくて、その、残念ながら５００００位以内には
真美,……選考の結果は２週間以内に
春香,現職だよ
亜美,じゃあ次の質問いくね。趣味をおしえてください
紬,！。はい！趣味は甘味処を散策してスイーツを食べることです。よかった。こういう質問ならうちでもだいじょうぶ
歌織,週に１度ほど乗馬をしてるわ。あと、カーレースもさせてもらうことがあるけどそれもとっても楽しいですね
紬,うん？
亜美,特技は？
歌織,ボーカルには自信があります。これでも音楽教室の講師をやってましたから
真美,今までで一番がんばってきたことは？
歌織,自衛隊の音楽隊の方と共演してきたことかしら。大変だったけど、とても充実していたわ
春香,ええと、どういった経緯でその共演をすることに？
歌織,私が歌うのが得意で、父が自衛官を務めているから。やってみないかって父に言われたのがきっかけだったかしら
亜美・真美,おお～！！
紬,
春香,歌織さんのスペックが凄まじすぎる
紬,こんなん……うち、どうしたら
如月千早,焦る必要なんてないわ、白石さん
紬,如月さん……
春香,今までどこにいたの千早ちゃん
千早,ギャグよ。ギャグを言えばすべてがうまくいく。自分の可能性を信じてみましょう
春香,怪しい宗教勧誘みたいなのはやめようね
紬,ダジャレ言います
春香,死を覚悟した兵士みたいな顔になってるよ紬ちゃん！？
紬,ふとんがふっとんだ
千早,ぷっくくくく
紬,チーターがおっこちーた
千早,ふふふふふ
紬,アイスを愛
春香,もうやめて！死んだ目で淡々と言い続けるのはやめて！！
千早,採用！！春香、早く白石さんを採用しましょう！！！！
春香,うるさいよ千早ちゃん！
紬,！？
春香,そんなキラキラした目でこっちを見ないで。小鳥さんもニヤニヤしてないでこの状況なんとかしてください！
音無小鳥,ピヨッ！？
亜美,え？今度はピヨちゃんがギャグやってくれるの！？
真美,見たい見たい→
千早,……
小鳥,ピヨッ！？
春香,ごめんなさい小鳥さん
小鳥,え、ええと……
亜美・真美・千早・紬,……
小鳥,……な、なんでだろ～
春香,古っ！！
真美,ん？律っちゃんからだ。もしも
亜美,うあうあ～、律っちゃん怒ってるよ！
真美,つむぎん、歌織おねえちゃん。また遊ぼうね！
千早,私もそろそろ行かないと。ではまた後ほど
歌織,ふふっ、元気ね
春香,や、やっと終わった
紬,なんでだろう？後で調べてみよう
小鳥,古い……ふるい……
P,おはようございます！なんか亜美たちが走って行ったけどなんかあったのか？
春香,プロデューサーさん。実はかくかくしかじかで……
P,そうだったのか。変なのに付き合わせちゃったな。２人とも大丈夫だったか？
歌織,はい。とっても楽しい時間でした
紬,まさかあなたは、私たちが簡単な受け応えもできない社会不適合者とでも言いたいのですか？
P,い、いやそういうわけじゃなくてだな。そ、そうだ。面接ってわけじゃないが、いい機会だし２人とも一応自己紹介してもらってもいいか？
春香,あっ
紬,はい、私は
歌織,桜守歌織と申します。音楽教室の講師を務めており、自衛隊音楽隊の方と共演をさせていただいたこともあります。趣味としてしばしば乗馬を嗜んでいます。未熟者ではありますが、ご指導ご鞭撻のほどよろしくお願いいたします
紬,
P,お、おう。さすが歌織さん、すごいですね。よし、じゃあ紬、よろしく
紬,……
春香,……
歌織,……
P,……
紬,……ダジャレ言います
春香,だから死んだ目をするのはやめよう紬ちゃん！？
