百合要素,まほチョビ、エリみほ
ローズヒップ,ウニョラー
ルクリリ,トッピロッキー
アッサム,キロキロー
ダージリン,......いいお店をご存知？
オレンジペコ,ヒッポロ系ニャポーンですね
ダージリン,ロン。ーーこんな言葉を知ってる？"国士無双役満だ"
オレンジペコ,坊や哲ですね
押田,なぁ安藤
安藤,どうした
押,あんどぅー
安,なんだよ
押,どぅー
安,はい？
押,どぅ！
安,さっきからなんなんだよルカぁ！
押,どぅ！どぅ！
安,……はいはいどぅですよー
押,レナ……
安,はーもう好き
・安藤,喫煙所にて
安藤,ふぅ……
押田,貴様！またタバコなんて吸ってるのか！身体に悪いと言ってるだろう！
安,でもなぁ、やめられないんだよ
押,貴様が吸うというのなら、私も吸ってやる！寄越せ！
安,あっバカ
押,すぅー……！ゲホッゲホッ
安,いわんこっちゃない……
・安藤,喫煙所にて
安藤,ふぅ……
押田,貴様ぁ！また凝りもせずタバコなんぞ吸ってるのか！
安,喫煙所なんだからいいだろ……むしろなんでお前いつも来るんだよ……
押,貴様がタバコの匂いを身体に染み付けてるのが気に食わんのだ！
安,本当は一緒に休憩したいんじゃないのか？
押,そ、そんな訳あるか！
・安藤,喫煙所にて
安藤,今日も疲れた……
押田,安藤！いい加減身体に悪いものをやめろ！
安,お前も飽きないなぁ……。あ、そうだ、これやるよ
押,ん？なんだこれは
安,プルームテックっていうやつだ。害はちょっとあるけど、タバコよか吸いやすいから、喫煙所にいるならこれでもすっとけ
押,あ、ああ
・安藤,喫煙所にて
安藤,ふぅ……
押田,貴様もプルームテックにしたらどうだ、安藤
安,私はコレでいいんだよ。それにしても、結構様になってきたじゃないか、吸い方
押,ふん、私に似合わないものなどないんだ
安,そうかそうか、じゃあプレゼントしてよかったよ。一緒に休憩できるしな
押,……ありがとう
マリー,たばこの煙は、あなたの周りの人、特に乳幼児、子供、お年寄りなどの健康に悪影響を及ぼします。喫煙の際には、周りの人の迷惑にならないように注意しましょう。ところで、なんで私がこんな文を読まないといけないのかしら～？
・アンチョビ,アンツィオ高校
まほ,あんちよ高校
千代美,アンツィオ高校
ま,あんちよこうこう
千,あんつぃおこうこう
ま,あんちよ
千,それはほぼ私だ
・みほ,アンツィオ高校
みほ,アンツィオ高校
まほ,あんちよ高校
千代美,よんだか？
しほ,あんちよ高校
千代,呼びました？
エリカ,例えば……みほがぁ……傷ついてぇ……、泣き出しそうにぃなった時はぁ……、黙って私が……そばにいて……支えて……あげたかったぁ。私が、みほをぉ……ﾋｯｸ……ｸﾞｽ……
小梅,今泣いてるのはエリカさんだけですよ。それにそれ二番じゃ……？
・アンチョビ,描いた絵におしゃぶりをつけるのが流行ったから
ま,ばぶぅ
み,どうしておしゃぶりしてるのお姉ちゃん……
千,描いた絵におしゃぶりつけるのはやってるから、私たちもSSだけどやろうと思って
み,そ、そうなんだ……
千,折角だしみほも一緒にやろう
ま,ばぶぅ
千,ばぶぅ
み,ばぶぅ
エ,どうなってるのよ……
・マリー,押安推し
マリー,私も押安の間に入っていちゃいちゃしたいわ
押田,別にいちゃついてなんていません！
安藤,そうだそうだ
マ,じゃあなんで作戦会議中に安藤の膝の上に座っているのかしらぁ？
押,これは、安藤など私のイスで十分だという現れです
安,なんだと！エスカレーター組のくせにいい匂いしやがって
・マリー,押安推し
マリー,ちょっと待って、欺瞞作戦のためにさっきまで喧嘩してたのに急に安藤が押田の怪我手当してる。押田も受け入れちゃってありがとうってお礼言ってるしもうほんとごめん無理すぎアズミさん隊長にしてくれてありがとうってケーキ食べながら心で泣いてた隊長が私です
・みほ,にくじゃが
みほ,そういえば私、沙織さんが作ってくれるまで肉じゃがって食べたことなかったんだよね
沙織,えっ。みぽりん日本人だよね？
みほ,実家だとね、肉じゃが作ってるとどこからともなくお姉ちゃんがやってきてカレールーを落としちゃうから……
沙織,やばたにえん
ツチヤ,今日は！
ナカジマ,ル・マンの日！
スズキ,ということは！
ホシノ,私たちの日だー!
アンチョビ,なんで私たち呼ばれたんだ？
ペパロニ,タンケッテで２４ｈ耐久するらしいっすよ
カルパッチョ,たかちゃんももちろん参加するんですよね？
押田,じゃあ何故我々も
安藤,ル・マンはフランスだからな……
エクレール,想像しただけで胃が痛いわ……
みほ,エリカさんに介抱してもらいたくて気合入れて黒霧島一本開けたけど、その間にエリカさんがカルアミルク二杯で出来上がってしまいました
まほ,……あとどれくらいで日付変わるんだ……？
千代美,34分だな
ま,まだそんなにあるのか……。そんなわけないだろう……
千,じゃあもう寝ようかなぁ
ま,！待ってくれ……もうちょっと起きてよう
千代美,なんだなんだ、天下の西住まほがそんなにキスしたいのか
まほ,いいじゃないか！千代美の唇の良さがわからないなんておかしいぞ！
千,そりゃ私のだからな、試せない
ま,はやく......その唇を好き放題したい
千,頑張れ〜
ま,なぜキスの日なのに我慢せにゃならんのだ！
千,いいだしたのおまえだからな
みほ,キスの日だったから戦車道の後いっぱいキスされちゃった
エリカ,......なんで断らないのよ
み,可愛い後輩の頼みだったし？
エ,本当にキス、したの？
み,どっちだと思う？
エ,今から私に染めるから関係ないわね、まぁみほは全部最初から私のだし？
み,やぁん♡
マリー,結局どっちが勝ったのかしらぁ？
安藤,私からキスしたのが27回、押田からキスしてきたのが26回で私の勝ちだ
押田,ちがう！私からが27回、貴様からが26回で私の勝ちだ！
安,なにおう
押,あぁ？
押安,ちゅ
マ,これで27回同士の同点ね〜
押安,私の勝ちだ(です)！
しほ,キスの日です
千代,そうですね
し,キスの日ですよ
千代美,はぁ......
し,んーっ
まほ,お父様こちらです
し,はっ常夫さん違うんですこれはスキンシップというかなんというか
ま,お母様、目が戦車を射止める時と同じでした
まほ,やばたにえん
千代美,どうしたまほ。急に若者言葉なんか使っちゃって
ま,はやってるらしいからな、お母様に教えてもらった
千,ちょっと待てよ
ま,その物まねは古いぞ千代美
千,そういうんじゃない！
ま,千代美に怒鳴られるのは流石に無理茶漬け……
千代美,まほのほっぺはむにむにだなぁ
まほ,んむぅ
千,ほーれぷにぷに～
ま,んぁう
千,よーしよしよし
ま,んまぅ
みほ,こんなおねえちゃんみたことない。ほーらエリカさんむにむにー
エリカ,やめなひゃいよ
み,ぷにぷに～でもないな……
エ,なによ！あんたのほっぺのほうがむにむにぷにぷにじゃない！
み,あっ♡エリカさんっ♡
エ,まったくだらしないほっぺね♡
み,やーん♡
・まほ,包丁人味平を全巻読んだ
まほ,スパカレー
千代美,どうしたどうした
ま,スパカレーたべたい
千,なんだスパカレーって
ま,味平が作ってた
千,あぁカレースパな
ま,いやスパカレーだ。味平が言ってた
千,はいはい……じゃあ今夜はカレースパにするか
ま,すぱかれーだ！
・安藤,私たちって
安藤,なぁ、私たちっていつも喧嘩してたっけか
押田,どうした急に
安,いや、私たちが喧嘩してるのは演技なのかそれとも、マジでいがみ合ってるのか、半年経つのにはっきりしないなぁと思って
押,それ以上はいけない
安,もし本当に仲が悪いのならこんなとこで話をしている場合じゃないのかもしれない
押,おい貴様、それ本気で言っているのか
安,本気だったら恋人握りしながら話なんてしないだろ
安押,えへへへへへ
マリー,マリーのココ胃袋
・優花里,逸見殿から相談を受けました
エリカ,相談があるんだけど
優花里,なんでしょう
エ,みほは色々あったけどやっぱり西住の人間だから、私が西住エリカになると思ってたんだけどよく考えたら次女だし逸見みほってのもいいかなって思って。ほら、家に帰るとみほがエプロンしてるの最高でしょ？
優,頭の履帯外れてんじゃないですか？
・みほ,あだ名
みほ,お邪魔します。うわぁ広くていいなぁ
まほ,よくきたね、みほ。ちーもそろそろ帰ってくると思う
み,ちー？
千代美,ただいまー。おぉみほ、ひさしぶり。まー、今夜はカレーだぞ
ま,おぉ
み,まー？
・みほ,あだ名
みほ,ねぇねぇエリカさん。私の事みーって呼んでみてくれないかな
エリカ,どうしたのよ急に、いやよ、恥ずかしい
み,お姉ちゃんたちがね、お互いにちー、まーって呼び合ってて
エ,まほさんがそんなバカップルみたいなことやるわけないでしょ！いい加減にしなさいよ！
み,えーちゃんつめたい
・みほ,あだ名
エリカ,みー……かん、とって。みほ
エ,みー……ず、飲みたいわ。みほ。みー……、みー……そ。味噌汁にしましょう今夜は！
みほ,これはこれでかわいい
エ,うるさいわね！みーのくせに！
み,あっ♡
エ,あっ
