暁・Верный・雷・電,司令官さん
提督,おっ、来たな。このお菓子を持っていきなさい
暁,あ、ありがとう……
Верный,спасибо(スパシーバ)
雷,司令官、ありがとう！
電,ありがとう、なのです
提督,みんな楽しそうだな
大淀,そうですね。ハロウィンの仮装も気合いが入っていて、可愛らしいです
提督,そうだな。ドラキュラ、グール、魔女、フランケンシュタイン、狼男、ジャックランタン……他にはマミーも居たっけな
大淀,よく覚えてますね
提督,うろ覚えだけどね。そう言えば川内達も来ていたな
大淀,川内と那珂ちゃんがノリノリでやっている中、神通がとても恥ずかしがっていましたね
提督,大方、二人に巻き込まれた形なんだろうな。ただ、ハロウィンの仮装というよりはイベントで見かけるコスプレイヤーみたいな服だったから仮装としてどうなんだろうね
大淀,うーん……まあ、本場じゃないのでいいと思いますよ？
提督,そうか。俺としても新鮮な気持ちになるから悪くは無いけどね。どうぞ
青葉,ども、恐縮です、青葉です！
提督,青葉か、お菓子でももらいに来たのか？
青葉,そうじゃありませんよ！あ、でもお菓子はもらいますね！
提督,結局もらうのか……で、用はなんだ？
青葉,今日はハロウィンなので、お二人が司令官に大胆な仮装で迫っていると思って来たのですが……来ていないみたいですねー
提督,そう言えば、今日は出撃も秘書艦の仕事も無いから全然見かけないな
青葉,そうですかー、面白い記事が出来るかもしれなかったのに、惜しいですねー
提督,俺はそんなことされたらたまらないけどな……
青葉,ではでは、別な記事のネタを探すので失礼しますね！
提督,程々にな……って、もう聞こえてないか
大淀,記事のネタ探しにいつも全力ですからね
提督,まあ、元気なのはいい事だし、変な記事ばかりじゃなくて役立つことも書いてるからなー……おっと、そろそろ執務を再開しないとな。それにしても、何であの二人は来ないんだろう。結局、二人と一度も会うことなく一日を過ごしたな……かなり久しぶりな気がするなー。でも、あの二人がハロウィンに何もしないとは思えないんだよな。例えば先に部屋に待機していたりして……
照明,ﾍﾟｶｰ
提督,
島風・ビスマルク,トリックオアトリート！！
提督,予想していた通りではあったけど、そんなことどうでも良くなるくらいに二人の仮装が際どすぎたため、俺は絶句した。島風の方は羽とか尻尾とかあるから悪魔っぽいけど、上半身は胸回りくらいしか覆ってないからいつもより露出が多い。対してビスマルクの方は、魔女っぽい服だが帽子・マントはまだ普通だけど、上半身を覆うものがリボンのような布くらいしかない。よく見ると下の方まで巻き付いてるみたいで、目の毒だ。とにかく、この二人の仮装……いや、コスプレを見て俺はこの先どうなるか容易に想像がついた。でも、一応聞いてみるとしよう。あー、えーっと……そんな際どいコス……仮装をしたのは何故でしょう？
島風,それはもちろん！
ビスマルク,夜戦という名の悪戯を――
提督,すまん、お菓子を執務室に放置していたから取ってくる！。全部聞き終える前に、そそくさと逃げ出した。部屋を出て三秒後には島風に捕まえられてしまった。引きずられる形で部屋に連れ込まれて、両腕に抱きつかれて完全に逃げられなくされた
ビスマルク,感想もなしに逃げ出すなんて思わなかったわね
島風,私もびっくりしたよ。おかげで捕まえるのに時間かかっちゃった
提督,三秒なら十分早いって……本当にお菓子持ってきたら戻るつもりだったし
ビスマルク,持ってくる必要は無いわよ
島風,提督だけがいればいいからね
提督,……分かったよ。俺も男だから、ちゃんと相手をしよう
島風,さっすがー！
ビスマルク,さすがAdmiralね！
提督,あーでも、いつもよりはお手柔らかに頼む
島風,大丈夫だよ。さすがにやり過ぎないようにするから！
ビスマルク,私も、約束するわ
提督,そうか、二人がいい子で良かったよ。じゃ、電気を消してくれ
島風,はーい
照明,
青葉,司令官、ぐったりしてますが何かありましたか？
提督,……ほっといてくれ
