モバＰ(以下Ｐ),お疲れさま。ミニライブ大成功だったな
飛鳥,ショッピングモール内だからか、ステージからも親子連れが多く見受けられたよ
翠,いつも応援して頂いているファンの皆さん以外にも、足を止めて観てもらえて嬉しいです
飛鳥,ファンか……もっと目についた一団も存在したけどね
翠,いましたね。恐らく他プロダクションのアイドルのファンの方たちでしょうか……？
Ｐ,あぁ。今日はショッピングモールに隣接してるドームでライブがあるから、そうだろうな
飛鳥,その口ぶりじゃ理解っていたみたいだね。まったくキミというやつは
Ｐ,ほら、これ見てみ
飛鳥,ん、ツイッターかい？
翠,早めに来たらドーム前のイオンでCGプロのアイドルがミニライブやってて可愛かった。本命前に推しが増えた件……これは
Ｐ,SNSの書き込みを気にしすぎちゃいけないが、まぁこんな声も出てるってこと。2人ともアウェイの状況でファンを増やしたんだ
飛鳥,ボクらのことを信じてこの仕事を選んだと、そう言いたいのかい？
Ｐ,結果は見ての通りだ。2人とも本当によくやってくれた
翠,ありがとうございます。プロデューサーさんの信頼に応えられたようで嬉しいです
飛鳥,今日のステージも、まだ通過点に過ぎない。いつの日か、あのドームから見えるセカイを見せてくれるんだろう？
Ｐ,あぁ、あの場に立つ日の為に、少しずつでも進んで行こう
飛鳥,さて、今日の予定はこれきりだろう。すぐ帰るのかい？
Ｐ,特別急ぐ予定もないが、あいにく観光するほどの時間はなさそうだなぁ
翠,ではここで何か食べてからゆっくり帰りましょうか
Ｐ,そうするか。モール内には店もけっこうありそうだが、何食べたい？
飛鳥,フロアマップがあるから、まずは何があるか確認をしようじゃないか
Ｐ,和洋中からファーストフードまで一通りはあるな
飛鳥,こうも選択肢が多いと目移りするね
Ｐ,名古屋飯っぽいのもいくつかあるぞ
翠,名古屋飯……あの、プロデューサーさん、飛鳥ちゃん
Ｐ,食べたいものあったか？
翠,よければこちらに行きたいのですが……よろしいですか？
飛鳥,ここは……スガキヤかい？
Ｐ,ラーメン＆ソフトクリームって変わった組み合わせだな
飛鳥,その様子じゃプロデューサーは食べたことがないようだね
Ｐ,飛鳥はあるのか？
飛鳥,愚問だね。スガキヤは愛知県名古屋市に本社を置き、中部地方を中心に展開しているラーメンチェーン店さ
翠,ショッピングセンター内に出店してることも多いので、地元の学生は利用する機会も多いと思います
Ｐ,翠も例にもれず、か
翠,はい。部活の帰りに部員みんなで寄ってお喋りしたり……久しぶりに食べたくなりました
飛鳥,ボクも久しく食べていないからね、いいんじゃないかな？
Ｐ,じゃあ決定だな。２Fのフードコートへ行こう。お、あったあった。メニュー数自体はそこまで多くはないな、ってラーメン320円！？やっす！
飛鳥,この値段が学生に愛される理由だよ
翠,大会の帰りとか、奮発して全部乗せの特製ラーメンにしても450円ですからね
Ｐ,一番高いメニューでもワンコインでお釣りが来るのか……
飛鳥,量が足りないというなら+100円で大盛りにもできるし、ご飯ものとのセットもある。コストパフォーマンスの優秀さは言わずもがなさ
Ｐ,そして目を引くソフトクリームやぜんざいなどの甘味メニュー。さっきも言ったがなぜこの組み合わせなんだ？
翠,スガキヤは元々、甘味処として開業されたそうです
飛鳥,その後メニューにラーメンが追加されて今に至る、と
Ｐ,なるほど、元のルーツは甘味メインだったのか
飛鳥,そういうことさ。店の前でも話し込むのも迷惑だろう、そろそろ注文しようか
店員,いらっしゃいませ、ご注文をどうぞ
翠,特製ラーメンのベリーセットお願いします
飛鳥,ボクはラーメンとクリームぜんざいを
Ｐ,えーと、ラーメン大盛りのチョコセット下さい
店員,かしこまりました。お会計ご一緒でよろしいですか？
Ｐ,はい、大丈夫です
店員,お会計合計で2040円です……はい、ちょうど頂戴致します。出来上がりましたらこちらのブザーでお呼びしますので、お席でお待ちください
Ｐ,3人でセットや大盛りデザート付けてもこの値段かぁ
翠,それでも値上がりしてますよ
Ｐ,ほい、水持ってきたぞ
翠,ありがとうございます
飛鳥,休日だけあって混んでるけれど、どうにか座れたね
翠,あの……言い出した私が言うのもどうかと思うんですが、ここで食事をして大丈夫でしょうか？
Ｐ,こんなに混みあってたら逆に目立たないもんだ。普通にしてればいいよ
飛鳥,翠さん、コソコソしていると却って悪目立ちすることもある。この喧騒に溶け込むように、何てことのない会話をしている限りは問題無い筈さ
翠,そうですか……そうおっしゃるのであれば、気にしないことにします。気にしないことに集中して……
Ｐ,戻ってこーい、空気張りつめてるぞ
飛鳥,気にしないことに気を使っているね……
翠,あ、出来上がったようですね
飛鳥,では取りに行こう
P,翠はここで席と荷物を頼む。持ってくるよ
翠,わかりました。プロデューサーさん、よろしくお願いします
店員,お待たせいたしました、ごゆっくりどうぞー
Ｐ,おい飛鳥、箸忘れてるぞ
飛鳥,ふ、スガキヤ初心者にありがちな発言だね
Ｐ,どういう意味だ？
飛鳥,持っているお盆をよく見てごらん。見慣れない物があるんじゃないかい？
