春香,もう、千早ちゃんと美希だけなの……？
千早,春香……大丈夫。きっと…みんな
美希,そうだね、ミキもみんなを信じるよ。だから、三人で……
未来,静香ちゃん……翼は？
静香,大丈夫……ほら
翼,んーっ、んっ。ふあぁぁ……ここは？
卯月,凛ちゃん、未央ちゃん、私たちの力を一つに合わせるべきです！
凛,ふっ、卯月さんよぉ。今日はやたらリーダー風吹かすじゃねぇか
未央,しぶりん……今、三つの心を一つにしないでどうするの！！
真乃,私たちの一人一人は水滴です
灯織,でも、総力を結集させれば
めぐる,大海原を掻き分ける逆巻く波になれるっ！！
はるかさん,かっか
ちひゃー,くっ
あふぅ,はにぃぃぃぃ！
みら,みー
ぴてぃ,あーころころ
つばしゃ,らめぇ
はづき,……
283P,どうかしました？……あ、それ765プロさんと346プロさんとの企画書ですね
はづき,プロデューサー……さん
283P,はっ、はい
はづき,なんでうちにはぷちあいどるがいないんですかぁぁぁ！
283,……へ？
社長,話は聞かせて貰ったぁ！
はづき,社長！？
283P,どっからどこまでですか？
社長,君が、見た目から自分の好みで霧子クンを選んでいるとこからだよぉ！
はづき,プロデューサーさん？
283P,誤解です！アイマスは最初雪歩だったのが響推し、デレマスは最初からずっと智絵里、ミリマスは最初育の今は杏n……
社長,はづき君、アグネ○警報は118だったか？
はづき,日本ユニセ○より搾取していないつもりですが
283P,募金するぐらいならガチャを回せ！
社長,あー、君がロリコンなのはわかったのでとりあえずウチのぷちきゃらを召喚しよう
283P,346さんとこにもぷちあいどるがいないのは無視ですか？
はづき,同人誌にはいるみたいですね。ほら、とら○あなをデレマスぷちどるで調べると
283P,やめてください。そのサークルさんから許可は受けてません
社長,では……
283P,地味に耳の痛い呪文ですな
はづき,え？何か地面が揺れて
？,むんっ！
鳩,くるっくー
はづき,な、何か出てきましたよ
社長,鳩を連れているから真乃君のぷちじゃな？
283P,そろそろ現実に戻りたいなー
真乃,おはようございます
？,むんっ！
鳩,ぽっぽ
真乃,わぁ……可愛い。この子ってプロデューサーさんが拉致監禁してきたんですか？
283P,やめて。その屈託のない笑顔でそんな事言わないで
真乃,じゃあタイトルはマノマリン707RMission:02前編ですね
283P,櫻木
真乃,えへへ、この子があまりにかわいくてちょっと暴走しちゃいました
283P,君ってそんな子じゃなかったよね
真乃,で、この子はプロデューサーさんが潜水艦で
283P,ちゃんと説明します！
？,む？
鳩,くぅー
真乃,へぇ……社長さんがですか
はづき,そうですよ。プロデューサーさんがロリコンだからって、穴が入らなければ
283P,言い方
真乃,で、名前ってなんていうんですか？
283P,そういえば……
はづき,つけてませんでしたね
？,ぽかぁ…
鳩,くるっぽ
真乃,あ、私がつけてもいいですか？
はづき,多分いいと思いますが
283P,ゴンザレスはダメだぞ
真乃,……
283P,やめて、そんなのをつける伝統は青であって、お前さんは赤の系譜だからね
真乃,えっと……765さんとこですと、春香さんがはるかさん。未来さんがみらですから……
？,むんっ♪
鳩,くっくるー
はづき,あ、喜んでますね
283P,なら今からお前はまのちゃんだな
まのちゃん,ほわほわ
鳩,くー
真乃,と言っていましたがどうしたらいいんでしょうか？
まのちゃん,ぽかぽかぁ……
鳩,くー
真乃,え？まのちゃん？お眠ですか？。ふぅ……大分暑くなってきましたね
れーか,ぷっぷか～
ぴよぴよ,ぴよっ
真乃,えっ！！え？……えーっ！？。っ？何か近くに？
はるかさん,かっか！
真乃,きゃーっ！！。ふ、ふぇぇぇ、た、助けてぇ
はるかさん,かっか
まのちゃん,っ！
真乃,まのちゃん！？ダメ！危ないよ
まのちゃん,むー
はるかさん,ヴぁーい
まのちゃん,ほわぁ！
鳩,ぽぽぼぽ
真乃,うわ……鳩さん達がバイバインみたいに無限増殖していくよぉ
まのちゃん,む……
鳩,ぽー
はるかさん,ヴぁーい
真乃,ど、どうしよう。逃げた方がいいのかな……それとも……
ちっちゃん,めっ！
ちえ,ちえっ！
ふー,とよっ！
はるかさん,かっか……
真乃,も、元に戻った？。えっ？
未来,ごめんなさい。うちのぷちが
みら,みー
静香,ほら、未来だけじゃ面倒を見切れないじゃないの
ぴてぃ,ぴー
星梨花,大丈夫ですか？
せりちょ,ほぅー
真乃,あ、あの……皆さんって
シアター組,ん？
未来,そうなんですか。真乃さんもアイドルなんですか
真乃,さんだなんて……未来さんの方が何年も先輩なんですから
静香,まって、私達14歳
真乃,でもミリオンライブって2013年の
星梨花,わー！わー！わー！
未来,それを言ったらアケマス初稼働なんて
静香,春日
未来,ご、ごめんなさい
真乃,あははは
未来,とりあえず同じアイドル同士なんですから、ライバルとして仲間として頑張りましょう！
真乃,はいっ。櫻木真乃頑張ります！
星梨花,それはよそ様の持ちネタですよ
卯月,くしゅん、くしゅん！
未央,わわっ、しまむー、風邪？
凛,大丈夫？最近雨が降ったりして気温の変化が激しいから……
卯月,大丈夫ですよ。きっと智絵里ちゃんが噂しているんですよ
智絵里,違うよー
凛,違うって
未央,はいはい、しまむーは今日は上がりなんだから暖かくして寝なさいね
卯月,もう、未央ちゃんったらぁ
ちひろ,誰も智絵里ちゃんについては突っ込まないのですね
真乃,さようならー
まのちゃん,むんっ
鳩,くー
真乃,そうか、えへへ。今日はありがとうね
まのちゃん,ぽやぽやぁ
真乃,今日は帰るけど、また明日からよろしくね
まのちゃん,むんっ！
鳩,ぽっぽー
真乃,じゃあ、事務所まで競争だよ
鳩,ぽっ
まのちゃん,ぽかぁ
真乃,わー、ずるいですよ！飛んでいくなんて！
はい、シャニマスを全然やってない人,環境的に
