ボコミュージアム内での様子は,戦車道のよこみち
沙織,あ、出てきた。お～い！みぽり～ん、愛里寿ちゃ～ん
みほ,沙織さん、皆も！
愛里寿,……ただいま
優花里,お二人共、お帰りなさいませ！
華,どうでしたか？ボコミュージアム
みほ,うん！中もぜ～んぶキレイになってて、すっごく楽しかった♪
沙織,あ、相変わらずここに来るとテンション高いわね……
麻子,ま、楽しんできたようで何よりだ……
みほ,あ……でも、本当に皆は待ってるだけで良かったの？何だか私達だけで楽しんできちゃって……
沙織,いや～アハハ……私達はこの前の一回で満足しちゃったかな～って……リニューアルしても、中のアトラクション自体は変わらないんでしょ？
みほ,うん、そうだけど……
愛里寿,貸切だから、順番を気にせずショーを見れたし……
沙織,いや元から並ばなくても見れたし……それに、結局やられちゃうんでしょ？ボコって……
みほ・愛里寿,それがボコだから！！
みほ,あ……
愛里寿,あ……
みほ,――あははっ、また揃っっちゃったね？
愛里寿,うん♪
沙織,あ～あ、すっかり仲良くなっちゃって……
華,妬いちゃいます？
沙織,妬いちゃうのとはちょっと違うけど……あのみぽりんがこんな短時間で人と打ち解けているの、初めて見るからビックリ――かな？
麻子,恐るべし、ボコの魅力……
沙織,……まぁ二人で入り口のボコの乗り物に乗ってる姿見た時は微笑ましいのなんのって……
優花里,ああ、あの熊はボコではなくてヴォイテクと言いまして、昔ポーランドでですねぇ……
沙織,おっと、こっちのスイッチも入っちゃったか……
麻子,……まぁリニューアル云々はともかくとして、私は行きたくなかったしな……
沙織,……それってボコーテッドマンションがあるから？
華,麻子さん、怖いもの苦手ですものね……
みほ,そうだよね、残念……
沙織,……まぁそれに、ちょっと外で確かめたい事が有ったしね……
みほ,確かめたい事……？
沙織,まぁその話は置いておくとして……次はどうしよっか？
みほ,愛里寿ちゃん、他に行きたい所は無い？
愛里寿,……みほはどこに行きたい？
みほ,私の行きたい所……？
華,せっかく短期転校扱いで大洗に来たんですから、遠慮なさらなくてもいいんですよ？
優花里,私達が誠心誠意、ご案内させていただきます！
愛里寿,……最初に私の行きたい所に連れて来てもらったから、次はみほが行きたい所がいい……
沙織,ん～そっか……みぽりん、どうしよっか？
みほ,えっと、それじゃあ……
店員,いらっしゃいませ～
みほ,～～♪
沙織,…………ねえ、みぽりん？
みほ,へ？何……？
沙織,いっくら好きだからってさ……お客様をコンビニに案内するのはどうかな……
みほ,えっ！？……ダメだったかな？
沙織,いやそんな顔されるとアレなんだけどさ……ホラ、コンビニなんてどこにでもあるから……
みほ,で、でも、コンビニごとに色々違いがあってね？……ほら、コレなんか学園艦のコンビニには無い、限定のお菓子でね？
優花里,流石西住殿……この情報収集に掛ける情熱が戦車道の指揮にも活かされて……
沙織,いや、ないから……
華,まぁまぁ……ほら見て下さい、結構楽しんでるみたいですよ？
沙織,……？
愛里寿,そんなに違いがあるんだ……？
みほ,うん♪このチェーンはコンビニスイーツに力を入れていて、それに合わせてコンビニコーヒーの味もね……
愛里寿,へぇ～……
華,……ね？
沙織,まぁそう言われるとねぇ……ってあれ？そういえば麻子は？
麻子,……何だ、皆は何も買わないのか？
沙織,早っ！？もう買う物決めたの？
麻子,後はレジを通すだけだ……
優花里,冷泉殿も流石行動が早いですね！
沙織,この甘い物にかける意欲を、もう少し他の事に向けてくれるといいんだけれどね……
