・,昔のキレがない
笑美,アイドルなって気づけば５年……お笑い界のテッペンは遠いなあ
モバP,ばあさんや
笑美,なんやジジイ
モバP,今日1日ツッコミ禁止な
笑美,は？
モバP,禁止な。はい、よーいスタート。はい減点2
笑美,減点！？
モバP,１０までたまったらアイドルやめてもらうから。何も。はい減点
笑美,ああああああああああ！！！。仕事もないし、レッスンでも受けるか
奏,今日は晴れね
周子,晴れといえばあたしの誕生日来月なんだけど
志希,フレちゃんはお肉が好き？
フレデリカ,すきすきー
笑美,ってウチは宮川○輔か！！
周子,ん？
笑美,へ、へ～。そうなんやあ。ファンでも友達でもない！ただのアンチやそれ！！
周子,お久しぶりですなあ。LIVEバトルが昨日のことのように思い出せるなあ
笑美,いやあ、その節はどうもお世話になりまして……
志希,ん～？
笑美,な、なんでっしゃろか
志希,あれれ～、なんだかいつもの笑美ちゃんじゃないような気がするなぁ？
笑美,いつものウチってなんや！アンタとは初対面や！！
志希,ツッコミが禁止されてるみたいなカンジで
不完全なLiPPS,？
笑美,なんや、ただのギフテッドか…。だっ……そんなことないで
マストレ,おっ、集まってるな！
笑美,助かった！マストレさんならレッスン中は大丈夫や！
マストレ,ん？笑美か。奇遇だな
笑美,奇遇なわけあるかい！連絡してから来たに決まっとるやろ！！
マストレ,どうした？体調でも悪いのか？
笑美,い、いえ……
マストレ,そういえば、レッスンの前に伝えることがある
ﾐｶﾇｷLiPPS,？
笑美,？
期待に震える唇,はーい
笑美,ああああああああああああああああああああ！！！！。誰がカヌーや！手足のついたカヌーがどこぞにあるんか！！
周子,はい減点。ちょっと何言ってるか分からない
笑美,嘘つけ！減点言うたやろ！
周子,はい減点3
笑美,もうええわ！こんなクソみたいな職場やめたるわ！！
モバP,待ってくれ！
笑美,なんや○すぞ！！
モバP,お別れのチューやチュー。ゴメン！ドッキリなんだ！
笑美,え？ドッキリ？
LiPP&マストレ,え？ドッキリ？
笑美,お前らナチュラルに仕掛けてきよったんか！！？
マストレ,レッスンの邪魔になるなら帰ってくれないか
笑美,ええわ！ほな、さいなら！！
