千川ちひろ,ん～っ
モバP,以下P
ちひろ,…………
P,紅茶の方が良かったですか？
ちひろ,いえいえっ、そういうわけじゃないですよ？だた、何でかなぁと思って
P,？
ちひろ,プロデューサーさんって、一息吐こうかなぁと思ったらお茶を持って来てくれたり飴をくれたりするじゃないですか
P,そうですか？千川さんもそうでしょう？
ちひろ,それはまあ、お仕事ですからね
P,いつもありがとうございます
ちひろ,いえいえ、こちらこそ……。じゃなくてですね
P,違うんですか？
ちひろ,私が言いたいのは、何でそんなにタイミングが良いのかということですよ
P,そうですかね？
ちひろ,そうですよ。仕事を取られている気がします
P,そんなつもりは……
ちひろ,あ、意地悪で言ってるわけじゃないですよ？ただ、私がプロデューサーさんに貰ってばかりなのが、こう……
P,気に入らないとか？
ちひろ,違います！気を遣わせているみたいで申し訳ないと言うか、そんな感じです
P,そんなことはないですよ。好きなだけです
ちひろ,お茶を出すのが、ですか？
P,はい。小さい頃、祖母がお茶を出すのが格好良く見えたんです
ちひろ,格好良い？
P,祖父が何も言ってないのにお茶を出したり御煎餅を出したり、それが魔法みたいに見えたんですよ。それから真似をするようになって、祖父も喜んでくれるが嬉しくて、それが今でも続いているんだと思います
ちひろ,へぇ～、お婆ちゃんに憧れていたんですね
P,だって凄くないですか？まるで心を読んでいるかのような、あの自然な動き
ちひろ,アイドルのこと以外でこんなに楽しそうに語るのって初めて見た気がする
P,魔法の正体が知りたくて、あの頃は祖母について回ったもんですよ
ちひろ,ふふっ、魔法は教えてくれましたか？
P,この魔法は年を取らないと覚えられないって言われました。泣きましたね、あの時は……
ちひろ,あ～、その優しさは子供には伝わらないですよね
P,ええ、お婆ちゃんを困らせてしまったことは今でも反省してます
龍崎薫,おっはよーう！！
P,おはよう、薫
ちひろ,おはよう、薫ちゃん
薫,せんせぇ、あいお姉ちゃんは？
P,まだ来ていないんだ。もうちょっとで来ると思うよ
薫,そっかぁ、早く来ないかなー
ちひろ,チョコレートのCM撮影でしたっけ？
P,はい、二人ならイメージにぴったりだと思いまして
ちひろ,あれ？向こうからでなくて、プロデューサーさんが決めたんですか？
P,僕が決めたと言うか、何度か話し合いをする中で案を出したら採用してくれたんです
ちひろ,二人の関係は親子のような友人とありましたけど
P,ええ、二人の距離感なら両方出せるかなと思いまして
ちひろ,距離感？
