おばちゃん,海鮮丼お待ちー
沙織,みぽりんそれ好きだよね
みほ,うん。あの、唐突なんだけど
沙織,どしたの
みほ,お刺身ってさ、普通の白いご飯に合うと思うかな？
麻子・華,！？
沙織,みぽりん、今すぐにその口を閉じろ
みほ,え
沙織,熊本で馬の刺身食ってたみぽりんにはわからないかもしれないけど、大洗育ちの我々にそのお題は仁義なきバトルの銅鑼の音以外の何物でもないの
みほ,地味に私の地元ディスらなかった？
麻子,あ？
華,おやりになんのか？
沙織,まあまあ……
優花里,閉店間際のお刺身って安いですよね
みほ,犬は相変わらずマイペースですね
優花里,お寿司食べたいです
みほ,すのときにでも行こっか
沙織,メタいこと言うのやめて
優花里,西住殿って、ライオンっぽいですよね
みほ,そうかな
沙織,そうかな
華,そうでしょうか
麻子,過半数で否決
優花里,えぇ～……。あの戦車道のときの溢れる闘士は百獣の王の風格じゃないですかぁ
沙織,確かに戦車乗ってるときのみぽりんはカッコいいけど、普段はハムスターにも並ぶ可愛らしさじゃん
みほ,そうかな
華,そうです
麻子,どん底での格闘はチョロチョロ避けててネズミっぽかった
みほ,言い方ってあるよね？あとハムスターはネズミじゃないよ
華,未来からやってきたロボット曰く、ネズミの仲間だからダメだそうですよ
みほ,知らんがな
優花里,ネコをかぶるならぬライオンをかぶるネズミ……
沙織,喰われるよねそれ
麻子,ライオンが残るな
華,よかったですねみほさん。ライオンに決定ですよ
みほ,嬉しくも悲しくもないです。この感情を人は虚無と呼ぶんだろうなぁ
優花里,そういうわけで回転寿司にやってきました！
沙織,わーい伏線回収
みほ,わぁ、回転寿司って私初めて
華,わたくしもです
沙織,……聞くけど、普段はどんなとこに行くんですかお二人様
みほ,回らないとこ
華,右に同じく
沙織,ﾁｯ、ブルジョワが
麻子,落ち着け沙織
沙織,うん、みぽりんは百歩譲っていいよ。あんま食べないし。華とかおなかいっぱいまで食べたらすごいことになるよね
華,ええ、まあ。だいたい小腹が満ちるくらいで新三郎がガチ泣きしますね
優花里,……気苦労が察せます
華,以前限界まで挑戦してみたのですが、新三郎がラビリンスで負けた後のユッキーみたいになってしまって
麻子,おい、大丈夫なのか。彼の精神状態とか
華,さて、このお店はわたくしの飢えを満たしてくれますかね
麻子,バトル漫画に出てくる戦闘狂みたいなこと言うな
優花里,五十鈴殿はバルバリシア、西住殿はルビカンテ、冷泉殿はカイナッツォ……
華,急にどうしたんですか？
優花里,家の物置を漁っていたら出てきたので、ちょっとやってみてるんです
みほ,てか、私裸マントなの？
優花里,興奮しますね
みほ,おい
沙織,そんなことよりゆかりん、その流れだと私は何になるの？ん？言ってみ？
優花里,……婚活ゾンビ
沙織,ゆかりんが私のことどう思ってるのかよくわかった
麻子,そういう秋山さんは何になるんだ
優花里,私はゴルベーザです
沙織,自意識高いな
優花里,じゃあこうしましょう。西住殿はセシルで、私はローザ
