ゾンビたち,ｳｧｧｧｧｧｧｧｧｧｱｱｱｱｱ!!!!
めぐねぇ,
安達主審,…
審判団,…。
安達主審,…。…っ！！。
審判団,！！？
実況,お茶うまい…。…ん…？？。ああっと！？これは大変なことが起きてしまった！！！
解説,…お、娘か！もうすぐ帰るから…え、今日はすき焼き？それも特上牛肉の！？。帰るぞ…寄り道せずすぐ帰るぞ…では
実況,…
解説,…すみませんね、家に電話かけてたんですが、今すぐ家に帰り
実況,...モニターで現在の状況をご覧ください
解説,ん…。……。…何ですか、これ。安達主審…の後ろにタイムボードがありますが……まさか
実況,さて、巡ヶ丘高校で見事にロスタイムを戦い切った。高校教諭の佐倉慈選手。その試合終了のホイッスルが鳴り響いたほんの1分後。まさか、新たな戦いが幕を開けるなどと誰が想像したでしょうか！？。ピッチに立つ今回の選手。安達主審であります！！
解説,……そんなバカな
実況,安達主審の死因ですが、予想通り圧死のようです。安達主審の亡くなる直前をハイライトで振り返ってみましょう。佐倉選手の最期を他の審判たちが見届ける中
解説,安達主審、背を向けて号泣してますね
実況,佐倉選手の差し入れたあのリポビ◯ンDが効いているのでしょうか。見届けた後、審判団は引き上げるわけですが…
解説,安達主審、泣きじゃくって…ああっ！！ドラム缶を蹴飛ばしましたよ
実況,このドラム缶、後ろに立てかけられていた鉄パイプの束のストッパーとして置かれていたようで
解説,ストッパーをなくした鉄パイプの束が、蹴飛ばした安達主審に襲いかかった、というわけですか…はぁ。不運といえば良いのか、自業自得といえば良いのか
実況,安達選手のロスタイムは…なんと25分！？これは最短記録ではないでしょうか！？
解説,うそだぁ…この人不器用だし、絶対人生のロスタイム長いよ
実況,手元の資料によりますと、安達選手は2年前、都内の繁華街で酒に酔って空き缶を蹴り飛ばし。それが黒塗りの高級車に当たり、中から出てきたサングラスの男に射殺されています。その際、安達選手はロスタイムを戦ったのですが、試合中に審判団が命の危険に晒され、なんと安達選手が見事に救い出したとのことです
解説,うそだぁ
実況,その功績を認められ、安達選手は生命を取り戻し、また審判団としてヘッドハンティングされたようです
解説,うそだぁ。…ん、ということはロスタイム25分はそれからの2年分ということか…納得
実況,さて、もう開始のホイッスルは鳴っていますが…安達選手、まだ状況を飲み込めていない様子。副審が身振り手振りで説明を試みます。安達選手、副審の動きを見て…背後に掲げられたタイムボードを見て…ようやく理解したようです
解説,まさに絶望という顔をしていますね、これほど絶望という文字が似合う顔を私は見たことがないです
実況,副審がタイムボードを指差し、行動開始を促します。…と、これは…
解説,座り込んで号泣していますね
実況,副審が立ち上がるよう指示していますが…立ち上がる様子はありません。ああっと！！イエローカードが出てしまったぁぁぁ！！！。しかし安達選手、なおも動かず、号泣を続けています！このまま25分、号泣だけで終わってしまうのか！！？。ああっと！！副審が2枚目のイエローカードをちらつかせている！！！
解説,このまま動かないと試合放棄とみなす、ということでしょうね
実況,おっと！？安達選手、ここでおもむろに顔を上げ、向こうのほうを見ています…
解説,ゾンビの方見てますが…。…あれっ！？あのゾンビ、元佐倉選手じゃないですか？？
実況,佐倉元選手は…ああっと！！他のゾンビと共に扉を叩いている！！その先には教え子だった学園生活部の部員たちが！！！
解説,潜在意識でなんとか地下の例の部屋を守ろうと必死だった佐倉選手ですが、ゾンビ化すると生前の記憶はやはりダメになるのですかね…
実況,ああっと、安達選手、ゾンビの群れに向かって走りだしました！！
解説,佐倉選手の時と同じく、もう亡くなっている身ゆえゾンビに狙われることもないようです
実況,安達選手、元佐倉選手のゾンビに近づき…肩を叩きました！！。そして何かを差し出した…あれは、安達選手自身の名刺のようです
解説,そういえば佐倉選手に渡してましたね…主審、安達、としか書いてない超シンプルな名刺
実況,そして、次に見せるは…リポビ◯ンDでしょうk。ああっと！？元佐倉選手、頭を抱えて苦しそうにしている！！
解説,潜在意識が戻る、ワンチャンスありそうですよ
実況,ここで次に見せるは……おっと？これは学園生活部の写真ではないですか！？。元佐倉選手、落ち着きを取り戻して、写真をじっと眺めています
解説,…ところで学園生活部の写真、なぜ安達選手が持ってるんですかね
実況,そういえば…部室で荷物の搬入をしている時に持ってきたのでしょうか
解説,それって多分佐倉教諭が写ってるから持って来たんでしょうね…安達選手、佐倉教諭好きだし
実況,おっと、元佐倉選手、安達選手に深くお辞儀を一回、扉と逆の方向に歩いていきます！！
解説,潜在意識を呼び戻せたんでしょうか…歩き方はやはりゾンビそのものですが
実況,ああっと！！元佐倉選手、鉄パイプの束につまづいて転んでしまった！！
解説,ゾンビになってしまうと転んで起き上がるのも一苦労のようです
実況,おっとここで…？安達選手、近くに駆け寄り、元佐倉選手に手を差し伸べています！
解説,ふむ…無事起き上がりましたね…
実況,そして…？安達選手、手を繋いだまま元佐倉選手を引っ張って歩いています！
解説,地下までには階段もありますし、元佐倉選手だけでは負担が大きいと見たのでしょうね
実況,これは見ようによっては安達選手がエスコートしていると見えなくないでしょうか！？
解説,うーん…あの安達主審がねぇ…
実況,さて、段差にたどり着いたぞどうするか…。こ、これは…
解説,
実況,安達選手、元佐倉選手を、いわゆるこれはお姫様抱っこで運んでいます！！！
解説,
実況,…どうされました？
解説,いや、先まで泣きわめいてレッドカード目前だった彼はどこに行ったのだろう…と
実況,…愛の力が彼を変えたのでしょうか！？
解説,君、なかなかのロマンチストだね…
実況,さて、地下の部屋の前に着きました…ここで二人は別れることとなります。元佐倉選手は再び安達選手に深く一礼、安達選手は握手を返します！
解説,はたから見れば人間とゾンビの別れにしか見えなくてなかなか何というか
実況,でもそこには片思いであっても愛があります！！
解説,君ほんとそういうの好きそうだね…
実況,安達選手、元の扉の方へ走り出しました！！後ろは振り返らない！！強いぞ安達！！男だ安達！！
解説,…色々と暑苦しいな…
