事件３,想い人を探せ
P,…
美希,ハニ～…ハーニ～！
P,ん～…どうした？
美希,どうしたもこうしたもないの！たまにはどこかに連れて行ってよ～
P,どこかって…萩原堂なら毎日連れてってやってるじゃないか？
美希,もうっ！そうじゃなくて、二人でどこかに行きたいって言ってるの！
P,萩原堂以外にってことか？
美希,そうっ！映画とか、歌舞伎とか！あっ…寄席も捨てがたいの！
P,やめとけやめとけ、休日なんだから今日はどこもかしこも混んでるぞ
美希,混んでたっていいの！美希はハニーとお出かけしたいの！
P,えぇ…
美希,ね？良いでしょハニー！
P,まぁ…この様子じゃ今日も仕事は来ないだろうしなぁ
美希,ぜーったいこないの！だからハニ～！
P,う～ん…新しい歌舞伎座になってから行ってないし…そこまで言うならたまには遠出でもしてみるか
美希,やった！それなら早速お着替えしなくちゃ！
P,着替え？その格好のままじゃダメなのか？
美希,ハニー…それ本気で言ってるの？
P,え？あ、あぁ…
美希,はぁ…
P,な、なんだよその目は…
美希,ハニーは全然わかってないの…
P,わかってないって…
美希,恋人同士でお出かけするんだよ？それならしっかりおめかししないといけないと思うな
P,恋人同士って…誰と誰の話だ？
美希,それはもちろん美希とハニーなの！
P,馬鹿言うな、保護者と子供の間違いだろうが
美希,美希がママなの？う～ん、いくら何でもハニーが子供っていうのは無理があるかな…
P,俺が保護者に決まってるだろうが！
美希,美希はもう大人だよ！この前も弥吉さんに大人っぽいって言われたし！
P,ぽいって言われてる所でまだまだ子供なんだよ…
美希,とにかく！美希もおめかしするんだから、ハニーもちゃんとした服を着なきゃダメだよ！
P,ちゃんとした服って…俺も着替えてくのか？
美希,あったりまえなの！そんなヨレヨレの袴じゃハニーがみんなに笑われちゃうの！
P,わ、笑われるって…
律子,あら？二人して随分と楽しそうにしてますね？
P,おぉ律子嬢、帰ってきてたのか？
美希,おかえりなさい！
律子,ただいま、あ～まったく…毎月毎月やんなっちゃいますよ
P,体のためなら仕方ないさ、それで？今日も問題なしだったのかい？
律子,はい、小鳥さん曰くまったく問題なしみたいですね
P,おぉ、そりゃ良かったな…
律子,もうそろそろ検診しなくてもいいような気がするんですけどね？これだけピンピンしてるのに病院に行くのはどうも気が引けて…
P,気を使うに越したことはないさ、ちゃんと来月も行くんだぞ？
律子,はいはい…ちゃんと行きますから、それより二人してなんの騒ぎだったんですか？
P,あぁ、美希が外に連れてけってうるさくてな？急だけどちょっと歌舞伎でも行こうかと…
律子,ほ～う…仕事も見つけずに歌舞伎とは、随分と良いご身分じゃないですか
P,いや…だからそれは、美希が行きたいといったからでな？
律子,美希がねぇ？
美希,たまにはハニーと遊びに行きたいの、良いでしょ律子さん！
