渋谷凛,事の起こりは、先日のオフだった
島村卯月,私たちは合同ライブの翌日で、全員オフでした
神崎蘭子,未踏の地へと赴く謀議を我らは交わさん
卯月,かな子ちゃんがこの間レポートに行ったカフェ、すごいオススメなんだって！
凛,確か来週には放送されるんだよね。じゃあ今週中に行かないと
智香,放映されたら、お客さんがいっぱい詰めかけるよね。きっとっ☆
蘭子,裁きの日は近い！
凛,かな子がすごく美味しかったって言ってたよね。かな子の保証付きなら、間違いなく美味しいよ
卯月,明日はみんなそろってオフだよね？行っちゃう？
智香,それに、そろってお休みって滅多にないものね。行こうよっ☆
蘭子,鋼鉄をも腐食させる我が毒の属性をみよ！
凛,場所、わかる？
卯月,京成小岩駅の近くだって
智香,えっと、どこだっけ？
凛,江戸川区。意外な所だよね、そんな所に美味しいカフェがあったなんて
蘭子,闇の詩人萩原雪歩にスペリオルライド！トリガーチェック！！クリティカルトリガーゲット、効果は全て闇の詩人へ！！！
卯月,でも自分で言うのもなんだけど、今話題のアイドルが４人もそろって出かけるってすごいよね
蘭子,幻影の衣を纏うべし
智香,変装っ？
凛,大げさな変装じゃなくても大丈夫。髪をアップにしてメガネをかけただけで、電車とかでも全然バレなかったし
上条春菜,呼んだ？
智香,呼んだわけじゃないんだけどっ……でもちょうどよかったのかな？変装用のメガネの話なんだよっ☆
春菜,よくぞ私を呼んでくれました！この春菜ちゃんが、みんなにオフ用のメガネコーディネートをしてあげましょう！
卯月,なんだか悪いね
春菜,ううん。みんなが積極的にメガネをかけてくれるのって、嬉しい！
凛,そう言ってもらえると、私も嬉しいな
春菜,卯月ちゃんは、ノーフレームのすっきりしたデザインがいいと思うな。で、凛ちゃんは今流行のアンダーフレーム
卯月,どうかな？似合う？
凛,変じゃないかな？
蘭子,騒々しき泉よ
春菜,蘭子ちゃんにはこれだっ！
卯月,……えっ？
凛,これは……
智香,よくマンガとかで悪い人がつけてる……
春菜,片眼鏡(モノクル)だよ。ほら、こうやってのっけて……そう、そこで挟み込むようにして固定するんだよ
蘭子,新たなる光が我を包む！
卯月,いや、待って、待って！
凛,似合うけど、そんな目立つメガネじゃ変装にならないよ
智香,注目の的だよねっ☆
春菜,あ……そっか。蘭子ちゃんの雰囲気に合ってると思ったけど、変装にならないよね
蘭子,牙を抜かれし獣の口腔内……
智香,もう少し普通で、蘭子ちゃんに似合うメガネはないのかなっ？
春菜,じゃあ無難に、オーバールのメガネを。ちょっと大きめだけど、今時ファッションでいいでしょ
蘭子,恐怖政治の始まりを告げる時
春菜,智香ちゃんはスポーティーだから、はい！リムもフレームも軽いタイプね
智香,わあい！似合うかなっ！？
凛,いいよ。似合ってる
蘭子,伝説の超サイヤ人へと進化せよ
卯月,智香ちゃんはいつもポニテだもんね
智香,じゃあちょっとほどいてみるねっ☆
卯月,うわ。長いし、綺麗だし、なんだか新鮮だね
