藤居朋,はぁ～……、ついてないなぁ……
朋,まさか、星座占い・血液型占い・好きなドーナツ占い・好きな野球チーム占い・好きなおみくじの結果占いの全部門で最下位とは……。ってかあの占い、毎週キャッツファンが一位なんだけどおかしいでしょ……。あと大吉を選んだあなたは～！ヘーイ！残念！大凶よ！！！。誰かと話したくて事務所に来たのに誰もいないし……。誰かこないかなぁ……
緒方智絵里,おはようございます……
白菊ほたる,おはようございますっ
朋,あ！２人ともおはよう！。……ってあれ、智絵里ちゃんどうしたの？そんな浮かない顔して。何かあったの？
智絵里,あ……朋さん……。実は昨日、四葉のクローバーを探してたんですけど、見つからなくって……
朋,あー……なるほど。それは残念だったね……。けっこう探してたの？
智絵里,はい……昨日は9時間くらい探したんですけど……
朋,9時間！？
智絵里,いつもは5時間くらいで見つかるのに……
朋,くらいって
智絵里,この事務所にきてすぐの頃はあっという間に見つかったんです……10分探せば100個くらいは……
朋,智絵里ちゃんは業者かなにかなの？
智絵里,でもどんどん見つからなくなってきちゃって……私の努力が足りないんでしょうか……
朋,明らかにその乱獲のせいよ……。そ、そういえば、ほたるちゃんはなんだか気分がよさそうね。いいことあったの？
ほたる,あ、はいっ！そうなんです！。なんと昨日は、植木鉢が8回しか降ってこなかったんです！
朋,えぇ……
ほたる,いつもの半分以下だったんですよ？
朋,ほたるちゃんのメンタルどうなってるの！？。というかケガとかなかった？平気？
ほたる,大丈夫です。当たったのは5つだけなので
朋,過半数！！！
智絵里,3個も避けたんだ！ほたるちゃんすごい……！私なんてほとんど避けられないよ……
朋,なんで植木鉢がよく降ってくるって前提なの！？
ほたる,でも、朋さんもなんだか表情が暗いように見えました……なにかあったんですか？
朋,え！？い、いやぁ～、き、気のせいじゃない？私はいつも通りよ！。今の凄まじいエピソード達の後に今朝の占いが最下位で～
ほたる,まさか……
朋,えっ！？
ほたる,植木鉢がよく降ってくるとか！？
智絵里,それは私たちだけでしょっ
ほたる,智絵里さん、ナイスツッコミです……
智絵里,ありがとう、ふふふ…………
朋,………………。ぜんっぜん笑えないいいいいいい～～～！！！！！！。なに今の漫才！？笑うトコ！？。ってかこの2人ってこんなに息ぴったりだったっけ！？。と、とにかく！何か他の話題を見つけなきゃ……。ふ、2人はこれからお仕事？レッスン？
ほたる,あ……私はこれからCM撮影のお仕事です……
朋,おー！ほたるちゃんCMに出るんだ！すごいじゃない！
智絵里,すごい……どんな内容なの？
ほたる,はい……宝くじのCMなんですけど……
朋,わかった！ちょっとツイてないあなたでも！宝くじはみんなにチャンスが！みたいな感じでしょ！夢があるねー！
ほたる,いえ……私が宝くじを買いすぎて破産、路頭に迷っているのを尻目に、茄子さんが颯爽と1等を当てていく話です……
朋,
智絵里,わぁ……ぴったり！
朋,智絵里ちゃん！？。それは……まぁ、お芝居だし、頑張ってね……？
ほたる,はい！それと、せっかくなので私も宝くじを買ってみたんです……。きっと当たらないとは思うんですけど、たまにはいいかなって
智絵里,へぇ～……、そうだよね、買わなきゃ当たらないし、私も買ってみようかな……
朋,お、ちょっとポジティブな話題に
ほたる,まぁ、もう宝くじを入れた財布を落としちゃったんですけどね……
朋,ならないかー。えっと、智絵里ちゃんもお仕事？
