渋谷凛,そうなんだよ、こないだ本屋で
未央,え、大変じゃん！
凛,最初私はさ、本を立ち読みしてたんだ
未央,うんうん
凛,そんで、パッ！と見たら、若いにぃちゃんが、ニュージェネの写真集を万引きしてたんだよ
未央,うっわ～、よりによって……なんでそんなことするのかな……
凛,だから私は、おい！アンタ何やってんの！！
未央,おお！
凛,って言うタイミングを伺ってたんだ
未央,あ、タイミングを！？言ってはないんだ
凛,そしたらそのにぃちゃんが、てめぇさっきから何ジロジロ見てんだよ！！
未央,え！
凛,っていう表情を浮かべてきた
未央,表情！？これも別に言ってたわけじゃないんだね
凛,うん。だから私はもう完全にプッチーン……！。って言ったんだよ
未央,そこ言ったの！？
凛,そう
未央,え、プッチーンって？
凛,違う違う、完全にプッチーンって言ったんだよ
未央,どっちでもいいよ！
凛,そしたらそのにぃちゃんがいきなり振り返って！
未央,おお！
凛,その右手で私の顔面をボッコボッコに！
未央,ええ！？
凛,殴ってくる可能性もあるじゃん？
未央,お……おお……、いやあるけど……
凛,だから私もどうしようかな……って思ったんだけどさ
未央,まぁ、怖いよねぇ
凛,ここで私がやらなきゃ誰がやるんだ！
未央,おお！！
凛,っていう本を棚に戻したの
未央,本のタイトル！？
凛,うん
未央,思ったわけじゃないんだね！？
凛,そうだね、ちなみにその本を書いたのは乃々だよ
未央,ウソでしょ！？一番ありえない名前が出てきたんだけど！？
凛,で、にぃちゃんを睨みながら、ゆっくりとそのコンビニを出てにぃちゃんのいる本屋へと入っていったの
未央,別のお店だったの！？。え！？同じお店の話じゃなかったの！？
凛,いやいや、私は向かいのコンビニからずっと見てたんだよ
未央,あ、そうなんだ……
凛,そうそう
未央,じゃあしぶりん今のとこコンビニで１人で完全にプッチーンって言っただけじゃん！？
凛,あ、ここまではね
未央,ええ……
凛,で、本屋に入った私は、もう決死の覚悟でそのにぃちゃんに立ち向かって
未央,おお！
凛,くれそうな人を探したの
未央,探した！？しぶりんは行かないんだ！？
凛,そこで私の目に入ってきたのが、もう滅茶苦茶強そうな！
未央,うん！
凛,お酒を飲んでる早苗さんだったんだけど
未央,何してんの！？
凛,もう滅茶苦茶強そうなお酒でさ、べろんべろんに酔ってたんだよ
未央,もうそれはただの酔っ払いだよ……
凛,こうなったらもうしょうがないな！って思って
未央,そうだね
凛,私だって犯罪は見過ごせない！
未央,うんうん！
凛,私がとことんまでやってやろうじゃん！
未央,おお！
凛,とか１人で言ってるんだよ早苗さんが
未央,早苗さんが言ってたんだ！？
凛,そうそう、べろんべろんでさ
未央,早苗さん……
凛,昨日は菜々ちゃんの家で飲んだんだーって
未央,早苗さん！！！
凛,もうホント、こんなに酔っぱらっててよく本屋の店員が務まるなーって思ったよ
未央,早苗さん店員だったの！！？？
凛,そうそう
未央,ホントに何してんの！！？？
凛,そういう企画だって
未央,元警官アイドルにお酒飲みながら本屋の店員やらせるってどんな企画なのさ……
凛,そんなことしてたらさ、にぃちゃんが逃げようとしてたから
未央,うわ！
凛,私はその前にバッ！と立ちふさがったの
未央,おお！とうとう行った！
凛,ちょっとにぃちゃん！アンタ自分のやってることがわかってるの？いい？万引きっていうのは、立派な犯罪なんだよ！
未央,しぶりん……！
凛,って言おうとしたその時！
未央,言ってないのかよ！！！
凛,にぃちゃんがいきなり。上等だオラァ！！！と叫ぶことなく！。私の髪をガッ！！と掴んでくるかと思いきや！。幸子の腹にバッ！！と蹴りをいれてきてもおかしくないくらいの勢いで！。佇んでたんだよ
未央,なにもしてないじゃん！！！ってかさっちー巻き添え喰らってない！？
凛,でもにぃちゃんがそんな態度だったからさ、同じ事務所のアイドルとして私も我慢できなくて
未央,アイドル！！！？？？そのにぃちゃんってアイドルなの！！！？？？
凛,そうだよ、よく○○だにぃ☆って言ってるじゃん
未央,きらりんだそれ！！！！！
凛,私はいつもにぃちゃんって呼んでるけど
未央,そういうことかよ！！聞いたことないよ！！！。もうわけわかんない……
凛,よくわかんないでしょ？
未央,うん……
凛,私も急にフレデリカからそんな話をされたときは意味わかんなくて……
未央,しぶりんの話じゃないのかよ！！？？
元ネタはパンクブーブー,万引き
