藤居朋,年明けのこの時期はいろんな番組がやってるわね……
未公開映像大公開！,喜多見―、綾瀬―、工藤―、桃井―、アウトー！
朋,あっ！ほたるちゃんだ！。年明けから規制！！？？。めっちゃ受けてる！？すごい気になる！！！
ほたるそれを見た笑美さんの,壊れたロボ美城常務かっ！
朋,なにその例えツッコミ！？どんな状況！？。周り笑ってばっかじゃん！！！いいかげん何か状況を言ってよ！！！。しかもほたるちゃん大トリでトークしたんだ……すごいわね……。何か他に……
司会者はい、,CANDYISLAND
朋,あ！CANDYISLAND！もうちょっと早く見てれば聴けてたのにな～。……見てられない！！！！！。ＣＩの負担の割合おかしいでしょ……。9割杏ちゃんだったんだけど……。今度アメでも買ってあげよう。おはようございまーす
ほたる,あ、朋さん！あけましておめでとうございます
朋,ほたるちゃん！あけましておめでと～！ってそれ振袖じゃない！？
ほたる,はい……！この後、フレデリカさん、藍子さん、雪美ちゃんとお仕事なんです
朋,おおーっ！よく似合ってる！
ほたる,ありがとうございます……
朋,……あれ？でも肩のところに汚れがついてるよ？払ってあげる
ほたる,あ、すみません、さっき歩いてた時に上から……
朋,もしかしてまた植木鉢！？
ほたる,いえ、ドローンが
朋,ドローン！？危なっ！！！。ケガはなかった！？
ほたる,はい……でもそのまま官邸に……
朋,それ以上はよくないわ。そ、そういえばほたるちゃんは去年、ウエディングドレスとかも着てたよね？うらやましいな～
ほたる,はい……とても素敵な衣装でした
朋,あれって持って帰ったの？
ほたる,そのつもりだったんですけど……
朋,え？
ほたる,持って帰る途中で、血まみれで倒れてる加蓮さんがいて
朋,なんで！？
ほたる,その応急処置のためにドレスを破いて包帯代わりにしたので、ダメになっちゃいました
朋,ええ……！？でも偉いなあ……
ほたる,衣装なんてまた作れますけど、加蓮さんがいなくなったらみんな悲しいですから
朋,女神か
ほたる,ウエディングドレスの撮影は、智絵里さんも一緒でしたよ
朋,そうだったね！あの智絵里ちゃんも可愛かったな～
智絵里,おはようございます……
朋,あ！噂をすれば！あけおめ～
ほたる,あけましておめでとうございます
智絵里,噂……？四葉バカ
朋,言ってないよ！？真顔で聞かないで！！！
智絵里,ちょっとした自虐です……
朋,変な方向にトーク力を尖らせるのやめて！？。そもそも杏ちゃんばっかり喋ってるのに……
智絵里,そもそも杏ちゃんばっかり喋ってるんですけどね
朋,！？
ほたる,？
智絵里,ふふっ
朋,ね、ねえほたるちゃん！
ほたる,どうかしましたか？
朋,昨日、ほたるちゃんが出てる番組を見たんだけどさ？規制音があって全然聞こえなくて……。よかったらここで聞かせてくれない？
ほたる,あ、いいですよ。歌鈴さんとマジックショーをお手伝いしてたら、マジシャンさんのにゃああああ！！！なんでみくのおせちはお魚ばっかなの！！？？
朋,ちょ……聞こえな……
ほたる,しかもその後！なんとおーい、みく、うるさいぞー
朋,
智絵里,ふふふふ……何回聞いてもおもしろいね……
朋,なんで聞こえてるの！？。悔しい……！。ほ、他の話はしなかったの？あのメモにあったやつ！
ほたる,いえ、全部お話しして、けっこう笑っていただいたんですけど、機材の不具合で撮れてなくて……
朋,ああ……ほたるちゃん……
智絵里,それが一番笑えるね！
朋,智絵里ちゃん！！
ほたる,でも、その分また他の番組で話せると思えば……
朋,メンタル強いなぁ……
智絵里,硬いものの方が脆いって言いますけどね
朋,智絵里ちゃん！！！
智絵里,そういえば、ほたるちゃんのおみくじは今年も大凶？
朋,話の始め方が最高にエグい！？
ほたる,はい！！
朋,どこからその元気は来るのよ！？
智絵里,まあ私も凶だったんですけど……
朋,自分で言っといて凹むの！？自由か！！！。……私が吉だったことは黙っておこう
ほたる,特に待ち人……死ぬと恋愛……わかるわはちょっとダメージありました
朋,何その神社！？
智絵里,最悪だね……
朋,わかるわに対して言ったんじゃないよね？智絵里ちゃん？？？
宮本フレデリカ,ほたるちゃーん！そろそろ時間だよ！
ほたる,あ、フレデリカさん！今行きます
朋,いってらっしゃい～
ほたる,はい……いってきます
智絵里,ほたるちゃんって……
朋,え？
智絵里,ホントに可愛いですよねっ！前向きなとこも憧れるなあ……
朋,普通に褒めるんかいっ
智絵里,悪口なんて言うわけないじゃないですかっ
朋,あ、かわいい……って当然のように心を読まないで！？
智絵里,あ、私もそろそろ行きますね
朋,う、うん……いってらっしゃい……
智絵里,はいっ！
朋,未だに智絵里ちゃんは掴めないわ……
杏,どーもー
朋,あ！杏ちゃん！！！
杏,え？どうかした？
朋,まあまあ、座って座って！はい、アメあげる！お茶も淹れるわね！
杏,え？ええ？どうしたの？？？
朋,そういう気分なの！
杏,？？？
朋,……あれ？なんだか外が騒がしくない？
杏,あー、来る途中でちょっと見たんだけど、外で大○翔平選手と○浪晋太郎選手がキャッチボールのパフォーマンスしてるんだってさ
朋,へー！その2人ならアタシでも知っきゃーーーーーーーーー！！！！。……ほたるちゃん！！！！！！！！！！
