白菊ほたる,はぁ……
ほたる,また失敗しちゃった……。これでもう何回目だろう？。撮影に行こうと思ったら車が故障して……。電車は遅れて道は工事中で……。いざ着いたら機材は故障して……。プロデューサーさんやスタッフさんは君のせいじゃない。もし愛想を尽かされちゃったら……。アイドル……やっぱり向いてないのかな……。……。……テレビでも見よう…………。あ……茄子さん……！。茄子さん……最近よくテレビに出てる……すごいなぁ……。美人さんだし……なんでもできて……。それにやっぱり……。強運の才女。いいなぁ……。明日は朝からレッスンだからもう寝なきゃ……。おやすみなさい……。レッスン、うまくいかなかったな……。こんなんじゃトレーナーさんにも……。はぁ……。ひぃぃ！？。す、すいません、朋さん
藤居朋,いちおう部屋に入るときにあいさつしたんだけどね～？
朋,ほたるちゃんは私なんて眼中にないと……
ほたる,ええ！？い、いえ、そんなことないです！気づかなかっただけで……すいません……
朋,……。もー！冗談よ！冗談！。それより今、お昼の番組に茄子さんが出てるんだって！一緒に見よ？
ほたる,は、はい……。……
朋,いやぁ～最近茄子さん凄いわよね！まさに引っ張りだこ！
ほたる,はい……本当に……
朋,あたしもすぐ茄子さんくらいの人気者になってやるんだから！。ほたるちゃんも、ねっ？
ほたる,は、はい。……私も……茄子さんくらい運がよくなれたら……
朋,……。……ほたるちゃん
ほたる,って、私なんかじゃ無理ですよね……生意気なことを言ってしまいました……すいません……
朋,ほたるちゃん！
ほたる,は、はい！
朋,それは違うんじゃないかな？
ほたる,え……？
朋,確かにあたしは茄子さんに憧れてるよ？。でもそれは、人気に対してなの。運のよさにじゃなくってね？。あたしはほたるちゃんが運がよくないって知ってるし、あたし自身、そんなにラッキーな人間じゃないから気持ちはわかる。だけど、そもそも幸運な人生は幸福なのかな？
ほたる,……！
朋,……茄子さんってさ、いつも成功してるけど、だからといってレッスンに手を抜くのをみたことある？
ほたる,……ないです
朋,そうよね。かくし芸とか多芸で多才だけど、事務所ではちゃんと練習してる姿をいっつも見かけたわ。でも、みんな成功してる場面だけ見てさすが茄子さんさすが幸運って……。努力は見せるものじゃないけど、きっとミスしたらみんなちゃんとやれ練習してないんじゃないかって茄子さんに言うと思うわ
ほたる,……
朋,“１００％うまくいく人生ってどんなものだろう？”って、誰しもが考えると思うの。もちろんあたしも。でも、それは、みんなが思ってるほど最高なものじゃないと思うのよ。成功するのが前提。失敗するなんて誰も思ってない……それってすごいプレッシャーなんじゃないかな？
ほたる,そう……ですね……
朋,って！なんかお説教みたいになってる！？ごめんねほたるちゃん！
ほたる,い、いえいえ！お話ししてくださってありがとうございます
朋,何が言いたいかって、“運なんて気にせず毎日がんばろー！”ってだけだから！
ほたる,はい……！
朋,それに、茄子さんがこの前言ってたの。ビンゴ大会とかじゃんけん大会とか、私がいっつも勝っちゃうから申し訳なくてって。つまり、茄子さんといるからこそ不幸になっちゃうパターンもある！。つまりつまり、ほたるちゃんのおかげで誰かが幸福になることもあるかもしれない！！！
ほたる,な、なるほど……？
朋,そうそう！それに、失敗するからこそ、次の成功が嬉しくて楽しくてたまらないんじゃないかな？
ほたる,それは……そうかもしれません……
朋,茄子さんはそれを味わえないんだから！味わえるあたし達は幸福で、むしろ茄子さんは不幸なのかもよ！
ほたる,私が……幸福……
朋,うんうん！。もう！聞いてなかったの？茄子さんが不幸なのかもって言った……じゃ……ん
鷹富士茄子,ふむふむ……なるほど……それで？
朋,
茄子,……
ほたる,……
朋,な、な～んちゃって……？
茄子,ふふっ。冗談ですよ
朋,びっくりした～！さっきほたるちゃんをからかった罰ね……
茄子,それはそうと朋ちゃん、プロデューサーさんが呼んでましたよ？
朋,え？。あっ、そうだ！このあと打ち合わせだった！！。茄子さんありがとう！ほたるちゃんもじゃあね！いってきまーす！
ほたる,お、お気をつけて……
茄子,いってらっしゃい～♪
ほたる,あ、あれ？茄子さん……○○県にいるはずじゃ？
茄子,ああ、これは録画なんですよ
ほたる,な、なるほど……。……
茄子,……
ほたる,あ、あの……
茄子,はいっ！
ほたる,いきなりで……申し訳ないんですけど……。茄子さんは幸福ですか……？
茄子,はい！もちろんです！。プロデューサーさんがいて、ファンの皆さんがいて、頼れる先輩がいて、こうして頼ってくれる後輩もいる……とっても幸せですよ？
ほたる,そう……ですよね
茄子,ほたるちゃんは幸福じゃないんですか？
ほたる,……わかりません。私は……運も悪いし……みなさんに迷惑ばかりかけて……。そんな私が幸せなんて……
茄子,……。ほたるちゃん、よく聞いてください
ほたる,はい……
茄子,幸運と幸福は違います
ほたる,……え？
茄子,同じように、不運と不幸は違います
ほたる,……
茄子,私は、“幸運”で“幸福”なアイドルです。ほたるちゃんは確かに“不運”なアイドルかもしれません。でも。誰がほたるちゃんのことを“不幸”なアイドルって決めつけることができるんでしょうか？
ほたる,……！
茄子,別に“不運”で“幸福”なアイドルがいてもいいじゃないですか。きっとその“不運”で“幸福”なアイドルさんは、私とは全く違った輝き方ができるはずです
ほたる,茄子さん……
茄子,きっと、この先、ほたるちゃんはいろんな壁にぶつかります。その度に、自信が、元気が、決意が、ボロボロと削られていってしまいます。でも、それでも、最後まで残ったなにかが、きっとほたるちゃんをキラキラと輝かせてくれる“ほたるちゃんらしさ”のはずですよ。ほたるちゃんよりもちょっとだけ、長く生きているカコおねーさんからのアドバイスです♪
ほたる,ありがとう……ございます……！
茄子,ふふっ。でも、なんだか話していたらお腹がすいてきましたね……。ほたるちゃん、一緒にお昼でもどうですか？
ほたる,あ……はいっ！ご一緒します！
茄子,そんなに硬くならなくていいんですよ～？
ほたる,い、いえ……
Ｐ,ほたるいるかー？
ほたる,！は、はい
Ｐ,お、よかった。昨日できなかった撮影、先方が明日にやらせてくれないかって連絡してきたから、明日は頼んだぞ
ほたる,え……でも、なくなったはずじゃ？
Ｐ,どうしてもほたるがイメージにぴったりだからって先方が。よかったな、ほたる！
ほたる,は、はいっ！
茄子,……
Ｐ,先方がいろいろな衣装を持ってきてくれるそうだ。楽しみだな
ほたる,わぁ……！本当ですか……！
Ｐ,あと……まあ大丈夫だとは思うが……遅刻とか故障とか、万が一のための心構えは
ほたる,大丈夫です……！
Ｐ,！。心強いな
ほたる,はい！だって……。それも私らしさですから
元ネタはポルノグラフィティで,君は１００％
