橘ありす,おはようございます
兵藤レナ,あら、ありすちゃんじゃない、おはよう～
ありす,橘です。……ってもしかしてそれ、ビールですか？まだ朝なのに……
レナ,ファンタグレープよ
ありす,バカにしてます？
レナ,まあまあ、いいじゃないの！百薬の長とも言うんだし
ありす,私にとっては百厄の長ですけど
レナ,つれないのね……誰のせいかしら
ありす,確かに断定できないくらい容疑者だらけではありますね
レナ,それより私も聞きたいな～、ヤカンの話！
ありす,いつからこの事務所ではヤカンがホットワードになってしまったんですか
レナ,あれ？でも、ありすちゃんがヤカンについて何時間も熱く語ってくれて……って志乃さんが
ありす,ほら早速もう厄を呼んでるじゃないですか。別に語ってませんから
レナ,残念ね……昨日の夜からずっと楽しみにしてたのに……
ありす,そんなにレナさんの人生は娯楽に欠けてるんですか？
レナ,そういえばありすちゃん、スワヒリ語が得意ってホント？
ありす,根も葉もないってレベルじゃないですね
レナ,ええ？確かに聞いたんだけど……
ありす,火のない所に煙どころか大爆発を起こされた気分です
レナ,でも外国語を使いこなせるとカッコいいと思わない？
ありす,思わないわけではないですが、確かレナさんは英語が得意じゃないんですか
レナ,そうね、とりあえずHelloYesFuckYouの3つが言えれば大丈夫よ
ありす,さらっと暴言混ぜましたよね
レナ,カジノではこの3つしか使わなかったわね
ありす,よく生きてますね
レナ,照れるわ
ありす,褒めてはいないです。断じて。少し時間がありますね
レナ,じゃあありすちゃん！このトランプでポーカーしない？
ありす,橘です。ポーカー……ですか、いいですよ。トランプが胸の谷間から出てきたことは見なかったことにします
レナ,それじゃあ配るわね。いや～UNOって言うのを忘れないようにしなきゃ！
ありす,待ってください、認識の齟齬が起きてます。重大な
レナ,あれ？やったことない？ババ抜き。合計値が21になるようにするゲームなんだけど
ありす,もうすでに4つのゲームが闇鍋状態なんですが
レナ,1度めくったカードを忘れないことがコツよね
ありす,わかりました、バカなんですね？
レナ,冗談に決まってるでしょ？
ありす,決まってないから困っているんです
レナ,あらあら、もっと信頼してくれていいのに
ありす,行けたら行くわくらいには信頼してますよ
レナ,よっしゃ！！！
ありす,口調を崩すほど？
レナ,じゃあマジックしてあげる！私に見えないように1枚カードを取って！
ありす,メンタル強度だけは称賛に値しますね。ハートのキング……
レナ,見た？
ありす,はい
レナ,じゃあ今からそのカードを、一瞬でオシリスの天空竜に変えてみせます！
ありす,待ってください
城之内,すげぇや！遊戯！
ありす,誰。隠して見た意味なかったですよね、しかもカードゲームの種類が違いますし、あと今いた人は誰ですか
レナ,ありすちゃん、花札しない？
ありす,放り投げるにしてももう少しあるでしょう
レナ,花札といえば、プロデューサーさん強いわよね～
ありす,そうですね
レナ,なぜか負けそうになるとどこかに消えちゃうし……
ありす,仕様の問題ですね。本当に謎です
レナ,仕様の問題ならしようがないわね
ありす,まさかまた言うことになるとは思いませんでしたが、実は楓さんが化けてたりします？
レナ,じゃあ108回戦で大丈夫かしら？
ありす,何で大丈夫と思ったんですか？
レナ,賭けるのはお互いの“命”よ
ありす,まさかアイドル事務所で闇のゲームに巻き込まれるとは夢にも思いませんでした
レナ,そして私は菜々ちゃんの魂も賭けるわ！
ありす,みなさん菜々さんに恨みでもあるんですか？
レナ,お金はいくら賭ける？
ありす,早苗さん呼びましょうか？
レナ,早苗さんの魂を賭けるのね？
ありす,会話が通じないってこんなにも苦痛なんですね。そういえば、花札にもイカサマってあるんですか？
レナ,もちろんあるわよ、代表的なやつだと目潰しとか
ありす,私の知っている花札よりだいぶ民度が落ちましたね
レナ,あと待った！とか
ありす,明日から勝負師を名乗らないでもらっていいですか。ってあれ、花札が机の上にあるってことは、誰かとやってたんですか？
レナ,そうよ、さっきまで加蓮ちゃんがいたの
ありす,デジャヴ
レナ,ありすちゃんが来る3秒前にレッスンに行っちゃったけどね
ありす,加蓮さんは私のことが嫌いなんですか。……でもすれ違ってないんですが
レナ,窓から
ありす,そこまで。まあこの部屋は1階ですが、だからと言って……
レナ,その際に足を負傷して病院に行ったわ
ありす,そんなだからファミコンゲームみたいなニックネームが付くんですよ
レナ,ストリートファイター？
ありす,対極
レナ,でも、それを見こした奈緒ちゃんがクッションを敷いといてくれたから、大事には至らなかったらしいわ
ありす,奈緒さんの方がよっぽどサイキックじゃないですか
レナ,せいぜい全治15か月かしら
ありす,逆にあの人にとっての大事に至るってなんなんですか。死ですか。あ、そろそろレッスンなので行きますね
レナ,窓から？
ありす,ドアからです
レナ,か～ら～の～？
ありす,この酔っ払い本当にCute属性ですか？
レナ,ちなみにこれビールじゃなくて発泡酒よ
ありす,だからセーフみたいな顔しないでください、アウトです
