本田未央,おっはようございまーす！
渋谷凛,未央！！！
未央,わっ！？どしたのしぶりん！そんな大きい声出して！
凛,どうもこうもないよ！私は怒ってるんだよ！
未央,えええ？？私、何かしちゃった？？
凛,違う！未央にじゃなくて！あの常務に！！
未央,じ、常務に……？
凛,そうだよ！今の私はまさにハングリーだよ！！
未央,しぶりんは怒ると偏差値が下がるの？。ま、まあいったん落ち着いて、何があったか話してみて？
凛,……昨日のことなんだけどさ、ライブが近いから、レッスン場で自主練してたの、1人で
未央,うんうん
凛,衣装も着て、さながら本番！って感じで何曲か踊り終わった時！あの憎し常務が来たんだよ。それで何て言ったと思う？
未央,え、何て言われたの？
凛,渋谷、本番でそんなものを見せるつもりか？今のお前からは何も見えない。鏡でよく自分を見つめるんだな……って！
未央,うわぁ……キツいね……
凛,そうでしょ？私だって別に褒められたくてやってるわけじゃないけど、あれはどうなの！
未央,まあまあ、抑えて抑えて
凛,いくら私がぴにゃこら太の着ぐるみを着てたからって、言っていいことと悪いことが……
未央,待って。え？着ぐるみ？
凛,そうだよ？あ、ぴにゃこら太知らない？あの緑の
未央,知ってるから困ってるんだよ！？。しぶりんライブで着ぐるみ着るの！？
凛,着るわけないじゃん
未央,じゃあなんで着てたのさ！？
凛,着たくなったからに決まってるでしょ？バカなの？
未央,なんでそんな好戦的なの！？そりゃ常務も怒るよ！！。むしろ常務は踊る着ぐるみを見てしぶりんだって見抜いたの！？めっちゃ有能じゃん！！！
凛,でも、本番でそんなものダンス
未央,違うよ！本番でそんなものぴにゃこら太
凛,あ、でも、確かに鏡でよく見たらちょっとゴミがついてたのを見つけたから、そこは助かったかな
未央,そこも伝わってないじゃん！もっと深い意味で言ってるよ！
凛,未央、さっきから、常務の肩を持ってない？
未央,むしろしぶりんの肩を持つ理由がないよ
凛,いいよ、じゃあ別の話もしてあげる。ちゃんと聞いててね
未央,もう私の中では話半分に聞くことが確定してるんだけど
凛,あれは、今日のように暑い日のことだったんだ……
未央,今1月だけど
凛,ﾁｯ
未央,舌打ちしたよね！？。しぶりん態度悪くない！？
凛,追い出されたんだよ！酷くない！？
未央,まあ……レッスンルームからわざわざ追い出すのは確かに……
凛,違う違う、レッスンルームじゃなくて、常務の部屋だったんだけど
未央,なんで！？
凛,いや、空いてたから
未央,そういう問題じゃないよ！事務所の中でよりによってそこ！？
凛,だから違うって、事務所じゃなくて、常務の自宅の部屋ってこと
未央,！！！？？？。そりゃ追い出されるよ！！！
凛,空いてたのに？
未央,あるいは捕まる案件だよ！？。そんでよくサビまで待ってくれたね！？
凛,聞き惚れてたのかな
未央,そのメンタルを見習いたいよ
凛,悔しかったから常務の家にピザ10枚注文してやったよ
未央,私の中のしぶりんのイメージはもうボロボロだよ
凛,そしたら社員を家に招いてピザパーティーしたらしいんだ……
未央,機転の利く上司の鑑！！！
凛,しかもポケットマネーで支払って、翌日会っても何も言わないし……
未央,常務の評価がうなぎ上りだよ
凛,と、言うわけで、常務をぎゃふんと言わせたいんだけど
未央,よく改まって言えるね！？
凛,何かいい案ないかな？
未央,史上稀にみる逆恨みだよ
凛,奈緒と加蓮も似たような反応だったんだけど
未央,良かった。その2人はまともなんだ
凛,もしかして……私のこと嫌いなの！？
未央,現在進行形でそうなりつつあるよね
凛,ごまかさないでよ！！！
未央,ぶっちゃけもう嫌いゾーンに片足を突っ込んでるからね！？
凛,未央じゃ話にならないね
未央,そのまま返したいよ……
島村卯月,おはようございます！
未央,あ！しまむー！
凛,卯月！今未央と2人で常務をけちょんけちょんにする計画を立ててるんだけど、卯月も何か案はない？
未央,私もしまむーも巻き込まないで！？
卯月,目潰しなんてどうでしょう！
未央,しまむー！？
凛,それは盲点だったな……目潰しで盲目になることと盲点がかかっている
未央,なんか死ぬほどつまらない注釈が入らなかった？
卯月,あとは脛ですね！じわじわとダメージを溜めるならローキックで決まりです！
未央,しまむーの実践的なアドバイスはなんなの！？
凛,アリだね
未央,ナシだよ！！！
凛,じゃあ、私が右足、卯月が左足を攻めて未央が隙を見て目潰し！
卯月,決まりですね！
未央,決まらないから！！あとなんで私が最も怒られそうなポジションなのさ！？
凛,リーダーだから
卯月,リーダーですから！
未央,こいつら……！！！。そもそもしまむーは常務にそんな恨みないでしょ！？流されちゃダメだって！
卯月,いえ、この前、体重管理に苦しむ私たちを尻目に、みんなでピザパーティーをしてたらしいです！許せません！
未央,その原因は目の前にいるんだよ！！
凛,ほ、本当に許せないよね……
未央,しぶりん！！
常務,失礼する。ニュージェネレーションズの3人はいるか
未央,あ！常務！こ、こんにちは！
凛,ｳｨｯｽ
卯月,ｳｨｯｽ
未央,2人共！！！
常務,構わん。楽にしろ
未央,優しっ。ど、どうかしたんですか？
常務,先月のCDの売り上げ、君たちがこの事務所で1位だったそうだ。よくやったな
未央,あ、ありがとうございます……まさか、それを言うために？
常務,部下の成功を褒めることも上司の役目だ。次も期待しているぞ。では失礼する
未央,み、短い中に称賛と激励を混ぜてスマートに去って行った……。ってか2人共！なんか言いなよ！？
凛,まあ、悪くないかな
卯月,がんばります！
未央,ちょろっ！！！？？？
