私はこの日もあくまで、,いつもの
にこ,ここ・・・なんなのよ・・・。ふぁあ！今日はいい天気ね。まさに晴天だわ。ふぅ。今日は珍しくベーコンが大量に余っちゃってたからお弁当に入れちゃおうかしら
こころ,ふぁあ。おはようございます。お姉様ぁ
ここあ,おはよー！
虎太郎,おはよぅ・・・
にこ,おはよう3人とも！相変わらずこころと、虎太郎は私と一緒で朝弱いわね
ここあ,私は元気だよ！
にこ,うふふっそうね。朝に強いのはお母さん似なのかもね。よし！ベーコンも焼けたからみんなで食べるわよ！
矢澤一家,いただきます！
こころ,お姉様、そろそろ時間ですよ！
にこ,あ、そうね！あんた達鍵お願いね！
こころ,はい！私にお任せください！
にこ,こころ、助かるわ！
こころ,行ってらっしゃいませ！
ここあ,いってらっしゃい！
虎太郎,いってらっしゃいぃ
にこ,最近まで雨が降ってたけど、今日はいい天気で良かったわ。そろそろ着きそうね。今日はかけあがろうかしら。境内が見えてきた。もうすぐで、上がりきるっ！。！？。な、なに？今の感覚・・・
？？,あれ・・・にこちゃん、おはよう・・・
にこ,えっ？この声、穂乃果？
穂乃果,えぁ？そうだよぉ・・・
にこ,なんて声出してんのよ！体調でも悪いの？
穂乃果,いつも通りだよ・・・にこちゃんこそ変だよ？
にこ,私が？どこがよ！
穂乃果,そこら辺だよ。いつもはそこまでハキハキ喋らないよ・・・
にこ,な、何よ・・・私こそ、いつも通りよ！
穂乃果,そう？ならいいよ
にこ,何よ・・・調子が悪いだけかもなのに、なんでこんなに怖いのよ
海未,あっーー！にこちゃん！穂乃果ちゃんおはよーー！！
ことり,おいっす！にこ！穂乃果！
にこ,うわぁ！？違和感ありまくりの奴らが来た！
海未,むぅ！何よぉ！にこちゃん酷いよぉ！
ことり,どう言う意味だこらぁ！！
にこ,ごめんなさい！！。何、こいつら！穂乃果といい、2人といい変よ！こんなの！
真姫,おはようにゃー！
花陽,ぐっもーにんっ！えぶりわぁん！
凛,おはようございます。皆さん
にこ,うわぁ
真姫,ちょっとぉ！何ぃ？にこっち酷いにゃーにゃにゃにゃ！
にこ,うわぁ
凛,どうしたんです？にこは
海未,私達が来た時はこうだったよぉ！
ことり,ウチらが来た時に違和感とかなんやらかんやら言ってたぞー
花陽,みーとしてみたらみすにこーが違和感よぉ！
にこ,花陽も十分へんよ！脳トロの舌足らずで英語を乱用してるからいろいろブレブレよ！
ことり,あぁん！？テメェ！かよに何言ってやがる！
にこ,すみません！。ことり怖い
凛,花陽は昔からこうでしたよ？
花陽,いえーす！うぃーあースクゥルアイドゥ！
にこ,絶対違う！こんなバカっぽくない！
ことり,テメェ！
穂乃果,ことりちゃん、落ち着いて
ことり,穂乃果！でも！
海未,落ち着くのもスクールアイドルの基本よぉん！
ことり,っち！穂乃果と海未がそう言うなら！
穂乃果,もう、昔から喧嘩っ早いんだから
海未,私たちがいなかったらどうなってたことやらー
ことり,ふん！
にこ,なにこれ、意味分かんない・・・でも、大体掴めてきたわ。ちょっとトイレ行ってくるわ
穂乃果,うん・・・
真姫,行ってくるにゃー！！
にこ,一応今ので掴めた事はケータイのメモ機能にまとめとこうかしら。こんなとこかしら。幸い、関係性は変わってないみたいだからやりやすいわ。あとは希と絵里だけね。よし、戻ろう
絵里,あれ！にこちゃんやぁ！
希,おはよう。にこ
にこ,おはよう。2人とも。うーむ。2人を入れ替えたって感じかしら
希,ごめんなさいね。私の仕事が残ってたから朝に済ましてたのよ
絵里,ウチはその手伝いやで！これでも副会長やし！
にこ,！？。ねぇ！希が生徒会長なの！？
希,えぇ。そうよ？
にこ,嘘！今まで関係性は変わりないから役職も変わらないって思ってた。希と絵里で変わってるなら私たちの役職も変わってる可能性がある。あの、私ちょっとボーとしてて教えてほしいんだけど！
希,何かしら？
にこ,アイドル研究部の部長は？
希,あなたよ
にこ,作曲は？
希,凛よ
にこ,・・・！衣装は？
希,私とことりで作ってるわ
にこ,作詞は？
希,海未よ。ってそんなこと聞いてどうするのよ
にこ,ご、ごめん。変わってるところもあれば変わってない部分もあるってところかしら
希,本当に大丈夫？キャラもなんかおかしいし
にこ,本当におかしいのはあんた達よ！
希,？
にこ,みんな、どうしたのよ！
希,・・・にこ、付いて来て。みんな！今日は私とにこは朝練休むわね
絵里,了解したで！
にこ,ちょ、ちょっと！
希,ごめんなさいね。ここから近いの、私の家だったから
にこ,あんたが構わないならいいわ。それよりどうしてこんな事に！！
希,落ち着いて。気持ちはなんとなくわかるけど
にこ,何がよ！急に変なキャラのあんた達がごちゃごちゃ言ってるのよ！？気が狂いそうだわ・・・！！
希,その説明をする
にこ,えっ・・・
希,急展開やけど許してね
にこ,本当に急展開よ！
希,まず、あなたは私たちの世界の矢澤にこじゃないわね
にこ,えっ？希たちの世界の私じゃない？
希,だってそうでしょ？私たちもあなたに違和感があり、あなたも私たちに違和感がある。そう考えるのが妥当よ。で、どうなの？
にこ,わかんない。特になにもしてないし、今日の朝、あそこに来たら変な感じになって！
希,！変な感じ？
にこ,う、うん。なんかフワァって感じ
希,・・・間違いないわ。あなたはここの世界の人間じゃない
にこ,えっ？
希,時々いるのよ。別の世界からこっちに来る人。きっかけは単純。向こうでいつもはしない事をするだけでこっちにこれるの
にこ,いつもはしないこと！？
希,えぇ。例えばテスト勉強の時いつもは掃除したくなるのに食べ物を食べたくなったって言うだけでもこっちに来た人がいたわ
にこ,いつもと違うこと？。あっ！ベーコンと階段！
希,やっぱり心当たりがあるのね
にこ,えぇ！今日の朝、いつもは残らないベーコンがいっぱい余ってたの。それにいつもは駆け上がらない階段を駆け上がったし！
希,よかった。原因がわかって
にこ,よかないわ！帰る方法がわからないと！
希,そうなのよね。それにはみんなの協力が必要よ
にこ,みんな？
希,えぇ。μ'sのみんな
にこ,なんでみんなが出てくるのよ
希,帰るためには、その人と家族以外の関係が深い人が必要なの
にこ,なるほど、ここにいる私とこっちの私と共通するのはμ'sってことね
希,そう言うこと
にこ,わけわかんない
希,そうよね。みんなそう言うわ
にこ,・・・ねぇ
希,？
にこ,ずっと気になってたんだけど。よくあるとか言ってるけど、あんたはいろんな人知ってるの？
希,えぇ。そう言うの得意だから私が気づいたらできるだけ解決できるよう努力はするよ
にこ,こっちの希もそこらへんは得意なのね
希,あら、そっちの私もそうなのね
にこ,えぇ
希,でも、私の知ってる人がこっちに来るのは初めてね。まぁここで帰る方法だけど
にこ,そうね！どうすればいいの？
希,・・・にこにとって1番簡単で1番難しい事かもしれないわ
にこ,えっ？
希,こっちの世界で何かを残して行かないといけないの
にこ,何か？
希,えぇ。前に来た人はコンサートが近いってこともあってすぐに帰れたけど、私たちはまだ1ヶ月くらい先だからね
にこ,つまり、こっちにいた記録を残すの？
希,えぇ、結果も記憶の引き継ぎで覚えてるみたい。でも入れ替わってたことは覚えてない。向こうに行った人はわからないけど
にこ,たまたま私はさっき言ってた２つのどちらかが原因で入れ替わってこっちで、記録を残さないと帰れないってことね
希,そうね。まとめたら。本当になんでもいいのよ。テストで1位をとるとか体育の授業でクラスの1番速い結果を残すとか
にこ,それは無理ね。だからラブライブしかない
希,最悪、秋のオープンキャンパスとかもあるしそこら辺まで気長に待と
にこ,そうね
希,もう！落ち込まないの！
にこ,落ち込みたくもなるわよ！知らないわけでもないのに全然違うんだもの
希,まぁそうだけど
にこ,とりあえず学校に行きましょう。そろそろ時間よ
希,そうね。行きましょう
凛,実は、作曲関係で留学する事になるかもなの
花陽,・・・ワッツ？
真姫,・・・凛っち、今言うの？
凛,2人には話してたけど、手紙が届いてどうするか迷ってる
海未,凛ちゃん、私は出来ればいてほしいかな。でも、凛ちゃんが決めることだよ
穂乃果,・・・私も海未ちゃんと同じ、かな
凛,穂乃果、海未
ことり,迷うくらいならとっとと行きやがれ！
絵里,ことりちゃん。ウチも海未ちゃんと穂乃果ちゃんと同じや
凛,ことり、絵里
にこ,あんたの才能は中々のものよ。でも、よく考えなさい
希,そうよ
凛,にこ、希
花陽,みーもでぇす。でも、みーは、贅沢を言うなら・・・
真姫,真姫もそう思うにゃ・・・
凛,花陽、真姫！。私、やめます。留学！
花陽,！？みーはそう言ってほしいわけじゃ！
凛,花陽だけの意見じゃないです。私の意見です
花陽,凛、りぃん！
にこ,・・・一件落着ね
希,にこ・・・にこは言わないの？
にこ,・・・私は。言うわ！
穂乃果,？どうしたの？
海未,どうしたのぉ？
にこ,信じられないかもだけど、私。違う世界から来たの
ことり,・・・はぁ！？
凛,でしょうね
にこ,えっ？
花陽,気づいてないの、ことりっちと海未っちと真姫っちしかいなかったでぇす
絵里,違う世界っていうより様子が変やなーと思ってたんやけど、まさか違う世界とはなぁ
海未,なんで教えてくれなかったのぉ！？
ことり,そうだ！かよはともかく！！
穂乃果,なんでよ
にこ,そうだったのね。でも、知らない人のために言うわね。私はここの世界の正反対の世界から来たの。きっかけはおそらくいつもとは違う行動をとったから。だけど、ラブライブが終わったら私は。私は帰らないといけない
のぞにこ以外,！？
真姫,にゃ！？帰るの！？
にこ,えぇ。こっちのにこはいるから安心して
真姫,真姫、にこちゃんともっといたい！
にこ,だからいるの
穂乃果,そういうことじゃないよ
にこ,えっ？
ことり,つまり、あんたで慣れたって事だよ
にこ,慣れたって・・・それじゃあ私帰れないじゃない！
ことり,でも、帰らないと行けないから贅沢は言わない
にこ,・・・
希,ラブライブまで、あと一週間ちょっと。この時までにこと思い出を残そう？
穂乃果,もちろん
ことり,早く帰ってくれないと向こうのウチ達もゆっくりできねーだろうが！
海未,そうだよぉ！海未が無効に行くまでにむぎゅむぎゅするよぉ！
凛,今受けた恩、この一週間で存分に返す
真姫,にゃあ！テンション上がるにゃあ！！
花陽,いっつぱーりない！
絵里,良かったやん！にこ！
海未,にこちゃんとプリクラきたよ！
真姫,にゃーんにゃーんにゃーん！
にこ,このメンツでプリクラ来るなんてほぼ100%無いわね
真姫,そうなの！？じゃあいっぱいとろーね！
にこ,え、えぇ
プリクラ,抱きつきながら撮るよ！
うみまき,にこちゃんぎゅー！
にこ,！？
プリクラ,お絵描きタイムだよ！
真姫,よぉし！かこかこ！
海未,おぉー！
にこ,寿命が減っていく
海未,ねーねー！次はカラオケいこー！
真姫,うん！ジュースいっぱい飲むー！
海未,歌もいっぱい歌うー！
にこ,どこにそんな体力が
海未,楽しかった！
真姫,また遊ぼーね！
にこ,・・・えぇ
穂乃果,図書館、行こ
凛,ちょうど良かった。作曲の本見たかったから私も付いて行っていい？
穂乃果,うん。もちろん
にこ,まさかこの2人から図書館に行くって出るとは。そして行くとは
凛,どう言う意味ですか
穂乃果,まぁまぁ、早く行こ
にこ,本当に図書館に行くだけだった
凛,でも、楽しかったですよ。にこにアイドルの曲のアドバイスも助かりました
穂乃果,流石先輩ね
にこ,えぇ。こう見えて先輩よ
穂乃果,わかってるよ。こう見えてあなたのこと尊敬してますから
凛,もちろん私も
にこ,・・・！
ことり,っち！もっと早く言ってくれたら場所、用意したのによぉ！
花陽,落ち着いてくださぁい！みすことーりー！
ことり,かよが言うなら！
花陽,いっつかふぇてりあにいきましょー！
にこ,えっ？学校の？
花陽,じゃなくて！かふぇでぇす！
