メアリー・コクラン,グッドモーニン！
安部菜々,あ、メアリーちゃん、おはようございます！
メアリー,ナナ！オハヨ！いるのはナナだけなノ？
菜々,はい！さっきまで加蓮ちゃんがいたんですけど、たった今行っちゃいました
メアリー,病院に？
菜々,連想が失礼すぎじゃないですか！？。違います！レッスンにですよ！
メアリー,冗談ヨ！
菜々,わかりにくいですよぅ……
メアリー,そうだ！カレンといえば、こんなウワサを聞いたワ！
菜々,？
メアリー,最近、健康のためにランニングを始めたらしいノ！
菜々,へぇ～、いいことですね！体力が不安だっていつも言ってましたし
メアリー,毎日50km！
菜々,50km！？。もはやアイドルじゃなくてアスリートじゃないですか！
メアリー,そのせいで寝不足みたいネ……
菜々,それ本末転倒ですよ！？
メアリー,最近では3時間を切ったらしいワ！
菜々,やっぱりアスリートじゃないですか！？何が加蓮ちゃんにそこまでさせるんですか！？
メアリー,確かにそう聞いたんだけド……
菜々,聞き間違いであってほしいです……
メアリー,次の仕事はトライアスロンだ！って……
菜々,加蓮ちゃんは事務所の怒りでも買ってしまったんですか！？。ちなみにメアリーちゃんはトライアスロンって何だかわかりますか？
メアリー,バカにしないでほしいワ！この前聞いたもの！
菜々,ご、ごめんなさい……
メアリー,スイム・ラン・セグウェイでショ！
菜々,なんで最後に楽をしちゃったんですか！？
メアリー,違うノ？
菜々,もう1つはバイク！自転車です！セグウェイのレースなんて見てどうするんですか！？
メアリー,休憩？
菜々,せっかくの緊張感が台無しですよぉ！！
メアリー,でも、トライアスロンもイツキとかヨーコならできそうネ！
菜々,そうですねー、でも、相当の体力がないと辛いと思いますよ？
メアリー,世界レベルくらい！？
菜々,何でその例えなんですか……？
メアリー,そういえばヘレンは水の上を歩けるって聞いたワ！
菜々,そんなわけないじゃないですか！？
メアリー,本当にそう言い切れる……？
菜々,うっ……
メアリー,“ヘレンならできそう”って思ってないノ……？
菜々,ううっ……
メアリー,“ヘレンなら空も飛べそう”って思わないノ……？
菜々,う……っていやそれは流石にないですから！！！
メアリー,夢がないのネ！
菜々,ヘレンさんが空を飛んで来たら夢どころか悪夢ですよ……
メアリー,悪夢といえば、ユキミは怖い夢を見た次の日は、ずっとミクにくっついてるらしいワ！
菜々,そうなんですか？ふふふ、可愛いですね
メアリー,あと、ノアが怖い夢を見た次の日は、ミクのお弁当が焼き魚になるらしいワ！
菜々,やつあたりじゃないですか！！可哀想！！
メアリー,でもミクもネコなのにサカナが食べれないなんて面白いわネ
菜々,まあ……誰にでも好き嫌いはありますからね
メアリー,カエデも、“お酒はニガテで怖いから差し入れとかやめて”って言ってたワ！いつも飲んでる気がするんだけど……
菜々,それ罠です
メアリー,カオルとニナに
菜々,見境なしですか！？
メアリー,ナナはお酒は飲まないノ？
菜々,な、ナナは17歳ですから！飲まない以前に飲めませんし！
メアリー,ナナの肌はもうミソジって聞いたわヨ？
菜々,肌！？普通に三十路と言われるよりダメージが大きいんですけど！！
メアリー,アタシとしては、歳が上に見られる方が羨ましいワ
菜々,ナナにもそんな時期があったんですけどね……
メアリー,大丈夫ヨ！ナナはちゃんとまるで17歳かのように見えているワ！安心して！
菜々,ほらもう言い回しが意味深じゃないですか！！！
メアリー,でも、ホナミも年上に見られて困るって言ってたわネ
菜々,ああ、保奈美ちゃんは大人びていますからね
メアリー,セツナも言ってたワ！
菜々,メイク上手いですもんね
メアリー,それに比べてタマミ(笑)とワカバ(笑)は
菜々,なんで煽るんですか！？
メアリー,ま、アタシも他人のことは言えないから頑張らなきゃネ！
菜々,メアリーちゃんならすぐに大きくなれますよ
メアリー,御心遣い至極感謝致す
菜々,急にどうしたんですか！？
メアリー,冗談ヨ！
菜々,冗談を免罪符に好き勝手するのやめてください！！
メアリー,あれ？こう言えば何をしても許されるって聞いたのニ？
菜々,知識の偏りが悪趣味ですよ！？
メアリー,最悪、“カワイイ！”って連呼してればどうにかなるって……
菜々,それでどうにかなるのは１人だけです！
メアリー,でもこの事務所のミンナは本当にカワイイワ！来てビックリしちゃった！
菜々,そうですねぇ、いろいろな娘がいますけど、みんなかわいいですよね
メアリー,でも、一番はもちろんアタシネ！
菜々,ふふ、ナナだって負けてませんよぉ
メアリー,それはないですね
菜々,！？
メアリー,冗談ヨ！
菜々,それやめてって15秒前に言ったじゃないですか！！！
メアリー,お笑いの基本はテンドンって聞いたワ！
菜々,それを偏ってるって言うんですよ！！！
メアリー,アタシ、テンドンって食べたことないノ！今度食べに行かない？
菜々,あ、食べ物の方の話ですか、もちろんいいですよ！
メアリー,ワオ！嬉しいワ！聞いた話だと、他の食べ物がゴミに見えるくらいオイシイとか！
菜々,その高すぎるハードルは必要ですか！？
メアリー,一度食べると中毒になって依存するとか！
菜々,言葉選びが全体的に危ない！！！
メアリー,タバコも一度吸うとやめられないって聞くわよネ
菜々,そうですね……まあそもそもアイドルにタバコはNGですから
メアリー,お酒もやめられないってミンナ言ってるワ！
菜々,11歳にその声が届くのはあまり良くないですね……
メアリー,飲みすぎるとどうなっちゃうノ？
菜々,飲みすぎると死んじゃうこともあるんですよ！
メアリー,カレンが！？
菜々,言ってないです！とばっちりじゃないですか！！
メアリー,あとは？
菜々,あと、酔って暴れたりしちゃうと、警察につかまっちゃうかもしれません！
メアリー,サナエは警察なのにいつも
菜々,こ、この話はやめましょう！！！！！
メアリー,そういえば、ウサミン星の警察はみんなチェーンソーを持ってるって本当？
菜々,チェーンソー！？怖っ！！！そんなわけないじゃないですか！世界観ぶち壊しですよ！？
メアリー,あれ？でも、“疑わしきは真っ二つ”が信条だって聞いたのニ……
