島村卯月,みなさんこんにちは！島村卯月です！
卯月,突然ですが、みなさんに謝らなければいけません……。前回の最後に次回は宮本フレデリカさんと一ノ瀬志希さんがゲストです！と言ったんですが……。なんと予告の段階で、BPOから放送倫理違反との通告を受けてしまいました！。よって、今回は何の面白みもないゲストに来ていただいてます！。お２人とも、自己紹介をどうぞ！
神谷奈緒,なんだよその紹介は！！！！！
藤居朋,失礼すぎるでしょ！！？？
卯月,というわけで、ゲストの神谷奈緒ちゃんと、藤居朋さんでーす！
奈緒,今のは自己紹介じゃなくてツッコミだからな！？
卯月,奈緒ちゃんは２回連続ですね！
奈緒,……もしかしてあたし、レギュラーなのか！？
卯月,……。そして初登場！朋さんです！
奈緒,答えろ！！！
朋,よ、よろしくね？
卯月,はい！せいぜい頑張ってください！
奈緒,口悪くないか！？
卯月,では最初の説、行っちゃっていいですか？いいんです！！！
朋,それはどういう反応待ちなの？
卯月,プレゼンターさーん！どうぞー！
橘ありす,こんにちは
卯月,橘ありすちゃんでーす！
ありす,……
卯月,あれ？どうかしましたか？
ありす,あの……、奈緒さんはレギュラーだとして、もう１人のゲストが“未央さん→朋さん”ってことは……。来週はもしかして、私……ですか……？
卯月,……。ではありすちゃん、説の発表をよろしくお願いします！
ありす,答えてください！！！
朋,都合悪いとすぐ黙るわね
ありす,ま、まあいいです。私の説はこちらです
朋&奈緒,ああ～……
卯月,いくら賭けます？
奈緒,未央がいない時に限って卯月がキレッキレなのどうにかならないのか？
ありす,未央さんがいても止まるとは思えませんが。文香さん、本当に読書中は集中してるんです。周りで騒いでも全然聞こえてないみたいで……
奈緒,確かにそうだな……。それこそ肩でも叩かなきゃ話しかけても反応ないし
朋,うんうん、すごいよね
ありす,それを検証していただいたみたいなので、VTRをどうぞ
奈緒,ここのスタッフは悪ふざけをするのが不安だけど
朋,まあ、これくらいは……
朋&奈緒&ありす,初手で！！！？？？
朋,どうみてもラスボスでしょ！？
奈緒,ここのスタッフは頭がおかしいのか！？。おいおいマジか……！
卯月,鼓膜が破れているんでしょうか？
ありす,卯月さん！。そこでボリュームを下げるというアイデアにはならないんですね
奈緒,ってかこれもう終わりだろ？これ以上とか人間界には存在しない音になるぞ？
朋,そういう攻め方！？
奈緒,気になるけども！！！。……ヤバいちょっとドキドキしてきた
朋,わかる……
ありす,なんなんですかこの光景
奈緒,シュール極まりないな。もはや趣旨はなんなんだ！！！
卯月,あはははははははは！！！！
朋,卯月ちゃんのツボはどこ！？。！？
ありす,大声系でダメだとわかってからの変化球攻めがロクでもないですね
奈緒,でもあたしならけっこう狼狽えるぞこれ
ありす,！！！
奈緒,今チラ見した！すげえ！
朋,チラ見！！！
ありす,チラ見しました！！！
３人,チラ見！チラ見！
卯月,というわけで、結論はこちら！
ありす,もう何の検証だったのか忘れましたよ……
奈緒,１つ目でこんなに頭がおかしくなるとは思わなかった
朋,……え！？今日３本立てなの！？
卯月,では、次のプレゼンターさん、お願いします！
五十嵐響子,こんにちは！
卯月,五十嵐響子ちゃんです！
奈緒,よろしくな
響子,はい！。私が持ってきた説は、こちらです！
奈緒,ああ～……！
朋,なるほど……
響子,この前、桃華ちゃんがコンビニに行ったことがないって言ってたので、一緒に行ったんです
奈緒,12年間で0回って相当だよな
卯月,コンビニを買っちゃえばいいと思います
奈緒,何がいいんだよ
響子,そうしたらお、お弁当が500円！？こ、このケーキは300円！？どうなっているんですの！？って言ってて……
朋,ちょっと不安になるわね
響子,はい……、ですから、今回はスタッフさんが確かめてくれたそうです！
奈緒,もうスタッフへの信頼は地に落ちてるけどな
卯月,VTR、どうぞ！
響子,い、言いたかったのに……！
今回は、,事務所でカレーを作りたいから、メモに書いてある材料を買ってきてほしい
奈緒,ホント無駄に考えてあるよな
櫻井桃華,～♪
桃華,大人のレディーとして、おつかいくらいなんてことないですわ！。えっと、最初は……
ニンジン3本：400円,相場200円の2倍
桃華,ありましたわ！。次は……
奈緒,ま、まあ、このくらいはな？
玉ねぎ4個：720円,相場180円の4倍
桃華,玉ねぎはニンジンに比べて高いんですのね……。勉強になりますわ……
奈緒,スタッフもちょっとは胸を痛めろよ
じゃがいも4個：1600円,相場200円の8倍
桃華,……！？
朋,これ値段で見ると異常事態よ！？
桃華,や、野菜にはこんなにも格差が……！？。明日からじゃがいもには敬意を持つ必要がありそうですわね……
響子,なんかよくわからない決意を固めてません！？
カレールー：3200円,相場200円の16倍
桃華,！！！？？？。こ、これは流石に高すぎるのではないでしょうか……！？。い、いえ、ここで買えませんでしたと帰っては一生の恥……！。それに、ルーが無ければカレーは作れない……。それゆえの強気な価格設定……！。そう！これは経営戦略に違いないのですわね！！！
響子,深読みを始めちゃいましたよ！？
奈緒,マジでスタッフは後で謝っとけよ
桃華,ラストはデザートのプリン……
プリン3個セット：4800円,相場の32倍
卯月,はははははははは！！！
奈緒,もうお前黙ってろ！！！
桃華,……。……
奈緒,お？。ひらがなの悪意。オチに使うな！！！
卯月,次がラストの説になります！
朋,帰りたい
奈緒,スタッフがヘラヘラしてるのホント腹立つな
卯月,プレゼンターさーん！どうぞ！
椎名法子,はーい！
卯月,椎名法子ちゃんでーす！
法子,よろしくおねがいしまーす！。あたしの説はこれ！
