藤居朋,２人とも、おまたせー！ごめんね、午前の撮影が長引いちゃって
緒方智絵里,あ、朋さん！大丈夫ですよ！私たちも今来たところですって言うつもりなので！
朋,その本音の部分は隠してほしかったな
白菊ほたる,プロデューサーさんがさっきまでいたんですが、入れ違いになってしまいましたね
朋,あ、そうなんだ。えっと、何についてのミーティングをするのかっていう指示はもらったの？
智絵里,たぶん！
朋,なんで他人事！？
ほたる,なんと、常務から直々に指示書が来てるんです
朋,え！？常務から！？
智絵里,ほたるちゃん、読んでもらっていい？
ほたる,はい。拝啓、藤井、尾形、氏羅菊の３名
朋,……なんかおかしくなかった？
ほたる,春の日差しが心地よく感じられる今日このごろ……
朋,そういうの飛ばしちゃって
ほたる,近くの道ではつくしも顔を出し、春の訪れを感じて……
朋,早く本題に入って！！！
ほたる,そろそろ藤居が“早く本題に入って！！！”と言うだろうから本題に移る
朋,思考回路を読まないで！！！！！
ほたる,最近よく３人の仕事依頼が来るからユニット名を考えておいてほしい。以上だ
朋,終わり！？結局前置きの方が長かったけど！？
智絵里,プロデューサーさんが言うには、ユニットでCDデビューの企画も進行中らしいですっ！
朋,CDデビュー……！な、なんか来るとこまで来たわね……
智絵里,CDに何を付ければ売れるんでしょうか？握手券？投票券？
朋,デビューから巻き上げにかかるの！？。……
ほたる,どうかしましたか？
朋,いや……、２人とも、ありがとね
智絵里&ほたる,？
朋,ううん、あたし1人じゃ、お仕事とか全然もらえなかっただろうし……。ましてラジオとか、テレビとか、今度はCDまで……。ホントに２人のおかげだと思うの……
智絵里,遺言ですか？
朋,智絵里ちゃん！！！
ほたる,……それは、スタートラインに立つまでの話だと思います
朋,え？
ほたる,そこから人気になって、いろいろなお仕事をもらっているのは、ちゃんと朋さんの魅力がみなさんに届いたからですよ……！胸を張ってください！
朋,ほたるちゃん……
智絵里,張る胸があるのかはまた別の話ですよっ！元気出してください！
朋,緒方ァ！！！。19。163
智絵里,79。さて、ユニット名を決めましょう！
朋,どんなメンタルしてるの？
ほたる,智絵里さんは、朋さんにいきなり感謝されて照れてるんですよ
朋,そ、そうなの？
智絵里,ほたるちゃん、夜道に気をつけてね
朋,また！？
ほたる,今度は成功するといいですね
朋,前科アリ！？。でも、ユニット名っていきなり言われてもね……。何か、アイデアある？
智絵里,カワイイ朋さんと不運な仲間たち……
ほたる,頼れる朋さんと不幸な仲間たち……
朋,すでにイヤな予感すごい。な、なにか、共通点から考えるのがいいと思うな！
智絵里,植木鉢……
ほたる,植木鉢……
朋,まずそれ！？
智絵里,植木鉢ing……
ほたる,植木鉢キセキ……
智絵里,植木鉢アイランド……
ほたる,植木鉢デビュー！……
朋,植木鉢から離れて！！！。イヤよ！植木鉢推しのアイドルなんて！！！しかも使用用途おかしいし！！！
智絵里,インパクトはありますよ？
朋,インパクトしかないのよ！！！
ほたる,毎回、歌のどこかで植木鉢が砕ける音が入るんですね
朋,楽器の一部として扱わないで！！！
ほたる,私くらいになると、音からメーカーを割り出せますよ……！
朋,ビックリするくらい羨ましくないわ
渋谷凛,お困りのようだね
朋,り、凛ちゃん！！！
ほたる,凛さん！
智絵里,プリンセスブルー笑
朋,煽らないの
凛,こういうアイデアは、案外周りで見ている第三者の方が浮かぶものなんだよ
朋,言ってることはマトモなのに
凛,そして、この３人の中心は朋であることは間違いない……。それを踏まえて、私の案はこれ！
朋,……ぜ、絶妙にダサい！！！
智絵里,却下で
ほたる,理由を聞いてから却下しましょう？
朋,却下が前提は失礼だけどね。えっと、この“ダブルムーン”は、あたし？
凛,もちろん。朋って字を分解したんだ
朋,それで……、“サファイア”はどこから？
凛,私の趣味
朋,私情！？
本田未央,しぶりん！！！
朋,未央ちゃん！
凛,あ、未央
未央,あじゃないよ！！！人様に迷惑かけて！！！
凛,そんな引っ張らないでって
未央,ごめんね３人とも！失礼しました！
朋,……
ほたる,私が不幸なせいであんな……
朋,そのセリフが一番失礼よ？。えっと……、どこまで話したっけ？
ほたる,確か……
宮本フレデリカ,やっほー☆フレちゃんだよー！
朋,また！？
智絵里,警察呼びますよ？
朋,そこまでではないけどね！？
フレデリカ,助けを呼ぶ声が聞こえたからさんじょーしたんだよ！
ほたる,私が不幸なせいでこんな……
朋,とうとう本人の前で！？
フレデリカ,フレちゃんの溢れるセンスに恐れおのののののくがいい！
朋,多い
フレデリカ,マンハッタン仕込みのワザを見せちゃうよ！
朋,フランスじゃないの！？
ほたる,本当にツッコミうまいなあ……
フレデリカ,そんなフレちゃんのアイデアはこれ！
朋,おお～……？
智絵里,響き“は”悪くないですねっ
ほたる,どういう意味なんですか？
フレデリカ,まず“ヴィフ”は、“生き生きとした”って意味でー！
朋,うんうん。サフィールは？
フレデリカ,サファイヤ！
朋,またかよ！！！！この事務所の蒼推しはなんなの！？
フレデリカ,ダメかなー？
朋,せっかく割とカッコいいと思ったのに！
