藤居朋,あれー？ほたるちゃん、遅いね……？
緒方智絵里,はい……。せっかく、ユニットとしての初レッスンの日なのに……
朋,うーん……、何かあったのかな？
智絵里,昨日、夜道を襲った時は元気だったんですけど……
朋,またやったの！？
智絵里,まだ芳しい成果は得られてなくて……。ごめんなさいっ
朋,謝る内容も相手も的外れなんだけど
智絵里,電話、してみましょうか？
朋,前日襲った相手に普通に電話するってメンタルエグイわね
白菊ほたる,おはよう……ござい……ます……
朋,あ！ウワサをすれば……って、だ、大丈夫！？
智絵里,週末の楓さんみたいな顔の赤さと足取りの怪しさだねっ
朋,例え方
ほたる,遅れて……すみません……さあ、レッスンに……
朋,いやいやいやいや！ダメでしょ！
智絵里,ちょっとおでこ……あ、熱い……！
朋,た、体温計！
ほたる,……
朋,、58度！？
智絵里,あ、昨日、ダッシュ後の茜ちゃんが使ってたので、それで壊れたのかもしれません
朋,茜ちゃん！！！。べ、別のやつ！
ほたる,……
朋,42度……！
智絵里,人間のたんぱく質の限界って聞いたことがあります……
朋,ほたるちゃん！今日は帰ろう！トレーナーさんには言っておくから！
ほたる,だ、大丈夫……です……YO……
朋,そういうのいいから！
智絵里,お前はガス欠！それゆえ発熱！。今すぐ布団へ絶対安静！。家まで送るぜ責任持って！
朋,ほらなんかDJが目覚めちゃった！！！。っていうか病院行った方がいいわよね！？
ほたる,いえ……、だいたい、翌日には……治るので……
朋,外傷にだけでなく免疫も強いの！？
ほたる,病気に
朋,世紀末みたいな体内じゃない……。はい……、ほたるちゃんが体調を……、はい……では中止で……。わかりました。レッスン、中止にしてもらったから！じゃあ寮まで送るね？肩貸すよ！
ほたる,ご迷惑を……おかけしまむら
朋,大丈夫！？
智絵里,熱で頭がやられたのかな？
朋,智絵里ちゃん！！
ほたる,40度までなら……悟られずに……レッスンできるんですけど……
朋,それはさすがに言わなきゃ……。って、ほたるちゃんに肩を貸してるってことは、あたしにも植木鉢が落ちてきて当たるかも……！？。嗚呼……あたしも遂に植木鉢デビュー！。……。……なんて、ちょっと失礼だったかな
智絵里,その時、空から不思議な植木鉢が落ちてきたのです
朋,心を読んだ上でユーモアあふれるコメント出すのやめて！！！
智絵里,落としたのは
朋,智絵里ちゃん！！
ほたる,
朋,ほたるちゃん！！！！！
ほたる,ちょっと……すっきり……したかも……
朋,植木鉢は治療法か何かなの！？
智絵里,あと5発くらい当たれば治るかな？
朋,故意に当てるものではないから！
ほたる,どうぞ……
朋,お邪魔します
