関裕美,はぁ……
裕美,今日も“怒ってる？”って聞かれちゃった……。笑顔って難しいな……
難波笑美,お疲れさん～
野々村そら,はろー！そらちんのさんじょーだよー！
裕美,あ！そらさん、笑美さん、お疲れさま
そら,おつかれさまー！……あれ？裕美ちゃん、ちょっと元気なっしんー？
笑美,ホンマに？なんかあったん？
裕美,あ……、うん、実は……
笑美,それはひっどい話やな！裕美はんはこんなにキュートやっちゅうんに！
裕美,笑美さん……、ありがとう
そら,うんうん！で、そのスタッフにふくしゅーするってことでいいのかな！
笑美,いやいやいや
裕美,そらさん……、ありがとう
笑美,ホンマに！？。ちゃうやろ！？ここは“笑顔の練習がしたくて……”ってなるパターンやろ！？
そら,今日はべりーべりーほっと！
笑美,聞けや！！！
裕美,あ、そらさん……、シュシュ、新しいね
笑美,聞けやぁ！！！。そもそも裕美はんの話題やったはずやん！
裕美,どうすれば素敵な笑顔ができるんだろう……？
笑美,なんで当然のように戻ったん
そら,じゃあ、あたしと笑美ちゃんが笑わせてあげる！
裕美,え……？いいの？
そら,もっちろん☆ね？笑美ちゃん？
笑美,ま、まあしゃーないな！笑いの伝道師の実力を見せたる！
裕美,わぁ……！そんじょそこらの芸人より数十倍は面白いと話題沸騰の笑美ちゃんそらちゃんの漫才が本当に見れるんだ……！
笑美,待ってなんなんそのハードルの高さ
そら,笑いすぎてしんじゃわないよーに気をつけるんだなー！
笑美,さらに上げるなや！！！。あ、漫才にしてもコントにしても、“こういうのが見たい”っていう感じのあるん？
裕美,コント：密漁
笑美,密漁！？難易度おかしない！？
そら,ここがでんせつの海岸……
笑美,普通に始めんといて！
そら,今日はまぼろしのアユを獲りにきたのだー！
笑美,川魚やん！？なんで海に来ちゃったん！？
裕美,そこの人、こんな所で何をしてるの！
笑美,裕美はん参加するん！？！？！？。おかしいやん！裕美はんは客やなかったんか！？
そら,やべっ！過去に事件で家族を失いこの世から悪をなくそうと警官になるも事件とはあまり関わらない部署の配属となり自分は何のために警官になったんだろうと悩みがちな日々を送るサツだっ！れっつえすけーぷ！
笑美,設定重いな！ほんでよく見抜いたな！！！
裕美,くっ……幼いころ亡くした母のよく作ってくれた鮎の塩焼きの味が忘れられずに全国各地でアユの密漁を続ける大泥棒を今日も捕まえられなかった……
笑美,だから設定重いな！！！。５年後！？場面転換もうちょっとどうにかならんかった！？
そら,ここが伝説のライオンがしゅつげんする草原……
笑美,この５年で何があったん！？アユは！？密漁から密猟になっとるがな！！！
裕美,４キロ東で目撃証言！移動しよう！
そら,あいあいさー！
笑美,手ぇ組んどる！？！？。なんなん！？さっきからこのコントは何が面白いん！？
裕美,あはははははははは！
笑美,爆笑しとる！！！
裕美,笑いの伝道師って……！
笑美,今さらそこかい！！！
そら,今のこんと、何点だったかな！？
笑美,参加してた裕美はんに聞いても……
裕美,１８点
笑美,辛口
裕美,テーマがニッチすぎるんじゃないかな……
そら,だってさ！
笑美,リクエストしたの裕美はんやん……
そら,次のお題はー？
裕美,コント：主要７か国首脳会議
笑美,笑いにしにくいな！！！
そら,これよりさみっとを開催するー！
笑美,その順応性はどうなってるん！？
そら,すとっぷ！かんきょーはかい！
笑美,まあ、大事な議題やな
裕美,ボンジョルノ！
笑美,なんでイタリアのポジションに！？
そら,無罪！！！
笑美,会議と裁判が混ざっとる！！！
裕美,ボンジョールノ
笑美,それ以外知らんなら無理して喋るなや！！！
そら,こくさいじょーせー？は、どうなのかなっ！
笑美,わからんなら無理して話さんでも……
裕美,人間がいる限り争いはなくならないよ
笑美,裕美はん！？
そら,所詮人間とは愚かな種族……
笑美,急にどうしたん！？！？
そら,今のこんとは何点ー！？
裕美,１３点
笑美,一番楽しんどったのに！？
裕美,さすがに政治ネタはちょっとね……
笑美,決めた張本人やろ！！！
そら,えんじょいねくすとー！
笑美,これどこに向かっててん……？
裕美,コント：お前からのLINEの通知のせいでTulipフルコン逃したんだけど
笑美,知るか！！！
そら,え？まだふるこんぼできてないのー？笑
笑美,煽るなや！！！
裕美,コント：裕美と笑美ってパッと見どっちが喋ってるかわかんなくなるよね
笑美,何言っとるん！？。タイトルオチやめーや！
裕美,じゃあ、漫才が見たいな……！
笑美,さっきからずっと漫才な気もすんねんけどなあ……
そら,はいどーもー！そらちんでーす！
笑美,笑美でーす！
裕美,８点
笑美,ダメ出し早ない！？。まだ最初の最初やん！！！
裕美,今後のご活躍をお祈りするね
笑美,そのフレーズわりと刺さる人おるんやから！
そら,次は１５点は取れるよー！どんうぉーりー！
笑美,最初のハードルの高さはどこに消えたん
裕美,実は500点満点でしたなんて言えないよ……
笑美,ダダ漏れや！！！。ってか普通に笑えとるやん！もう大丈夫やって！
裕美,今は無理してるから
笑美,聞きたくなかったあああ！！！！！
裕美,早く帰って筋トレしたいな……
笑美,誰なん！？方向性どうなってるん！？
そら,という夢だったのさー！
笑美,夢落ちはアカン！！！
裕美,ありがとう2人共。おかげで元気出たよ……！
そら,つらくなったらいつでも言っちゃうべきだよー！
笑美,え？いい雰囲気で終わらすん？正気？
裕美,次はもっと、死ぬほど、何十倍も、何百倍も面白いやり取りが見れるんだよね？
笑美,なんかウチらに恨みでもあるんか！？
裕美,また明日！
笑美,さわやかに言われても……
裕美,コント：“また明日”って言った後に鉢合わせると妙に気まずいよね
笑美,知るか！！！！！
