本田未央,おっはよー！
渋谷凛,あ、未央、おはよう……
未央,お、さすがのしぶりんも緊張してる？ま、今日は大事な日だもんね……
凛,当然でしょ？なんたって今日は……
未央,うんうん
凛,伊勢志摩サミットの開催日なんだから
未央,ごめん違った。待って！前回もこんな流れじゃなかった！？
凛,え？洞爺湖の時？
未央,そっちの前回ではなくって！
凛,ふふ、今回も未央を試したんだ
未央,私のこと嫌いなの？
凛,友達以上、家畜以下かな
未央,しぶりんの中のピラミッドはどういう構造なの？逆三角形？
凛,ごめんごめん、間違えた。正しくは、友達以上オベリスクの巨神兵以下かな
未央,なんでヒエラルキーの頂点に神のカードがあるの！？海馬なの！？。もう！今日は総選挙の結果発表の日でしょ！？
凛,知ってるよ！
未央,急に強気だね！？
凛,中間発表を見ちゃうとさ、やっぱり期待しちゃうよね
未央,う～ん……。あんまり触れてはこなかったけど、まぁそうだよね……
凛,乃々は喋るのかなって
未央,そこ！？いや、それもそうだけど、ニュージェネとしてはさ！あるじゃん！
凛,ああ、SnowWingsの売り上げ？
未央,総選挙の話って言ってるのに！！！。そうじゃなくて！しまむーだよ！
凛,そんなことより卯月でしょ！？
未央,なんで聞こえてないの！！！１秒前に耳に届いてるはずなのに！！！
凛,切り替えて
未央,よく言うよ
凛,というわけで、卯月が１位になった時のために、お祝いを考えておかなきゃ
未央,ええ……そういうの、フラグになっちゃう気がするんだけど……
凛,じゃあ未央は“卯月程度のアイドルに１位が取れるはずがない。１位には私こそがふさわしい。本当に馬鹿げた選挙だ”って言いたいんだ
未央,非道極まりないな！？９割脚色じゃん！！！
凛,残りの３割は真実なの？
未央,せめて誤差は１割以下にしてほしかったよ
凛,じゃ、卯月が喜びそうなことを考えようか
未央,前回もこういう流れだったよね……
凛,でね、１つ、プレゼントの候補を考えてあるんだ
未央,……一応聞くけど、どんなやつ？
凛,油田
未央,規模。まさかこの短期間でまた漢字２文字のツッコミをすることになるなんて！
凛,ギャル
未央,え？
凛,ギャル
未央,……どしたの？
凛,ここは曽根でしょ！？
未央,そんなんわかるか！！！。バカ！しぶりんのバカ！
凛,バカって言われた方がバカなんだよ！
未央,それじゃあやっぱりしぶりんがバカになっちゃうよ！？
凛,騙したの！？
未央,完全な一人相撲だよ！！！
凛,月に替わってお仕置きするから覚えといてね
未央,こっちの思考回路はショート寸前だよ！
凛,誰かさんのせいで会話が横道にそれちゃったじゃん
未央,鏡ならあるけど？
凛,30円！
未央,人の鏡でオークションを始めないでくれないかな？
凛,65535円！
未央,なんでバグったの！？。ってかしぶりん、せっかくなんだから花束を用意すればいいじゃん
凛,もちろん、既に手配してあるよ
未央,おお！どんな花？
凛,コチョウラン、アルストロメリア、ガーベラ、ダッポウハーブとかかな
未央,なんか紛れてるよ！？
凛,ちなみに、２位だった時のための花束も考えてあって
未央,一応聞くけど……
凛,仏花
未央,台無しだよ
凛,３位だとツクシ３本
未央,花束の話だったはずなんだけど！？
凛,４位ならタワシでいいや
未央,あげない方がマシだからね！？
凛,もう、未央は文句ばっかりだね
未央,私だってこんなに喉を酷使したくはないんだよ
凛,じゃあ未央なら何をあげるの？別荘？
未央,もはや規模ってツッコミ待ってるでしょ！？。一生に一度の機会だし、なにかずっと残るモノをあげたいよね
凛,なるほど、つまり“あんなやつに２連覇は不可能だ。来年からは私が優勝を独占し続けてやるさ。ガハハハハ”って言いたいんだ
未央,さっきからその捻じ曲がった解釈はなんなの！？悪質なメディアみたいになってるじゃん！
凛,“ガハハハハ”については
未央,スルーしたんだから掘り返すな！！！。ぬいぐるみとかどうかな？しまむー、喜ぶと思うんだけど
凛,いいね。何こら太にする？
未央,選択肢の狭さ
凛,等身大・常務人形もいいんじゃないのかな
未央,それはどういう目論見で開発したの！？
凛,今度の常務は選べる３サイズ！1.0倍、1.5倍、2.0倍からお好きな常務を！
未央,なんで大きくなっていくのさ！？。そうじゃなくて！普通にクマさんとか！
凛,ウサちゃんとか？
未央,そうそう！
凛,ウサミンとか？
未央,よくもまあそこまでいろんな人を巻き込むよね
凛,シークレットレア！腰を痛めているウサミン
未央,やめろ！！！
凛,逆にさ、私たち２人で料理を振る舞うっていうのはどうかな
未央,あ～、なるほど！それもいいかもね
凛,未央、何か得意料理はある？
未央,家庭料理なら多少は作れるけど……。しぶりんは得意な料理ある？
凛,バーべ
未央,バーベキュー以外
凛,……
未央,……
凛,ビーフガノンドロフ
未央,ストロガノフでしょ！？。よしんばストロガノフって言えたとしても、絶対ウソでしょ
凛,決まってるじゃん
未央,ちょっとは抵抗してほしかったな……
凛,あれ？卯月って嫌いな食べ物あったっけ？
未央,え？うーん……あまり印象はないけど……
凛,ファイナルアンサー？
未央,もうノリについていけないよ
凛,まだ“75:25”は残ってるよ
未央,50:50じゃないの！？効果薄くない！？
凛,選択肢が１つに絞られます！
未央,消えるのが75かよ！！！
島村卯月,正解はなんでも食べるよでしたー！
未央,わっっ！！！しまむー！？
凛,卯月、おめでとう
未央,まだ結果出てないから！！！
卯月,ありがとうございます！私の計算だと、1066036～1066038票くらいで1位だと思います！
未央,細かっ！？もはや集計側の人間じゃないの！？
卯月,簿記１級、税理士、1級建築士の私にかかれば余裕です！
未央,ここぞとばかりに自慢入れるのやめてくれないかな！？建築士とか絶対関係ないじゃん！！！
凛,そうそう、お祝いに、私と未央で料理を振る舞おうかなって思うんだけど、何か食べたいものはある？
卯月,え！ありがとうございます！なんでもいいんですか？
凛,もちろん。インドからパキスタンまで、何でも来てよ
未央,狭いよ。カレーしか浮かばないよ
卯月,カレーマイスターの私にカレーを作ってくれるんですか！？
