池袋晶葉,暑い……
晶葉,少し前まで雨ばかりだったのに……、どうなっているんだ……？。おお、道理で……。今年の梅雨は長かったな……。ん？雪美か？入っていいぞー。どうした？入らないのか？
ライラ,ユキミさんではなくてとっても申し訳ないのでございますねー……
晶葉,うわ！ライラだったのか！い、いや、別にそういう意味で言ったんじゃ……
ライラ,“セップク”の方法を教えていただければ幸いですよー
晶葉,そんなに！？
佐城雪美,HeyPero!“切腹方法”
晶葉,Siriみたいに呼び出すな！！！。というか雪美はいつ来たんだ！？
雪美,ドア……開いてたから……
ライラ,ライラさんが閉めてなかったからですねー……、やはりここは“ウチクビ”も覚悟しておりますです
晶葉,そういうの誰が教えてるんだホントに！
雪美,OKPerogle!“打ち首方法”
晶葉,検索ツールを変えるな！！！。まずは落ち着いて、状況を整理しよう
ライラ,はーい
雪美,Zzz……
晶葉,別にそこまで落ち着かなくても
雪美,ポメラニアンは……未来志向ではない……
晶葉,なんだその寝言。まあいい、ライラはどうしてここに来たんだ？
ライラ,ええとですねー、久しぶりによいお天気なので、お洗濯をしようかと思いましてー
晶葉,ふむふむ
ライラ,なにか洗ってほしいものがあればついでに、と思って来たのでございますよー
晶葉,なるほど。それはありがたいな。昨日、ちょうど白衣を汚してしまったんだ
雪美,この汚れは……血……！？
晶葉,コーヒーだよ！勝手に事件っぽくするな！。じゃあライラ、この白衣を持って行ってくれ
ライラ,合点承知の助ですよー
晶葉,それ流行ってるのか？
ライラ,では失礼いたたたたしましたー
晶葉,多い
雪美,まって……！
ライラ,？
晶葉,どうした？
雪美,事件は……そんな単純なものではない……
晶葉,お前は何を言っているんだ？
雪美,このままじゃ……10レス足らずで終わっちゃう……
晶葉,そういうのやめろ！
雪美,この会話……私が333レス持たせてみせる……！
晶葉,目標が大それてるな！？
ライラ,おおー
晶葉,ライラ、よくわかってないだろ
雪美,そもそも、ライラの目的は……本当にお洗濯……？
晶葉,いや、本人が言ってるんだから……
雪美,本当は……バラエティでのお仕事を増やすために晶葉にツッコミを教わりに来たのはず……！
晶葉,私をなんだと思ってるんだ！
ライラ,ば、ばれてしまったようですねー
晶葉,本当に優しいなライラは
雪美,その優しさに……足を掬われるとも知らずに……
晶葉,いちいち不穏なんだよセリフが！！！
雪美,でも……、トークが上手いと……お仕事は増える……
晶葉,そこはまあ、間違ってはないと思うが……
雪美,つまり……トークが上手いと大金持ちに……
晶葉,詐欺みたいな飛躍
ライラ,詳しく教えてほしいのでございますですねー！
晶葉,私にはライラの純粋さが不安だよ……
雪美,晶葉先生……お願い……
晶葉,ここでパス！？無責任すぎるだろう！？
雪美,私……おしゃべり……苦手……
晶葉,冗談だろう？
ライラ,ライラさんも、軽快なリリックでフロアを盛り上げるのは苦手ですねー……
晶葉,誰がライラにそれを求めるんだ！？
雪美,パリピの晶葉に……盛り上げ方を教わりたい……
晶葉,誰がパリピだ！！！ほど遠いからな！！！
ライラ,YO―
晶葉,無理するな！
雪美,Lesson１：いじられた時の対応
晶葉,せめてそういうのを始めるなら先に趣旨をだな
雪美,へいへいへい……そこの……あの……メガネ
晶葉,語彙力
ライラ,語彙力―
晶葉,リピートするな！そういうコーナーじゃない！
雪美,次は……ライラ……
ライラ,ばっちこい！ですねー
雪美,へいへいへい……そこの……
晶葉,お前それ以外に会話の始め方のレパートリーないのか
雪美,貧乳
晶葉,ただの誹謗中傷じゃないか！！！
ライラ,アキハさん、事実は悪口ではないございますよー？
晶葉,おお、大人の対応……
雪美,金髪
晶葉,味を占めたな？
雪美,もちろん……サジョーク……
ライラ,冗談を言い合える関係はステキですねー
晶葉,ライラ、この事務所で1番まともなんじゃないか？
雪美,Lesson2：無茶ぶりへの対応
晶葉,もう完全にお笑い芸人を育成する気だな
雪美,おいおいおい……そこの……
晶葉,地味にマイナーチェンジしてきた……！？
雪美,ちょっと……ジャンプ……してみろー……
晶葉,無茶ぶりってそういうのじゃないだろう！
ライラ,……
晶葉,せめて何か言ってくれ！
雪美,ライラが……ぴょんぴょん……するんじゃ……
晶葉,今さらながら発言が自由すぎる……
ライラ,ライラさんは上手くツッコミができないですねー……
晶葉,まあ、適材適所とも言うしな……？。い、いや！私の適所がツッコミとは言っていないが！
雪美,今のが……ノリツッコミ……
晶葉,その解説をやめろ！！！
ライラ,おおー！驚天動地でございますです
晶葉,ボキャブラリーがちょっと偏ってないか！？
雪美,じゃあ……ライラのトークを鍛えるから……晶葉は……その口に重き封印を施して……
晶葉,話さないででいいだろう！？なぜ蘭子風なんだ
ライラ,石油に飲まれよー
晶葉,突然の中東アピール！？
ライラ,YO－
晶葉,そのDJへの憧れを捨てろ！向いてないから！
雪美,Lesson3
晶葉,そのカウントは続くのか
雪美,ライライライラ……元気……？
晶葉,多い！！！
ライライライラ,ライライライラさんは元気ですよー
晶葉,乗っかるなよ！！！違うって言えよ！！！
雪美,今日は……暑い……
ライラ,そうですねー、こう暑いとアイスが食べたくなりますですねー
雪美,本当に……？
晶葉,疑うなよ
ライラ,ふぁいなるあんさーですよー
雪美,残念！
晶葉,食い気味に！？。なんで間を取らないんだ！見どころなのに！……いやそういう問題じゃないけども！！！
雪美,ライラは……瞳が……キレイ……
ライラ,ありがとうございますですー。ユキミさんは、髪の毛がとっても素敵だと思いますよー
雪美,本当に……？
晶葉,さっきから人間不信すぎる
ライラ,……
晶葉,そこで黙るのか！？！？。はっ！つい口に……
雪美,晶葉が……しゃべったから……ここまで……
晶葉,わ、私が悪いのか！？
雪美,誰でも……失敗はある……
晶葉,慰めるな！
ライラ,さすが晶葉さん、キッレッキレッレッキッレですねー
晶葉,だからいちいち多いんだよ！！！普通は途中で気付くだろ！？
ライラ,ではライラさんは普通ではないのでございますですねー……
雪美,晶葉……ひどい……
晶葉,言っとくが1番の被害者は私だからな！？
雪美,次は……どんなシチュエーションを……練習する……？
晶葉,練習？雪美がはしゃいでるだけなのに？
ライラ,お花について話せる人に憧れますねー。ライラさんもお花トークができるようになりたいのですよー
晶葉,花は詳しいアイドルが2人くらいいるから、実践の機会は少なそうだが……
雪美,じゃあまずは……食べれる野草について……
晶葉,花！！！草じゃない！！！どこに需要があるんだ！！！
ライラ,あの草は不味かったでございますですね
晶葉,体験談を語るな！！！
雪美,花なんて……この花は花言葉が素敵なんですよね〜と言っておけば……なんとかなる……
晶葉,とうとうトークの練習っていう前提を放り投げたぞ！？
ライラ,これはこれは便利ですねー……！使わせてもらいますですよー
晶葉,なんてそこは参考にしてしまうんだ……！！！
雪美,ちなみに……リンドウの花言葉は……悲しんでいるあなたが好き……
晶葉,よりによってチョイスがえぐいな！？
ライラ,ほほー
晶葉,そのメモ、使う機会が一生ないことを祈る……
ライラ,では、そろそろ失礼するのでございますねー
晶葉,ああ、お疲れ。付き合わせて悪かったな
雪美,後で……キツく言っておく……
晶葉,お前は誰の立場でコメントしてるんだ。ん？失礼、電話だ。もしもし。おお、ちひろか、お疲れ様。どうかしたのか？。ああ、今日ラジオ収録だった夕美が……ええ！？た、倒れた！？だからあんなに仕事を詰め込むなと言ったのに！。それで……、だ、代役に花についてトークができるアイドルはいないかって！？。り、凛はいないのか！？休暇！？。い、いや、この場には……
ライラ,ｼﾞｰｯ……
晶葉,……
雪美,Zzz……
晶葉,なんで雪美は寝てるんだ！！！。……。しょうがない……。ライラが最近、花について興味があるらしいぞ……。あの雰囲気なら夕美とそこまで遠いものでもないだろうし……。あ、ああ、それでは伝えておく……。いや、ご苦労様。じゃあな。えっと……、ら、ライラ
ライラ,花言葉が素敵でございますねー花言葉が素敵でございますねー花言葉が素敵でございますねー
晶葉,不安だ……！！！
雪美,100点……！
晶葉,雪美は都合の悪い時だけ寝るのをやめろ！！！
雪美,骨は……拾う……
晶葉,討ち死にを前提にするな！！！
ライラ,骨は祖国に埋めてほしいと思いますですねー
