双葉杏,うー……暑い……
杏,頭がボーっとしてくるレベルだよこの暑さ……。誰か……、なんか冷たいもの持って来ないかな……。うわあ……
茜,こんにちは！杏ちゃん！燃えてますか！！！
杏,なんでこの暑さでこの熱さが来るんだ……
茜,杏ちゃん！？目を開けてください！大丈夫ですか！？
杏,いや、別に、声で茜だってわかるから、わざわざ見なくて……も……
茜,どうしましたかっ！？私の顔になにかついていたり！？
杏,……いや、なにかデジャヴ気味な違和感が……
茜,？
杏,ごめん、ちょっと自己紹介してもらっていい？
茜,はいっ！8月4日生まれの17歳！日里予茜です！
杏,また！？
茜,？？？
杏,そしてなんで本人は何も感じてないんだよ！！！
茜,杏ちゃん、大丈夫ですかっ！？
杏,完全にこっちのセリフなのに……
茜,私はこれから走りに行ってきます！体調が悪いなら無理しないようにしましょうね！
杏,はいはい、いってらっしゃい……
茜,では！
杏,ああ、誰かが来るのが一気に怖くなった……。だ、誰！？
一ノ又糸己,お！杏ちゃん！元気ー？
杏,本当に誰だよ！！！
一ノ又糸己,ええ！？誰なんてひっどいなー！一ノ又糸己だよ！
杏,一人称もそれになるのかよ！！！
一ノ又糸己,もしかして杏ちゃん、ボケてる……！？
杏,なんで杏が心配されてるんだ……！み、苗字を教えて！！！
一ノ又糸己,へ？姫川だけど？
杏,……ああ～！
一ノ又糸己,？
杏,脳トレしてる気分だよこっちは……。な、何かさ？今日、雰囲気違くない？
一ノ又糸己,そうかな～？
杏,いや、何もないならいいけど……
一ノ又糸コL,うんうん！いつも通りだって！
杏,進行形で違和感が増してるんだけど！？
一ノ又糸コL,杏ちゃんこそ、今日は変じゃない？
杏,もうなんでもいいよ……
一ノ又糸コL,ふーん？じゃ、あたしはお仕事行ってくるから！
杏,んー……。ダメだ……、キリがない……。せめて一目で誰だかわかるレベルなら助かるんだけど…・・。いや誰だかわかるけども……！！！フーイフーて！！！
フーイフー,どうかしましたですかー？フーイフーさん、なにかしてしまったでしょうかー？。？。アンズさん、お疲れ気味でございますですか？
杏,いつもの100倍くらいね……
フーイフー,そんなアンズさんにアイスをおすそ分けですよー
杏,え！？ほんと！？いや～、違和感があってもいいやつだねぇ、フーイフーは。……え？。……フーイフー。……ラ・イ・ラ。フーイフー。……。……言えない！！！！！
フーイフー,？？？
杏,もういいや……、なんていうアイス？
フーイフー,一人メメメメですねー
杏,な、なんて！？
フーイフー,一人メメメメですよー？知りませんですかー？
杏,……わかった！！！爽だ！？崩すと字面がひたすらキモい！！！
フーイフー,それではフーイフーさんはお仕事に行ってきますですよー
杏,うん……、がんばってね……
フーイフー,それではー
杏,でもなんかフーイフーって感じはあるよね。……はっ！慣れちゃだめだって！。もう部屋に足音が近づくだけで怖くなってきたよ……。！複数人だ！せめて一人はまともなのが……
幸一了,フフーン！カワイイボクの参上ですよ！
輝一了,こんにちは……
響一了,あれ？杏ちゃんだけですか？
杏,一了一了うるさいな！！！！！。なんでそこだけ共通なんだよ！統一してるんじゃないよ！！！
幸一了,ど、どうしたんですか！？いきなり大きな声なんて
杏,”どうしたんですか？”はこっちが言いたいよ！！！
輝一了,ほ、本当に……どうしたんだ……？
響一了,なにか困ったことがあったら言ってくださいね……？
杏,杏の悩みのタネは増えてく一方だよ……
幸一了,あ、そういえば杏さん
杏,なに……？
幸一了,いえ、日寺一了さんを見ませんでしたか？今日、一緒のお仕事なんですけど……
杏,見たことないよ！！！一度もね！！！
幸一了,じ、じゃあサカロ一了さんは？
杏,そんなやついない！！！
幸一了,シ土ム一了さんは？
杏,一了一了うるさいな！！！！！。もう！お仕事なら早く行ってきな！
幸一了,杏さん、機嫌があまりよくないのかも……？
輝一了,ﾌﾋ……、確かに……珍しい……
