藤居朋,おはよーございまーす
緒方智絵里,あ、朋さん、おはようございますっ
朋,おはよー智絵里ちゃん、1人？
智絵里,はいっ。まだ誰も生きてこの地に足を踏み入れた者はおりません
朋,魔王の城なの？。しかし暑いわね……。溶けちゃいそう
智絵里,はい……、クローバー探しも難しい季節になってしまいました……
朋,そ、そういえば最近聞いてなかったわ……。ちなみに昨日はどれくらいかかったの？
智絵里,9秒82
朋,いつの間にそんな人類最速の男みたいなタイムに！？
智絵里,実は、晶葉ちゃんの発明のおかげなんです！
朋,ええ……？自動で見つけてくれるの？
智絵里,いえ、三つ葉を10枚集めると、四つ葉1枚と交換してくれるんですっ！
朋,智絵里ちゃんはそれでいいの！？
智絵里,暑いので……
朋,集めるのやめたら！？
智絵里,あ、この前の写真集、サンプルが届いたみたいですよ
朋,え、本当！？どこにあるの？
智絵里,確か、あっちの棚に置いてありますっ
朋,あっちの棚ね……
白菊ほたる,……
朋,わあああああああ！！！ほ、ほたるちゃん！？い、いつからそこに！？
ほたる,……
朋,しかもそんな白装束に三角の頭巾なんてまるで幽霊みたいな……
ほたる,……
朋,……ほ、ほたる……ちゃん？
智絵里,と、朋さん……
朋,あ、というか智絵里ちゃん！さっき誰もいないって言ってたじゃん！ウソつかなくてもいいのに！
智絵里,朋さん……？
朋,え？
智絵里,そこには誰もいませんよ……？
朋,……はい？。いやいやいやいや！ほら！そこに！ほたるちゃんいるでしょ！？
智絵里,い、いませんっ！わたしの目にはまるめたソーセージを持ったおじさんしか……
朋,それはそれで見えたらヤバいやつだと思うけど！？
智絵里,と、とりあえず落ち着いてください！ひっひっふー！
朋,なんでラマーズ法なのよ！出産に苦しんだ憶えはないから！！！
ほたる,……
朋,なんでほたるちゃんがやってるの！？
智絵里,本棚と話してる……、怖い……
朋,その目やめて！！！
智絵里,あ、わたしの携帯です。失礼します……。もしもし……、あ、プロデューサーさん、お疲れ様です。……はい……はい……、えっ！？ほ、ほたるちゃんが！？
朋,……！？
智絵里,はい……わかりました……、失礼します……
朋,ち、智絵里ちゃん！ほたるちゃんがどうしたの！？
智絵里,お、落ち着いて聞いてください……
朋,……
