橘ありす,みなさん、お久しぶりです。第2回目のリトル・マーチング・ファンド・ガールズのお時間です
ありす,司会は私、橘ありすと
佐城雪美,佐城雪美……です……
ありす,よろしくお願いしますね
雪美,一旦……ＣＭ……
ありす,ま、待ってください！早すぎます！放送事故かと思われちゃいますって！
雪美,前回が……3月……。てっきり……打ち切りになったかと……
ありす,ちょっと！よりによって司会が！
雪美,では……最初のプレゼンター……
ありす,先にゲストの紹介ですってば！！！台本に真正面からケンカを売らないでください！！！
雪美,小関麗奈さん……
小関麗奈,ありす……あんた大変な立場なのね
ありす,開始1分で同情するのやめてください
雪美,南条光さん……
南条光,はい！よろしくなっ！
ありす,大沼くるみさん
大沼くるみ,は、はいっ！よろしくおねがいしましゅ……
ありす,成宮由愛さん
成宮由愛,……
ありす,……あの？由愛さん？何を書いて……
由愛,……
ありす,うわめんどくさい
由愛,冗談です。よろしくお願いしますね……？
ありす,由愛さん、そんな人でしたっけ……？
由愛,みなさん個性が強いので、目立たないと……！
雪美,私も……個性的に……なりたい
ありす,これ以上？。というわけで、この4人が今回のゲストです
光,呼んでくれてありがとう！
麗奈,バカね、遅かれ早かれ呼ばれるんだから礼なんていいのよ
雪美,これで……次回のメンバーも……決まり……
ありす,そうですね。次回は梨沙さん、千佳さん、美由紀さん、千枝さんの4人になります
麗奈,……千佳は無害、千枝はたまにちょっと黒いくらいだけど、美由紀は……。梨沙も大変なブロックに入ったわね、同情するわ
くるみ,？麗奈ちゃん、どうかしたんでしゅか？
麗奈,いや、なんでもないわ
くるみ,まるで"次回のメンツを考えたら梨沙ちゃんが大変そうだ、同情する"みたいなお顔でしゅ……
麗奈,待って、あんたもけっこうヤバいわね？不安になってきたわ
由愛,……
麗奈,イヤな予感しかしないんだけど
由愛,……
麗奈,このタイミングで！？帰っていい！？
ありす,ダメです！！！！！
麗奈,うわあんたそんな大きい声出せるの
ありす,前回、舞さんいなかったら途中で帰ってました
麗奈,なにこの番組、修行？
ありす,では、番組の説明をさせていただきます。とはいっても、前回と同じなので、簡潔にさせてもらいますね
雪美,"ファンド"って意味……わかる……？
光,ブレイド？
麗奈,ゴリ押しがすぎるわよ
由愛,ボンド？
ありす,それ前回若葉さんが言ってました
由愛,はぁぁぁぁ……
ありす,そんなに！？
雪美,くるみは……？
くるみ,ふぇ！？く、くるみバカだから、"複数の投資家から集めた資金を用いて投資を行いそのリターンを分配する仕組みをいう。投資信託として組成されることがあるが、一方で、いわゆる投資事業組合として組成されることもあり、文脈によってはいずれか一方のみを指すことも多い"っていうWikipediaレベルの説明しかできないよぉ……
麗奈＆ありす,！？！？！？
雪美,この番組は……、色々なアイドルが私に投資したら○○しますとプレゼンに……
ありす,え、くるみさんはスルーなんですか！？
麗奈,視聴者混乱してるんじゃないの！？
くるみ,ご、ごめんなしゃい……
由愛,Don'tbeshy
ありす,わざわざ英語で韻を踏みつつ励ましを！？
光,ゴレンジャイ！
麗奈,下手か！！！
ありす,え、えっと……、そのプレゼンを受けて、皆さんならいくらまでお金を出せるのかを考える番組です……
麗奈,なんで趣旨説明までにこんな叫ばなきゃならないのよ……
由愛,かわいそう……
麗奈,どの口が言う！？
光,こら麗奈！そんなに怒鳴ったら由愛ちゃんとくるみちゃんがビックリしちゃうだろう！
麗奈,こっちの方がいろいろビックリしてんのよ！！！
雪美,ありす……、今日は楽……？
ありす,あまり言いたくないですけどゲスト次第ですね。今のところは、ぎせ……ひが……麗奈さんがいるのでまぁ楽ではありますが
麗奈,犠牲者と被害者で迷った挙句ふつうに名前言うのやめてくれない？
ありす,では、さっさと最初のプレゼンターに来てもらいましょう
麗奈,もう投げやり気味じゃない
ありす,あ、実際にお金を払ってもらうわけではないので安心してください。あくまで"もしも"の話です。それと、上限は1万円ですのでご注意を。最後に金額発表をしますが、その後でも多少は変えられますのでご心配なく
麗奈,けっこう重要な説明じゃないのそれ！？急に詰め込みすぎよ！
雪美,最初のプレゼンターは……この人……
塩見周子,どーもー
ありす,塩見周子さんです
周子,よろしゅーこー
くるみ,よろしくるみ～
由愛,なんとかなる宮～
雪美,明日があるさ城～……
ありす,私の知らないところで打ち合わせとかしてます？
光,……
麗奈,こっち見ないで
ありす,さっそく周子さん、プレゼンをお願いします
周子,第1問！
ありす,は？
周子,しゅーこちゃんの実家は、何のお店でしょう？。はい麗奈ちゃん早かった！
麗奈,声を発してないわよ……、和菓子屋でしょ？
周子,あー……
くるみ,……
雪美,……
麗奈,な、なんなのよ
由愛,バラエティは、他の人のボケを待ってから正答しないとダメです……
麗奈,知るか！！！。発想が芸人のそれじゃない！
周子,座布団全部持ってってー
麗奈,あの場にアイドルは座らないから！
光,あ、アタシはどうすれば
麗奈,どうもしなくていいわよ！
雪美,からの……？
麗奈,ちょっとありす！進めなさい！！！
ありす,……あ、すみません、聞いてませんでした
麗奈,気い抜いてんじゃないわよ！！！
周子,あたしのプレゼンはこちら！
麗奈,何事もなかったかのように始まるのもハラ立つわね
くるみ,はらたつのりぃ……？
麗奈,心を読んだ上でくだらないテレパシーやめなさい
光,おおー！
由愛,わぁ……！
ありす,へぇ……、では、説明を
周子,第2問！
ありす,さっきからそれ何なんですか
周子,ウチの和菓子屋の最近の悩みはなんでしょう？。はい由愛ちゃん早かった
麗奈,何にも言ってないっての
由愛,娘がアイドルという不安定極まりない職に手を出した……？
周子,それはガチなやつだね
麗奈,リアクションに困る会話やめて
周子,いや、アイドルの実家ってことで、けっこー売り上げが増えてるらしいんだけどね
ありす,いいことじゃないですか
周子,でも、これが一過性のものにならないかどうも不安らしいんよ
雪美,落花生……？
ありす,雪美さん、絶対関係ないこと考えてますね
由愛,そこで新商品を……？
周子,そそ♪いい感じに名物になればね。それで、その試作品を作るためのお金を、これで賄うって感じかな
光,でも、1万円もするのか？材料とかでしょ？
周子,あとは道具とか？でも、余ったら素材が豪華になったり、別バージョンも作る予定だよー
ありす,その辺はちゃんと考えてあるんですね
周子,そりゃ、年下の前でそんなに適当にはできないしねえ
ありす,どっかのフランス人ハーフにも聞かせてあげたいですよ
麗奈,完全に私怨じゃない。別バージョンって、具体的にはどうなるのよ
周子,んー、例えば光ちゃんだと、仮面をつけたバージョンとか？
光,おお！！！
麗奈,あ、こいつ満額出すわね
雪美,他は……？
周子,麗奈ちゃんだと、おでこに金箔をまぶしてあげよっか
麗奈,張っ倒すわよ
周子,くるみちゃんは、全体的になんかプルプルしてるお菓子になってー
くるみ,どこ見てるんでしゅか……？
ありす,説明は雑ですが、わりと伝わりますね……
周子,由愛ちゃんは、その泣きボクロがキャビアになるよ
麗奈,やっぱあんたバカでしょ？
周子,あれ？麗奈ちゃんは海ぶどう派？
麗奈,2択がキャビアか海ぶどう！？
ありす,えっと、もう金額発表に移ってもいいですか？
周子,いいよー
雪美,では……どうぞ……
麗奈,金箔なんて乗せられたらたまんないわよ！
ありす,でも0じゃないんですね
光,いいじゃないか麗奈！
麗奈,そりゃアンタはいいでしょうけどね
くるみ,よくわかんないから……
由愛,キャビアってどんな味なんでしょうか……？
ありす,判断基準がもう和菓子とか関係ないですね
周子,麗奈ちゃんは後で覚えといてね
麗奈,さっき"年下の前で～"とか言ってたヤツのセリフとは思えないわね！？
ありす,それではこれで周子さんのプレゼンは……
周子,あ！
麗奈,……？
由愛,どうかしましたか……？
周子,ごめんごめん、一個言い忘れてたことがあって
ありす,大丈夫ですよ、どうぞ
周子,材料とか買ってもまだお金が余ったら、アシスタントを雇うつもりなんだよねー
ありす,なるほど
雪美,例えば……たくさん余ったら……誰？
周子,陳健一
みんな,？？？
周子,あれ！？陳健一わからん！？あれ！？
ありす,……？
麗奈,なによそんなに大きい声出して。有名な人なの？
周子,うっわショック……、いやしゅーこちゃんもリアルタイムでは全然見てないけど名前くらいはさ？。てっきり中華の鉄人！？明らかに専門外じゃない！！！ってツッコミがくると思ってたんだけどなー
ありす,ツッコミを計算できるならもっと手を抜いてくださいよ……
周子,渾身のボケだったのになー、くるみちゃんとか、実は知ってたりしない？
くるみ,ふぇ！？く、くるみバカだから、"四川料理の第一人者である父陳建民と日本人の母の間に生まれて、フジテレビ系列で放送された料理の鉄人の中華の鉄人として名を馳せた"っていうことしかわからないよぉ……
麗奈,もうなんなのアンタ！！！それを世間では"知ってる"って言うのよ！
ありす,その"くるみバカだから構文"は決めゼリフか何かなんですか！？
由愛,えっと、その陳さん？を呼べるお金が集まらなかったら……？
周子,お金が全然集まらなかったら、ありすちゃんに手伝ってもらうしかないかな？
