そう、彼は風呂をつかったタイムトラベラーなのだ。,もちろん本人はその意識はない
ルシウス,アポロドロス技師、お久しぶりです。
アポロドロス,最近また新しい浴場を作ってるらしいのう、完成を楽しみにしとるぞ！。やはり風呂はいいのう、その日一日の疲れがすうっと消えていくようじゃ
ルシウス,ええ…
アポロドロス,なんじゃ、随分元気がないのう？あまり根をつめるなよ？。最近はわしも年を取って、風呂上りの運動も億劫になってきてのう…
ルシウス,…
アポロドロス,子供のように走り回ったり、若いのみたく、力比べ興じることもできん。
ルシウス,運動、か・・・。うわっぷ！こら、風呂に入るときは飛び込むんじゃない！
岡部,フゥーハハハハ！ラボメン諸君、今日は日ごろの疲れを温泉で癒すのだ！。この鳳凰院凶真に感謝するがいい！フゥーハハハハ！
まゆり,んもう、オカリン！温泉旅行をくじ引きで当てたのはルカくんだよ～
ダル,そうだおオカリン、むしろ感謝すべきはるか氏に対してだろＪＫ
るか子,あぅ、いいんです、ボクは岡…凶真さんが満足してくれるなら…
紅莉栖,それにしても随分立派な旅館よね、温泉だなんて何年ぶりだろ…
萌郁,温泉…楽しみ…
フェイリス,にゃふふ！みんなで旅行だなんてフェイリスはとっても嬉しいニャン！
紅莉栖,はいはい、大声で叫ばないの
岡部,む！崇高なる我が演説を遮るとはクリスティーナよ、お前まさか機関に買収でも…
紅莉栖,だからクリスティーナは禁止といっとろうが！
ダル,はいはいさっさと爆発しろ、リア充共
紅莉栖,な、なんぞこれー！
まゆり,わぁ～、みんな一緒の部屋なんだね！まゆしぃはなんだか修学旅行みたいでわくわくしてきたよ！
ダル,キター！！！！
岡部,もしもし…ああ、機関の連中に嵌められたようだ、…問題ない、これも運命石の扉の選択…
紅莉栖,駄目！絶対駄目なんだから！こんな野獣二人と一緒の部屋だなんて！
まゆり,え～、みんな一緒のほうがたのしいよ紅莉栖ちゃん。
紅莉栖,そういう問題じゃないの！男と女が一緒の部屋で寝るなんて…その、不潔よ！
岡部,う、うむ、さすがにこれは問題だな。
るか子,あ、あのぅ、招待券には大部屋が割り当てられるって書いて…
紅莉栖,な、なんで早く教えてくれなかったの！？
るか子,ひぃ！ごめんなさい…修学旅行の時はいつも女の子と一緒の部屋だったから…
フェイリス,フェイリスはどっちでもいいニャ！
紅莉栖,ちょ！なんてことを言うのよフェイリスさん！
フェイリス,だって・・・みんなと一緒にお泊りしてあそぶニャンて、フェイリス初めてだし…やっぱり駄目かニャン？
紅莉栖,う…で、でも…。うっ、わ、わかったわよ…でも！。いい？この屏風からむこうがあんたら野獣のテリトリーなんだからね！
ダル,ＯＫボス
岡部,や、やれやれ、それで妥協してやるか
紅莉栖,妥協してるのはこっちのほうだ！勝手に入ってきたら赦さないんだからね！
フェイリス,ありがとクリスティーニャン☆
萌郁,賑やかで…楽しそう…
るか子,ボクはこっち側なんだ…
まゆり,ねぇねぇ！早速温泉入りにいこうよ！
わいわいと、女子たちのテリトリーが賑やかになって行く,だが一人男だ
岡部,さて、俺たちも汗を流しに行くか。
ダル,フヒ、温泉…女湯…フヒヒ
岡部,ホラ、ダルもトリップしないでさっさと行くぞ。フゥ～～～～～
ダル,ウェーイ
るか子,はふぅ･･･。♪～♪
岡部,いかん、るか子は男だ･･･男男男…
るか子,あふぅ･･･
ルカ子,はわ！ち、違います、違いますよ！
岡部,な～にが違うんだルカ子よ･･･
ルカ子,あの！その！ひぃん･･･
岡部,お前のその股からでているのは、紛れもなくメルヒェンガ～ス、通称オナラ･･･
ルシウス,ガホッ…ゲホ…。…また平たい顔族の風呂へ来てしまったようだ･･･な。っ！
るか子,ひっひゃあああああああん！！
ルシウス,す、すまない！とんだ無礼を･･･！
岡部,へ、へぇい、キャンユースピークイィングリーッシュ？
た･･･何を言ってるかわからないと思うが,ｒｙ
ルシウス,すまない、お前達の言葉は分からないんだ…
るか子,ぐすっ･･･えぐっ･･･す、すみません、突然でてきたからびっくりして･･･
岡部,るか子よ、外人相手に日本語は通じないぞ。まあ、むこうもなんだか謝ってるみたいだ。
ルシウス,とりあえず通じたか･･･？それにしても平たい顔族の風呂で女性に出くわしたなど初めてではないか･･･平たい顔族は特に区別しないのか？
るか子,あ･･･先に上がりますね、ちょっとのぼせてきちゃった･･･
ルシウス,jocus･･･
紅莉栖,ふーん、先客がいたんだ。あ、あたりまえじゃないっていうかなんで安心しちゃってるの・・！
岡部,そういうことだ、まあ先客はふざけて風呂にもぐって遊んでいたみたいだがな。
紅莉栖,ふーん、なんだかギリシャ彫刻みたいな人ね？
岡部,英語で話しかけてみたんだが、どうも英語が通じないみたいでな。
紅莉栖,それは単にアンタの発音が為ってないからよ、発音は大事よ？。お手本を見せてあげるからちゃんと見てなさいよ？。Hello,I’mMakiseChris.Wheredidyoucomefrom?
岡部,ぷっ･･･くくっ発音は大事じゃなかったのか、ネラー助手クリスティーナよ？
紅莉栖,う、うっさい！英語圏の人じゃないなら何で最初からいわないの、この馬鹿岡部！
ルシウス,さわがしい連中だな。
フェイリス,ニャニャ？またケンカしてるニャ？
ルシウス,な、何だあの黒い耳はっ！。いや、あの耳は作り物･･･か、それにしても随分精巧な・・・
フェイリス,ニャン☆？このカッコいい異人さんはどうしたニャ？
ダル,出たー！フェイリスたんの４８ある落とし業、見つめ合ってニャンニャン！うらやましす外人、爆発しろ！
ルシウス,･･･！そうか、思い出したぞ･･･この大きく長い耳はエジプト属州の民が崇めていたアヌビス神を象っているのではないか…。しかし･･･いつ来ても平たい顔族の浴場は飽きないな。
まゆり,トゥットルー！温泉気持ちよかったのです～
萌郁,…ふぅ。
岡部,ウム、全員そろったようだな。
ダル,オカリンどうかしたのかお？
岡部,スーパーハカーにしてわが右腕ダルよ･･･温泉といえば風呂上りの卓球、よもや世界の常識を忘れるとは情けない。
ダル,ちょっ、そんな常識初耳だろＪＫ。
まゆり,わ～、オカリン卓球やるの？
紅莉栖,卓球･･･
岡部,もちろん余興ではあるがちゃんと賞品は用意している！
まゆり,わぁ！うーぱのぬいぐるみだ～
紅莉栖,ちょ、用意周到じゃない…。
岡部,ささやかながら賞品がつけばやる気もおきるというものだろう。
まゆり,あれれー、でもオカリン？このトーナメント表一人余っちゃうよ？
岡部,なっ！。しまったぁ～～～！鈴羽の分まで枠を作ってしまっていた…。ど、どうする･･･大見栄きってトーナメント表を張り出すんじゃなかった…。…！そうだ、おあつらえ向きのゲストが目の前にいるじゃないか！。フゥーハハハ、よく気がついたなまゆり！その８番目はゲスト枠なのだ、そこの外人！。さあ、異国の漂流者ドリフター
紅莉栖,ちょっと、岡部…さすがに失礼でしょ！
岡部,心配要らないクリスティーナよ、人間とは言葉は通じなくとも心で通じることが出来るのだ！フゥーハハハハ！
紅莉栖,説明になっていない！ああ、もう！
ルシウス,一体何が始まるのだ？それに周りは若い者や老いたものまでなにか必死に球を打ち返している…。何という事だ…年齢差や体格差があっても勝負が成り立っているというのか？
岡部,では、早速くじ引きといこうか、ホラ、そこの外人もさっさとくじを引くがいい！。さあ、勝負の時は来た！
ルシウス,ガイジン
岡部,いかん、外人がなにやら不機嫌のようだ…
ルシウス,あのような女性でも軽々と大男を負かしてしまうとは。なるほど、概ねは理解できたが…
ルシウスがなにより驚いたのは打ち返し,ラリー
ルシウス,あのようにすばやく動く球を正確に見極めて何度も打ち返しあう･･･これは平たい顔族の戦士の訓練でもあるのか？
岡部,さぁ、次の試合はガイジンとるか子だな！
まゆり,ねぇねぇ、オカリン、そろそろ名前で呼んであげないとかわいそうだよ～
岡部,し、しかし言葉が通じなくてはだなまゆりよ・・・
まゆり,ねぇねぇ、あなたのお名前教えて欲しいな！わたしは椎名まゆりだよ～。“まゆり”だよ～えへへ。
ルシウス,もしかして名を名乗ってるのか？マユリ？…そういえば平たい顔族には名乗ったことがなかったな。私の名はルシウス、ルシウス・クイントゥス・モデストゥスだ！
まゆり,え～～と、ルシウス・・・さん？
紅莉栖,“紅莉栖”よ！
萌郁,“萌郁”･･･
ダル,橋田至だお、“ダル”ってよんでもいいんだからね！
るか,あのう、“るか”です…
フェイリス,フェイリスにゃん☆
岡部,我が名は鳳凰院凶･･･
まゆり,“おかりん”☆だよ～
岡部,なっちょ、まゆり！
ルシウス,マユリ・クリス・モエカ・ダル・ルカ・フェイリス・オカリーン？
紅莉栖,ぷっ！ははは！オカリーンだって！オカリー↑ン↓☆
岡部,な、ガイジン取り消せ！オカリーンではなく鳳凰院凶…
まゆり,よろしくね、ルシウスさん！
ルシウス,どうやら敵意はまったくないようで安心した…それにしても平たい顔族の名前はやはりローマや周辺の属州とは法則が違うようだな、それほど遠く離れた地ということか…
岡部,ぐぬぬ、気を取り直して試合を始めようではないか
るか,あっ･･･あの！よろしくおねがいします！
ルシウス,正々堂々勝負をしよう
ダル,す、すごいお…
紅莉栖,漆原さんも凄いけど、ルシウスさんも相当ね･･･
ルシウス,くっ、甘くみていた…、このひ弱な男ならば簡単に倒せるとおもったが･･･
るか子,はぁ！はぁ！えい！
ルシウス,技巧はあの男が完全に上、いちかばちか、持久戦で･･･！。か、勝った･･･のか？
るか子,はぁ･･･はぁ・・・んっ・・・けほっ
紅莉栖,なんだかいけないものを見てしまった気がする…
まゆり,えへへー
萌郁,カシャ…カシャ…
ダル,ふう、ちょっとトイレいってくるお。
るか,ううっ、まけちゃった･･･
ルシウス,素晴らしい勝負だった、お前は将来かならず立派な戦士になることだろう。
るか,あ･･･うぅわ、ちょっと恥ずかしい
ルシウス,？なぜ顔を赤らめる？？。やはり平たい顔族は侮れないな…
るか子,あのっ！･･･ルシウスさん･･･これ、どうぞ…
ルシウス,な、なんだこの黒い液体は･･･？それにこの容器、ガラスとはまた違うな…。な、なるほど、蓋を“ひねれば”いいのか。なんという精密な細工･･･。こ…これは！。ひ、平たい顔族はこんな･･･こんな美味しい飲み物を持っているのかっ！。負けてる･･･ローマが何百年もかけても手にすることのなかったものを平たい顔ぞくはなぜ容易く手にすることが出来るんだ･･･！
るか,あっご、ごめんなさい！･･･お口にあいませんでした･･･か？
ルシウス,ゲェープ
るか,ｹﾌﾟ･･･
ルシウス,負けてしまったが･･･なんともすがすがしい気持ちだ･･･
岡部,フゥーハハハハ！さすがは我が助手…よくぞ優勝したっ！
紅莉栖,ま、まあ当然よね！
岡部,でぇーわぁ、賞品のドクペうーぱだ、ホレ、うけとれ。
紅莉栖,ふふっ、かわいいわね。
まゆり,わぁ～、紅莉栖ちゃんいいなぁ～うらやましいよ～
岡部,そして！惜しくも助手に敗れた漂流者ドリフター。賞として、ドクペと名誉ラボメンの称号をあたえる！
ダル,オカリン、外人さんにラボメンにしてやるといっても意味つうじないだろＪＫ
ルシウス,よくわからないが、この飲み物は絶対ローマに持ち帰ろう･･･！
まゆり,じゃーねー！ルシウスさん！
ルシウス,騒々しかったな…、汗もかいてしまった事だしもう一度平たい顔族の風呂に浸かろう・･･
アポロドロス,ルシウス技師！しっかりせんか！。おお、気がついたか！
ルシウス,はっ！あ、あの黒い飲み物は？
アポロドロス,あん？お主なにを手に握ってるんじゃ？
ルシウス,お･･･おお…！
新たに完成した浴場ではルシウスが考案した,ということになっている
アポロドロス,いょっしゃあああ～、今月はワシが“ラボメン”じゃ～！
この浴場の守り神として,ウパ神
ルシウス,結局はこの競技もあの平たい顔族のアイディアを使ったに過ぎない･･･。恐るべし、平たい顔族！
まゆり,あ、おかりん、トゥットゥルゥー☆
岡部,オカリンではないといっているだろう。
ダル,。ほー？フーン？
岡部,どうしたダルよ？
ダル,オカリン、この学ＫＥＮＭｏｕＭｏｕのサイトみてたんだけどさ
岡部,ああ、オカルト専門のサイトか。
ダル,ローマ時代の浴場の遺跡からドクペのペットボトルが発掘されたって話題になっているお
岡部,ははっ、そんなわけないだろう。おおかた観光客のいたずらだろ。
ダル,ですよねー
