を見て思いつき、自分が好きな,この素晴らしい世界に祝福を!
ボルボ,ここはどこだ？俺は確か、両津たちと？？
アクア,ボルボ西郷さん。ようこそ死後の世界ｈって、良く見たらおじさんじゃないの！？
ボルボ,俺の目の前に現れたのは青くて長い髪の可愛い女だ。そして……
アクア,まっ、この際どうでもいいわ。私は女神アクアよ。よろしく
ボルボ,む、胸がでかいっ、たまらん！！？/////
アクア,きゃあっ！？なんでいきなり鼻血出してんのよっ！！？
ボルボ,ここが異世界。前に両津がプレイしてたゲームと同じ世界観だ
アクア,どうでもいいけど、私をこんな所まで連れて来ちゃって。早く魔王討伐して私を天界に戻しなさいよ
ボルボ,可愛いが、わがままで、自分勝手か。
アクア,ほら、ギルド行くわよ。ギルド
ボルボ,ここがギルドか。思ったより広めだな
アクア,当たり前でしょ。ほら、さっさと冒険者登録するわよ。そこの受付の人に話し掛けなさいよ
ボルボ,あぁ。すまない。ちょっといいか？
ルナ,はい、なんでしょうか？
ボルボ,っ/////
ルナ,きゃあっ！？
アクア,ちょ、アンタ、また鼻血っ！？
ボルボ,女神が、仲間募集って言って貼り紙をしたが、簡単に仲間になってくれる奴なんて居ないだろうな
ダクネス,すまない、ちょっといいだろうか？
ボルボ,なんだ？
ダクネス,募集のちらしを見て来たのだが…
ボルボ,おっ、金髪に冷静沈着そうな、それもとびっきり美人な女。………んっ？
ダクネス,おっと、鎧が！！
ボルボ,っ！？
ダクネス,
ボルボ,っ///
ダクネス,な、なんだ、血が！？だが、感じるぞ。貴様は嫌らしい目で私の胸を見つめ、興奮を抑えずに！？////うむ、イイ………///
ボルボ,変わった物を売るお店というのはここか？何か強そうな武器とかあればいいが…
ウィズ,いらっしゃいませ～
ボルボ,見た限り、店の中は色々な物で溢れ返っているな。それよりも気になるのは店員か、店長らしき女がいるな。良く見ると美人だ。ほぼ美人としか言えない……んっ？
ウィズ,何をお探しですか？
ボルボ,っ///。
ウィズ,きゃあ、お客様！？しっかり、しっかりしてくださぁーーーーーーい！！？
ボルボ,おっと
ゆんゆん,きゃあ！？
ボルボ,すまない。ちょっとよそ見をしてたようだ、大丈夫か？
ゆんゆん,あ、あのぅ！？だ、大丈夫です！！？
ボルボ,随分と慌ててるようだ。性格は気弱って感じか
ゆんゆん,わ、私のほうこそ、す、すみませんでしたぁーー！！！
ボルボ,いや、別に俺は怒っｔ…………んっ？
ゆんゆん,
ボルボ,
ゆんゆん,きゃああああああああああぁぁぁぁぁぁぁぁぁーーーーーーーーーーーーーーーーーーーーーーー！！！！？？？
ボルボ,俺が素晴らしい世界で鼻血を！。買い物も済んだし、帰るか。んっ？
ダスト,いいだろ？
キース,あぁ
ボルボ,なんだ、どうした？
ダスト,うわぁっ！？って、おっさんかよ！
キース,びっくりしたな
ボルボ,コソコソ話してる方が怪しいぞ。どうした？
ダスト,しょうがねぇ、おっさんにも特別に案内してやるよ
ボルボ,？。ここは何の店だ、初めて見るが？
ダスト,入れば分かるさ。じゃあ、俺らは先に行くぜ
ボルボ,………怪しいが、とりあえず入ってみるか
受付サキュバス,いらっしゃいませ。
ボルボ,っ！！？
受付サキュバス,
ボルボ,っ///。あの店は刺激が強すぎる！行かない方がいいな。んっ、誰かいるのか？
ダクネス,ふぅ～
ボルボ,っ！？
ダクネス,今日も月が綺麗だな………って、貴様！？///貴様がなぜ居るのだ！！？/////
ボルボ,あ、いや、俺は！？
ダクネス,
ボルボ,あの店に次いでたまらーーーんっ！？/////
ダクネス,血が、また血だ！？だが、相変わらずやらしい視線と興奮して血を出す所がまた、たまらないぞ………/////
ボルボ,この世界は刺激が有り過ぎる。
カズマ,分かるよ、おじさん！
ボルボ,んっ、そうか？誰だが知らないが、共感が得られるな
カズマ,でも、見ても興奮したり、見てても鼻血が出ないような奴もいるぞ
ボルボ,だ、誰だ？
カズマ,それは………
めぐみん,おい、私を見ながら言いませんでした？文句があるなら聞こうじゃないか
クリス,アタシの事もね
カズマ,めぐみん、クリス、違うぞ！！おれはただ胸が無く、あまり魅力が欠けている事をだな！
ボルボ,そういえば、俺はそこの二人だけ免疫があるようだ。自然と鼻血も出ないしな
カズマ,間違いないな！ダクネス達のような胸がでかい奴らならまだしも、胸が無い女たちに男は引っ掛からないしな！！
めぐみん・クリス,
ボルボ,お、おい、あまり言わないで、もうそこまでｎカズマしかし、胸が小さいせいで免疫あるなんてどんだけ魅力がねえって話だろうなｗｗｗｗ
めぐみん,黒より黒く、闇より暗き漆黒に我が深紅の混淆を望みたもう
クリス,流石のアタシもそこまで言われると聞き流せないんだよねぇ～、本気でや殺
カズマ,わ、悪かった！？言い過ぎたから、止めてくれええーー！？
ボルボ,刺激とは関係なしに、こっちの刺激もある意味激しい…。俺が素晴らしい世界で鼻血を！
