モバマスより小日向美穂,たぬき
未央,夏だーーーーーーーーーっ！！
茜,海だーーーーーーーーーっ！！！
藍子,無人島だーーーーーーーーっ♪
未央,…………って無人島！？なんで無人島！？
茜,さすが未央ちゃん！見事なノリツッコミですっ！！
藍子,本当に他には誰もいないんですねぇ
未央,あっプライベートジェット二機目
茜,皆さんも追いついてきたみたいですね！！
Ｐ,みんな足元気を付けろよー。荷物持ったか？
卯月,はいっ。――わぁ、綺麗な海ですっ！
Ｐ,未央達は着いてるから……第三陣ももうすぐだな。それにしても、離島にこんな立派な飛行機の発着場があるなんてなぁ
響子,うんしょ、うんしょっと
みく,はぁ～……ほんとに南の島にゃ……
美穂,す、すごいね……
幸子,はっ！？
Ｐ,んでなんで幸子だけ完全装備なの
幸子,なんでもなにもありませんよ！てっきりまた無人島生活が始まるものかと思って、ボク愛用のサバイバル装備を用意したまでです！
Ｐ,必要かどうかはともかく妙にサマになってるな
幸子,とはいえ、予想以上に文化的ですねぇ。ボクのカワイイサバイバルキットの出番は無さそうですが……
美穂,確かに道もあるし、想像よりずっと綺麗だね。なんだかいつか見た夢を思い出しそうだけど……野生のたぬきとか、いないよね？
桃華,ふふっ。ご心配には及びませんわ、皆さん
美穂,桃華ちゃん！
桃華,この島に限って、危険など万に一つもありえません。だってここは――。櫻井グループが一島まるまる所有する、完全貸し切りのリゾートアイランドですもの！
Ｐ,どうしましょうかね、今年の慰安旅行
ちひろ,そうですねぇ。時期はまた８月ですか？
Ｐ,妥当なとこでしょう。お盆とかのイベント期は忙しいけど、それさえ越えたら休みは取れるし。それに学生が多いウチの部署じゃ、夏休みが一番足並みを揃えやすいですからね
ちひろ,ですね。あとは場所ですが……
Ｐ,う～ん。海か山か、はたまた海外……。うちもかなりアイドルが増えましたからね。全員で行ける場所を押さえるとなると、それだけでコトですわ
ちひろ,わかってると思いますけど、懐事情も気にして下さいね？
Ｐ,ええもちろん。しかしそこらの都合がネックになって……うーん
桃華,お悩みですか、プロデューサーちゃま？
Ｐ,桃華か。ああ、慰安旅行の件でな
桃華,ふむふむなるほど……。それでしたら、わたくしから一つご提案が――
Ｐ,完全貸し切りプライベート……！
ちひろ,南国のリゾートアイランド……！？
桃華,その通りですわ！是非、みなさんをご招待したいと思っていましたのっ
Ｐ,確かにそれが本当なら、すこぶるゴージャスな旅行にできそうだ。でも予算がな……。お高いんでしょう？
桃華,それもノープロブレムですわ。費用は全て、櫻井家が負担いたします！
Ｐ,マジで！？！？！？！？！？！？
ちひろ,ぜんぶ！？！？！？！？！？
